scraping_date,element_count,unexpected_percent,unexpected_percent_nonmissing,missing_percent
2023-01-31,450.0,10.971520849584651,7.951479965959034,13.135802469135804
2023-02-01,258.0,22.982404146763823,9.89881889374004,36.62072925638817
2023-02-02,468.0,24.95700727214532,10.349355219590418,40.028490028490026
2023-02-03,480.0,25.27425523349436,10.490397805212622,40.55555555555556
2023-02-04,450.0,19.14975845410628,9.613168724279834,28.61728395061729
2023-02-05,459.0,27.369242850638773,10.745920563897934,44.74300008069071
2023-02-06,264.0,21.96260386908256,10.145042282005978,34.13299663299664
2023-02-07,450.0,31.99861973775017,13.58612580834803,51.86831275720164
2023-02-08,450.0,31.29951690821256,11.893004115226336,52.41975308641975
2023-02-09,450.0,28.29951690821256,9.316872427983538,48.82304526748971
2023-02-10,450.0,18.02699298859001,11.404012745992858,24.074074074074076
2023-02-11,450.0,28.17153852452305,10.613238473878775,47.037037037037045
2023-02-12,419.0,27.562656794584598,10.725947764414704,45.54052859542119
2023-02-13,450.0,31.99861973775017,13.58612580834803,51.86831275720164
2023-02-14,30.0,28.18840579710145,9.382716049382717,48.641975308641975
2023-02-15,450.0,15.224465148378192,8.522339800117578,21.613168724279834
2023-02-16,477.0,21.86628884742092,9.891304440570687,34.234024380774905
2023-02-17,468.0,23.56875690996674,10.350443079911678,37.092434314656536
2023-02-18,462.0,25.150574063617544,10.421677088343754,40.3639570306237
2023-02-19,450.0,19.70542635658915,9.736816920279454,29.637860082304528
2023-02-20,480.0,20.13432605446156,9.495827105132037,30.75617283950617
2023-02-21,477.0,20.910128987843237,9.900617303459606,32.199704946036185
2023-02-22,450.0,31.29951690821256,11.893004115226336,52.41975308641975
2023-02-24,450.0,20.73567977915804,9.179306290417404,32.59259259259259
2023-02-25,450.0,17.75676890237052,10.853095990046894,24.13991769547325
2023-02-26,360.0,25.76763668430335,11.16834554334554,39.84567901234568
2023-02-27,508.0,16.72899802321344,10.456636468828494,22.3753280839895
2023-02-28,450.0,28.067632850241544,11.078189300411522,46.2962962962963
