company,job_title,location,company_rating,job_age,job_link,scraping_date
adecco,Sviluppatore di Software,Bari,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=929&ao=1110586&s=58&guid=000001869c491e5e8ea0265d839b356c&src=GD_JOB_AD&t=SR&vt=w&cs=1_6c3af9a1&cb=1677659283295&jobListingId=1008331606246&cpc=26740BCDE5E48596&jrtk=3-0-1gqe4i7kjk27c801-1gqe4i7l5g2d6800-c5402a2ac7a2edb4--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFK7AudwSoZPw4ZXE1eK6I4yGNLcVjHsdxuihX36FLNuVbT0_yifIWpCT8zELOpbgGlycJGw8wesdMTbI2whiv-thIDgZUoFsHgQE8r1W_FN5WuzTrFumKTk7_wPJTyh43yOHXj3cwFGaKNC9gBUXEDA2Kk2KiNzr6FWv2a3kl3uCS6who6HkWCVVVqQmCXh2S-j12R_w60PTMlT5O05cxygiqNWba2q_4IWibtQ9HQuQH8A_Tad_JC40acA2sA49wATSnL7BdudZabYY5RTTvPmHFPjDUqqkQr5HDDSbmyrldNu92HAhQYciuPuY-75LpV_NpNz7mmt26ONheOaKIYL2hnCsyaPfv2CSNcHEOhusvNTwzM_QL1lq6bw9UkCGKbebKX3ol8fG-dIpwUIiyXBc_spBvJltFOnB43FCQaQk4wcg1fMnxIraPvsT5e4tMSXeiWSQva7zP-QX9BynNo2zFlbCW3xbiCgYYnVa7mIdJN1RzA_Ga8mcnghAly4ZZqCGPkVTB3zSqRjuy4vKWAQ-m1NViW0zo97Zphx4sU6OgD_dq64iG9Tr853iWxLZIgxwIf4BERXpbTzkmvEDwtpKmSJaOKMrSv4E6l0jOt9R4DLZ93kmmP4tQO1UlnfNTgpAHChWPDz-bigOULSofiV3XqDfAkldaQRfeBU-UKFYgdHCYuowi_TJZ11wedPyMaxaWtzyLcR_GoGgh6Ly5Lfl9X9SW6cwD37YR55QPsuLEBLbf0rHwKDoc5mhyYNTNc,2023-03-01
Happy Casa Store,Addetto Alle Vendite,Corato,"<span class=""css-2lqh28 e1cjmv6j1"">3.3<i class=""css-0 e1cjmv6j0""></i></span>",24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=930&ao=1136043&s=58&guid=000001869c491e5e8ea0265d839b356c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_df12f33d&cb=1677659283295&jobListingId=1008497121604&jrtk=3-0-1gqe4i7kjk27c801-1gqe4i7l5g2d6800-4f834fb6157747d0-,2023-03-01
Spital Uster,,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">3<i class=""css-0 e1cjmv6j0""></i></span>",4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1001&ao=1110586&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_00d22dc4&cb=1677659288246&jobListingId=1008492189725&cpc=7AC3DD71FF7BF8F0&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-24c5ddb716c1c9f9--6NYlbfkN0Buo0-3Og-r-fczJOHIjtPCAS-MijvoYB671mbSoNWf3XeLkpsVxnaip2znnnaz4uLXQtgN1TGBbYYrXgWBxPe7AbheVOUjEk273GdeY81K3qLurnZz3xgj10hjVacIP0D2W3o89o3-KmAsHiWeuoKbDS_KyYN6ltTvKTUEjpvFcyJzWEPXPWUmFWovLdDDDyV_HoNa90hloXFXagM51VvfkzG-31-KlsXsZlU2xUfM1KP-KiuSfocGuy59bW4qD9BB1ouh6k1wauszPOYbdFJ5BmoUocmI6J1NpaY-fKQ_nrAKRRB4_E2lEn0_lC80eKz2Lz_dFe62LAbnrdngJGseKyW7AD3c7PXP6NwPM8TbYP8gk8en3PP1N-JZLc3qqax-Ni2i0fHVWifJ-jruZmNe6bZCeNfSuwkDiGS57msi0gbNv3sRMDB-xNrPrt_hkujPd5MuBRcnPQKRasDEhRjVMMF6aMzMYZjS-hbeYT8dBJh9SrCnhKDwq6HCqx2ZarOR9_FcHTafxBCVU88SIzyVVr7LviC_I9KLJwg7NztmPsM1QL5k3QhHf-_2h7kpkZCRTDN3eNZJx124yORRZ0-rn_XAgtXM2sE%3D,2023-03-01
Guess Italia S.r.l,Addetto Alle Vendite,Bari,,13 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1002&ao=1110586&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_41d93a1d&cb=1677659288246&jobListingId=1008473550121&cpc=B5F6D74B4EF69A07&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-f45c90018be4cfad--6NYlbfkN0CA67G_SAGmLKr1-1zGryutA_KuKy7K8eYaAWAKkAexSLJ-g7tP2z3xY-Pu5UHMF1qOVLwDiMRcW4tSH4z3vV755TZWpstc_oGOuq8fNrtxPY6tO5M2j4tsdEv9lTaqo1_rG_RV1RyfjL5mqsBJthYiaYAJWz_uhvRCEu-x5n88GM2YhV-za1yaEwHWwEC-bc0Yr0AKXF2pAHti_sbCCn6Ll4iffX3s4eaSET93OYMhLn1PZc6ZMNBWSIrJ2XVpdZRwzYHTro2zcFaq7PDmgMtFmgntO6ijZEVpDfuwIuQgHIG3PHWktV-rH0Fl6QC4qnpelvEnTcfd-zOwB6zJBbofRiFJfgjOv_3XlcMAuUBYhwlWhAllcZtLCB1s_c_5PxsTcbKj8j38LQMa_IxOlfWi2GjFWrsZ9f9bvQ20AfoyFODdEqaD8swGWqFZ-wi_DAyurYfrTSsE7atL960roZUu557ZbnO7q4e9zCcBFLEI-ZRxZ5aqr8ArVuJrOEXvvN6bfZ5LQpYSTO6bnFY4Ntolkg6oKm-MpBHDr9ecyNxE0QSFE-0YE-wP88Wo88GJAB_9HtyvxWw43-RsDvsE_jaQelTERo3A2kKQfE9MgmoMGydyU-5QX-o4,2023-03-01
ITI SERVICE SRL,Impiegato back office,Molfetta,,4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1003&ao=1110586&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3edcc61e&cb=1677659288246&jobListingId=1008491324432&cpc=E521981D00147CE2&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-908f5d1088333f66--6NYlbfkN0BTtztt2KZLiSSeHdXp8Gbh0mVHni8Bohcv38_ewDSud-KrBjGR2Rx-czWz6Om2NlOZcyraiW3NSbGr5Lz8j83Uq622BWNJEhd4P9ZN5AcQI3AZQBqiU6wYUe0_SYS8LLeWJJw-G4JJZ0dkVIfK4i0rCXIJm1O6O7hJJQUqpxDygLW6uG90PlwfF7FmKrXXMBhrCgjrgxjEiSftozUGWH4QTETaLIsBfd1PS6pCXaRvtpLt7fId0IOPshkCw7O9FwWTyP5qPSq1Hna3WhJneuQBaedLf2ttHqKMnVLjeVxCQ4u_F1hDm21I7kKZ8mUY63HTNAX7hshETST07ZZB9BRL94JRF-ijMpr_4FcNPt1KEdBoBvsDfdSwltcMg5Md9Lf5GnflZUycnSMfwHwhN7g7sJ2y8IwqlyTbp8W-MU_QFLsa9E_EczIfikFTefcs_YxUPgQL8NuQeYG2QSvoJUhxR4nrJemIdPGYr6U74ju9wcOuD7GRa_PPWoWn1V_QzD7WUVrde9f-9FgKRsynW3922VYEHGDJ6v5K1bpom9g-PeVrErBrnuACOTJCQjfc0uIHUEhzOb5_cA%3D%3D,2023-03-01
Informazione riservata,Ingegnere,Bari,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1004&ao=1110586&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_420fcd4f&cb=1677659288247&jobListingId=1008296696242&cpc=F2E91DB1AE7076E1&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-6b133afa9c4cc45a--6NYlbfkN0BurGwR6aH_Sjq0jpbyLBAi5D4qJEHgbrS_EjqY84UVtS1IA3Lab4ZBVGKuEX1PwSjNvAWYeqDVxBhfNb3D_kjyhd2-j3YKo7UmwLievu4IRXsTpNHGWiY1eC4SKDDoL05LmdSMF7bO8Lc0lGqevsAFTUbz6FfcUyXOmzjSwS5fErxY00vfzvWo0cZLISRH8qcO28lRo6fsAbFXomtcdeGxUahNVTiihaPW7Q9EZ9j0tlj9ZvePnGfK7rf1iMzo_gNdk_wUeS7hij1_2JtTi6jmskMrHznn8Io8I_V_sY1NKpLSwzjP7-y5HE3-DDtPYvDjjkzEbpzOOaOvq0l0UzYFHxuQZK0niddgpoXZUimWXTI_JKNQxdEiv5UYl_1cWB3gBs95PwKD2DfO2QzPIYBUtlrZfsUYijqunttNKg9M7EdHPyTNOJZhbJQxOOWUjWLZd2Ir43Os9PDOflWaoV9ODmvRv-Tiu6GkLbWl2C3gr8KMfs3qELq0U2tVOBhlmTfKA9AsuTOGVqIqhWaM8-glljQ-zyBWyP-7_yfwGxUqIvIrWYIWd2xD84N-igjk1EwLMGpdm71sDA%3D%3D,2023-03-01
Formatc LTD,Sviluppatore di Software,Bari,,22 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1005&ao=1110586&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_bcd9f477&cb=1677659288246&jobListingId=1008456083373&cpc=9EDA28EADF1DF7F0&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-2bd5444a9e2077b4--6NYlbfkN0A9GlHWjlEQYaqxbaEmdCCe5JRS0tXTKY8eeesCJbOk-nakqqZT-eMY-purKn-qCh-W_Ae0qLp_GiIhhvdAS7_OB9xnysgiE3lplaCdRwOt8rm5grOd3BeBS6GHlXYvQj-lsJhzu2W4mz1HX3Vp3pHX4aVJnRwtx2wew1WOQ91b4lr2pUszP9_0si6YNUewWDvXY3IPQnKu5HylLTLi8yZvQinwMPSV6MICTO93EBaLd6YFy8EDh0ZJ9HhLedrfTk72BSYPu1Yi32qb9Sln5IwXgf1nbau6oE01MWce6eSBYqYieQQ8LLIkbN_ALJK-0OBl1AQeNOF02U8YTcAy0NpQqQYm6Tp_fPNGtAMwg776lR9eTIxJ-Mn6jaHAMFppD-22pIocF0R8AW12MVOJWRDcRTpat1ne7_Crt6qwSZtnjsX8atAHIPLoCrZBcF07IKBAPmg8py9S64W6nSvY82qCb2Gpa85nH4OjBNOwoeNdb1oBZZOf0UsmXVPQhaVlZJzRd9ZzVPyvFGB2XnXGpMnFSaB8slOaQnymQLtuQmo_BfR26Jikx0HO5_lw-n-C2tfybY3QLIoomwu5yVsqZqZr,2023-03-01
Bounty,Cuoco,Puglia,,7 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1006&ao=1110586&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_edda2bd1&cb=1677659288247&jobListingId=1008484537222&cpc=FAD720BB8CCCB15B&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-4d9b0731c3d1b793--6NYlbfkN0Azqr6hln8fuKDRLp1Z6g25k4Kb4pvtSoDjFb-1GxzPAMoLQpZvwj9NfBB9uXzy1E0UgPs2SBDlr3BO_eHciHRiGDuhwST7t6FFfhEvZlqm-AcZSmkdjaMC6m-CC5JijxABXkltIsy4WsihQZdTIOSmu7pozLe6eGtjXb4ysbfgY30m4lqhmCMd2kbXMcAmYQcI0fBo_k0b2kejL9q9RvhAq4rTs_VcGlxMpMx4QoQ4Dp4jNzL9SEg47sKQiDCyh4s-T-0no8kViCEnJRQakk4i-PVyHh1jPbCLvMsb7fJ9cIcmYiVbGSDV6-YXeuEOEbnXKYylJldpG__qNxezu3xE_FM7N-op1f6_Cv_nVsq30jKukUtjElLx45jqFPZFkC2NhopuoSMPWTj98zL03YHuI4HVnFcYgVy5TPcU_5M_mjQzu9g4fJOdKoUG7-GGtiWJ3UZk1hTr59O8SsiPX8BA04ngQLzl-fgIGcB86vddcnwtq2D8ZVZFu8ZwV2NWQ0_0oYHO3LqyeccUinOpjheZDqh0DU-0e7cIRkNOdq0gr5NkTKbyi18GTIpEvISQ_guKf2hIcr0wcQ%3D%3D,2023-03-01
US Food Network Srl,Cameriere I,Bari,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=1007&ao=1110586&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9f27d490&cb=1677659288247&jobListingId=1008496864490&cpc=D69957E0862862E0&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-a069454d5372a931--6NYlbfkN0A3JJP0HnrOCLYRZnNJH8e1HI9apB4wcIJ8fB7P1-MovAGcRU1dx-D3BiwmX8urVLE8sCciqlHOwfzEd8eWCc0vCFfXfp9I8Fd-tRb_xLKiKS9aNZJRoNL7ukaGisrDnwPgiLDZ6Je6N2_AoKEZu8VDRufcnQrnwYq_Ztj7J8W6W4sCBoGycZfgzKyrttDe8stuzCEF1qUYI-Iv3B3lHv4SGN5acOE4QTS10Uzrd6ZbVlW1NATMtvrtY99aUyGvB0-xGbs4gS5cdQVLohb_o3SoFd4L1PhfePxk2IMTGUM8bOuyHxd6enNXd90QSn9KbVG2o39OWCEKf2hSV5zaKaBcBP_yvbtTkCurAQEArtNwUYQQDFVSJIDGveOp9f6AYLuYE8x2TAZsEJ4srJ3sMz0V0OoZsZrkrW0HKPlEF2tHkvqm4TANgD6QTAhfDCJ17V9DpULC-uqGScjmGNrXa7LPeQGFA4rPuWu57cXjfcYzg1IQ5p1vnPdEKiZs2Xr_-FFiDoaCnh1oVqhTzxCT53xm7DRtn9kouYjY6YXb9VpZF-KcD4_6kMJw3W36gfsj8rI%3D,2023-03-01
Studio Massaiu SRL,Odontoiatra,Bari,,2 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1008&ao=1110586&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5d7c44c8&cb=1677659288247&jobListingId=1008493364165&cpc=FDA93C03AE7AED37&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-315813ea9b7a2ef0--6NYlbfkN0CDFdga_KUvIsIcilKEyPgTE-CquGVW7EkM4pp28bctv5KW0sTwq-1Xp_S-fxRuiRw2vgAuve8jBBAzhI6NvoaPnxtHOMdTOSlzRJIzV5pt_YLvHCSdzYXNiJRDUteqc7ueaW16ORmMNZWC-q2ECMhDzxaIIc4RKazbCs_1XIVAXhS50Rtb4B3TvVAm0F-9tzRcEo3poFItdjueDNisY35i4N5V7rY9dma94osYIS2UuNp-Yzf8hk55YNaGJX43KRon_VGvbhZy4ch6HnJW8APS5Sg2tggOmBVl_J5qMKTPutLrfemvDc1gX8NnVw2q78foOo1CkHx5kxtfpPTNd5gCaVWLi72rM0ekK_pq6rLwpW_7U-qYSvu8CSzFZiOzhyd9nMKhNMh9vOZTdzS-GzMwYQ0z1s5nOWEtzzs3LZcHrtaV0OfVrzRXxvVtgqnUsZzJmkWqAvbt8rRadG8XZwsYuJihh5MTwqUK9edVsAK92GChP-6xSewIFN1HtiZsOylZOOSR3JHP5KiFS8wE9xB_d8mL5hTKLip09InlVd-ArhsoaKoJGM8fB7CYNaYeZTs%3D,2023-03-01
Medical Solutions & Consulting srl,Informatico Supporto Tecnico,Bari,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1009&ao=1110586&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e3cf8c97&cb=1677659288247&jobListingId=1008238224712&cpc=ACAF1607C5C1E404&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-8bb67f69768ef124--6NYlbfkN0DYSpXeGMZ3BEPnMl_JO4iWKAeTSttf30lnNAqTRVQMG4Abv4V286srVD0swery0m2N0gHOky4U6iIa0CFgTSyE0aYVfFycNbzLxldpbJkJWx9ysjPbRspbk9NjdM97cAr62hs_5J-qto21uAoHS2ub3pceuuNJshegkeGME3_28KHaZRsjhB6WvooMNIbPKs6eKat370bIfFVoGiA3WL5KnFjB-gpJ_4yVR-fSkKM9nJeB61XAFQfk0YUhRYbGwEsh66BEVzFCene8k0OWJ8dyeWXfcqPtWUjtBACdE5x4cUXB9fbql9tirE8irVG0-j_9wuqQGxU6q2xSYbmirJ-M5Vnz36W8IBm-AGv29CuRzAud-JIUUzGY7EwIbhWsj9RhGHALaE11Q1k8casbepwjAKM_c_Ok6-YflkkSH0oRILxnrUNS3P_2sSfHFaAUPtLSF45VlB7sALTpNAqkweiSNMOwjacCWooxbAol2kXaLaCSN-j-1JN1S2HshO8WgeN7M_DkB2qMlctghIV8Zvw60tCUoq54L9OS-gkZUw6LzHPRTxp8QhLVsp1BiGtFgl8%3D,2023-03-01
BRT S.p.A.,Impiegato Ufficio Amministrativo,Modugno,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",1 giorno fa,https://www.glassdoor.it/partner/jobListing.htm?pos=1010&ao=1136043&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f0f1dd03&cb=1677659288247&jobListingId=1008495476065&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-02297f5e5abeb565-,2023-03-01
AP Group Srl,Autista Consegnatario,Bari,,6 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1011&ao=1110586&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_73ed570f&cb=1677659288247&jobListingId=1008487338100&cpc=9908D8D4413DBB8A&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-c168ee1ecba4f106--6NYlbfkN0D4Q4Td25r28zw7FDYvbH3WlrCe9BO6GYt_RHd8H2Gjq-RDScAkZdq4NTIJFVbrFyTirqA2K3LLDn0Tpk22Gk8hk-dBNhWF6t0Z5vU0BYL6wmPI-_PRIlSnyYVpeg4EKQ-vAEv9cneDahMgROhouEgdEiOzCEiVELwugFlIy6Yv0iEst1s7Qzr1UondY6kdqP-CzqbyfSriJADH9ayvKv2PnNambM8C-VsuNu_cN2toZxoy2bzreqcdWY-3Zd2yyCDa5wC11Vw4WdWREHgWHa7JfZdQl9B7Jjcv1u9j9UxHBUanBMnaaSplhQiWklod3E3AX4XY8ZPfzJAeedoUAtjF3JOyMAWwAORJncOPSy3EmkKmCvecZUc5XAc8TQ6o_9pkThcSI7E3FoDHCwBylglJ9IJDUr7EuLt-nv8suKBK5YEILWlZ9VeV0x4qiIxHLv-u32ahZZQJ8ypr6NinkgPGdrd2paKR34HyYVEaMb-VX6nWwa2uVXlXC6TgBfebNCFXUFUMbYlmPRFgfpgWCCxHUgOfrwHFy6I2ip41pHnqqKnNCjzVDUN0eIZQ9o3CYUg%3D,2023-03-01
adecco,Assistente di Produzione,Bari,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1012&ao=1110586&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_7dd0b67d&cb=1677659288247&jobListingId=1008428776250&cpc=E773D000C9BC26FA&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-7f44428cf63b4839--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFK7AudwSoZPw5olmPJnIU8hqbqR5F-NQQEC2kkefIo0zY__h4tTc8mgwtPzbrp3g2nGvLMsDj8GJuOI_H2-_iGdcWgG2BhnL6DZ4AP9DQLt59eVjazESbCYwaDZna3neEU9QdjRM2xlCE-6HQphbCJ_wnLV4cbjOfPCh0Hvkm5V4kD2wIimn5bdAz-riGQSGUB9WZfGNuO2gGyuIQR2227-2UgybkLQrgaNm74lrbV5M5B04BiB5k2rovp51GyqLiGlsRC6hSZni_QCeZ0mRqrhhFiXN6AvLDAB824J3nbIIr0xCYRe_2YOkBkXZv3kwmibt51tIcKkuf2DweJZVpqJYBfd_CzZ0s5I3U0y3j-WoMnWtvsOrqV4JmofKAbffjoSszkgJcba-JTNLNJKhiUJPEpFJCl6-K4pnNsrwpL4YZaiXJYE__l9B6-jMIccFu1f_cT7HxfHTaurjZKiEBFnbqRPGyPv_Ut4tUkVF37kAbz2jghvqpdZDa173bY20WmMAixQI29aU-TbKYYUIz5t3_jSd2iXA82Ig2Hp0QyOWULyDoBW02ps9cofOKjVGkjioFJNKMNrr87_7zqQoka_9HhxgcFJ0kBBlgPmSKpfS1v11TsSMnLRXKYjgcvTNLXkwNL-nGspK5vMyg7KEIKP640gkXIbg2CKZk2E-IDUmjW7UQwwzLmWVmmY8n_PNMB_4ppjzhNeUxULGvC-TmZnpLrFD9usfdZ0u-bnHOvMohjVn_bfd2fivWMf0vUpKr-L5BypYBw-q0%3D,2023-03-01
Mediaworld,Addetto Alle Vendite,Bari,"<span class=""css-2lqh28 e1cjmv6j1"">3.5<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1013&ao=1110586&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ceccb675&cb=1677659288247&jobListingId=1008220710761&cpc=6FC5BA77C9A4CD78&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-a2685f999675ae87--6NYlbfkN0D3ir3dpMe1tMfntZwGisf_GvpoKJ1DR96fJUSNTzk0n5jtvtqssHWexLlq_wt0acNnMuD9iP3KkCG8Ow1N2T35hl5EX24YZh8lk4hhTK9BzZ0kR2xpdC-I_ZjLcv5LbcH_AW4yVvc9Se1fF21h2qogcJIfjHRck-dIvDxBJZVdgsLr91sGAWv1xAaSHmJzXuQQJg2oxcikuEE85X9S1VyTj5jq0XmrZxaYv1vzydS5RJwvPFUVkd3T_JdEyJFrDls2C5nmFu1yHgHU7LOHKn91FQ37YSOA-qV9hvzZb8jvkz-CQxY80_PyZSKhheb4hasEpOCRD05zR8JfdPu30mtouRYhh9kP0DctBEqz5fwtdDpNSEJ5cSLchE7Lkg8Jh2mzV55GOF21RldOmNNuvaL-GYMiybDjpsmJ8_8KkEOux24r6xpom0TS6PILn2DaLr0es0X9CeOC0Eo7RWw_s2sSxF_AaKATSI6Kp-XyGspjxVPBL65aPRnL_mJXd7X_mCGnxe6lHlrBnbv-pcBKIqTtMjdLd9z-skD466mJYgTZl5o6cuVmyRn1Z7KjByF_rOAAlMOVnA1z8vhQbK_O3y8FhgL36QF3dIvPmgv1YAt9MIJsTJv_sdo-QJpy6lwcMEbYq1nyNhGZXytOdURuFP-YeFOEL3vhVsEmaLKWn-XWgg%3D%3D,2023-03-01
BIOSTILOGIT PHARMACEUTICALS SRL,Rappresentante Commerciale,Bari,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1014&ao=1110586&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_46a7462b&cb=1677659288248&jobListingId=1007897994734&cpc=FDA93C03AE7AED37&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-f3c31b47aba838fa--6NYlbfkN0Dhc8In0Usiql988pOT3Tlgy3BWWfsWufVrX_hfb1DZDmg27-IxIeiXBTMyClSAoghrpVtawdvc4wsbYFLEbtQABBqSSub3uUDo2E-1w9pDYOruTJFJK1EnSM4O1D-9gfN9rgR-d9-cGpl9Msocuq8rcqALQBKubUpO6oDpbvlTefBYuPbLUedOXGw8TxR5oKB9BtgEKRkN5owLd0txgEiDHkDl8AYc5_oZ6mkRUUP-QkWT1Z616mUOd9RaNJQ4aUmZoH8v_b1fAbUY0bEMVP21KjDFpeHkWK_I9rpVQIHKfvel4BnsWGrpHK0mqR3LNZYcwpqIdvGG0wzwdFeEK18kt5pf3lxt3gXiEVMomLqltsUWMomF1VqEre0wTFWOgbMc-nGVJRIO7vfbntdSknJKy1OlZ2ETTvBfu4Ee-VAscClQkahdL4b1xznQri2olEoPIUry4bJ6lM2vEipiy5eRyH8muQf-nZuR_UzxNEFq65LMz3qTYr4SCpMJ8CZDpFk07mkuUfWrnHKbAq5EuDxAQ1jDw-EjLUqiMr0K6TuwGmt6HJSJxemQzIpR2L3nYdGS72EdJxtD8Q%3D%3D,2023-03-01
Miglionico srl,Saldatore,Acquaviva delle Fonti,,5 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1015&ao=1110586&s=58&guid=000001869c4931b5817aae074aa6a6a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_185fa4ee&cb=1677659288248&jobListingId=1008488883250&cpc=5C70DC7FEE0D01B1&jrtk=3-0-1gqe4icehirmr801-1gqe4icf5ia20800-8d6f73526c9d9008--6NYlbfkN0AWZVSs1dFfs4sPwlbln9OeTjTcZLsAVGOGUq1sO0fAtIQWuMzLjOVPjWOPhiWASVtL8-U5aRvmNkHYh27TMfvmbhe3faL7wqgyUqvppm_r8LzlbhxwnT9Zl8IwBZFGpChpa1x3QWfqcHbs-ZZ5CPLSpK-W-gg3QofuGvjlndJQlwQCBoU_G9dBRjX4hmZtXdfQbZvozDebwA29BfoDM7VJw-dZnAJTGNrX_Dn26piB46ZNBDMilmVMUeEbqJpFBzDjI91obkMZyhpOnjYj9ez_pnEfM-o2rFslJlEKPEvETxO2lESwGMl4D_Fqr-FKYtX4wtyBsjKFqfsChRhkZj7QD9qHwezqdOtEO7U1D0YmTZ0bH1Ae85TU9yL6FMuaKiLYA8KY3boVXKgu57NhMIsHPpAhdob1FhVT4maOi9KC9tiU6768QUnT7Bpders-L4V5C7c2Y_OE4uhd0hhXhy6BqYJjRZi2vwQrayefZuQh4YNFmguOlQsoGOGc9q8KoVRIrDovKwT81NWZnc06JJsbfStiJfqxNeYO-o5g8yL1tLMYB51u_Nbpb0aN11u1v31VmTHTw6NuJg%3D%3D,2023-03-01
