company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,fondata_nel,tipo,settore,segmento,entrate
Bluemint,Assistant Sales Representative,Capri,"<span class=""css-2lqh28 e1cjmv6j1"">2.9<i class=""css-0 e1cjmv6j0""></i></span>",24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=215&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_321d8852&cb=1676371189400&jobListingId=1008419396947&cpc=74FD5BE86273CE52&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-5bd3d2ed2ece89c3--6NYlbfkN0As-6bJE1yJpHIl4nmnY8OWVeqfjLbozKTql099heFRUdaGYy5KTIO4N__OT1mUFKVmvTbS1qZ4yNJdhaKnfjxcb5zYu20u7-2ZPO9IoKmYrWI6YOSjfVvVfXHZHhKGYwAFuYAOE3oWSTTKz3vXOjlrE2lfYAAdlci2xITAN6dPQ2HVuhia7cumL7bUYzODR2RG2LzDoXwdBjFf3124F2eMKcUoq1U47Yr3qpOMDpBieBD5oJu7E1StgWzxmMlPK08vj2-sHLTOdGhIxFq8K4mL7puPqaxaaOfHq4x9FOa5J4p64ClKCuGmaA3a-MEl8kkggkJY90bY71pRW8HAXFW6n_rL0zzSWmmwPXWLGxLZ5X_57JLqLBGs87okgmilQobNLkuFVvpzt0Vffo4IYp5prNssTNEvJIMC6jWUVBhQU45SwPUotFvyCIpurx5j_osJUG77tAhg5vDWG4FJwpNCjNT4qQNLmcuYYUv_AZHGr75s62wq2SG6vwL1NhHNqvkSDiA7VQJCWknAxfEpySdduzW1piGo4eMuGef9TzZfS-vTYGeunRtkgSd5ftoxIoVo7myg-RZqJ4Yp7q76jEHtwsH9oN0GKwk%3D,1.9,1.9,2.6,2.6,3.2,"Istanbul, Turchia",Da 51 a 200 dipendenti,,Franchising,,,Sconosciuto/Non applicabile
Gioia Experience,Organizzatore di Eventi,Napoli,,26 g,https://www.glassdoor.it/partner/jobListing.htm?pos=216&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8a03a16f&cb=1676371189400&jobListingId=1008414019214&cpc=18C9CE28155C17C5&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-7320565834c57f52--6NYlbfkN0AXxDlGS5gYpHRFBhQUw5I4RlhbXyEG3VaUa-aahi4832TsT2vlwiB0PPzzcp497-IM3ZwcrT-TCQ1RlqdcukSkaCPAwJKNMw2lY87b5Cso8ibMYFgSWbKAsSxWwV2taa1o9SpCoQFTa07pbqGQhPOx-7iIMhIN2E_hpNjAvy7Xldadya9vbkTxRmEw-0GxXLUnhJjPNroqxGPihtTv6viXTs67MR9oRI0eqW6bChhCNki-w69idWBGODJcJv25pQ2nAROlCHUTC2NmD2W2MgMses5DBietmubmB6jaMgXHeqIg6de954vUrMVQ-X9aOhKMOR7-wrDscHlRrwfsUJa07gYSK7XNvDcorSK8FuQx8ZOQF4CdkNxHy0oSu-hcMcM5v8x7dBBZFHxzbvM7GVfgmJlaDypkPR54ZTsZRhqTlAGX1TVExSGcI_zGdA4n4zgUYg1gExfZVdfR3WsV2alX3kb2OKawlpGGVgPh9kYST02KVnePLYomSZti4o5hd8CnDPfRz0DZKDaC7D6LjIxFzP6xAUAM_m-tmYk6JUx00s6DYTmtYGwvxABGpgsAAU4%3D,,,,,,,,,,,,
Paradise Call Srls,Analista Dei Dati,Casoria,,14 g,https://www.glassdoor.it/partner/jobListing.htm?pos=217&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a372cf7a&cb=1676371189400&jobListingId=1008437541316&cpc=292036AD7E8A5303&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-0886d0ff26a6ae98--6NYlbfkN0DY6K9HTnR61Jw9Ltw3jm6INjpnVZxIr-Iddu_hoO1k9jOvw03kcn9lhXERzLGohb5-UAEsrVacyMuVe8MTqE2QNI6F_ooqPSrmMJF6L-CSaUuwd8CPNB95Q_vu1rw-9h7JWGNz83G7QvY0NPbqM1e-h1hYqtpUhmfscYd2Be3cQwo52nGPkIwl9row2qccK03XoeKDShKfBSjh0yrL19yBT2mFkaCfGNO8XvubXXeIMHoHeTa7EE6G7c776Co_fdmImgFi5zcKbRvD4qLAUDb96F8T6nLGxsuR5iMKzuQqDMXg2emLHVMSQVwmy3U7jC3jPuuSSoD9OXjnpW933UBz2IaC0taaL2DaKuK6FITgNgiq_xI3pU_c70r9Dchmmwh4g3ouLyBh--6BaZmaxFP21oCS7Ctmk5DEb3JT6c7OL_v0hcvUN_9SAn03gudGYKZZkPbutOfZWScH2Jhk8sohKvji6V9q4I6-vjNGtNDVpHKItIF5gpIIi7eCDd6UzvJsVMBW-Xm0T6QGDGiEvPuSCwbNlgBKiNv2r4GXe4sq1J1s3mT3aY9EdJA15vHjgcGTrFcPWjv2t3jZHC-IwAVA9QHYCOhw8CHW7-rZfv31Kg%3D%3D,,,,,,,,,,,,
Rocket srl,Consulente,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">4<i class=""css-0 e1cjmv6j0""></i></span>",10 g,https://www.glassdoor.it/partner/jobListing.htm?pos=218&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f33a1d34&cb=1676371189400&jobListingId=1008449820365&cpc=45DC3EB807283E85&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-ed18c1afe66d35d8--6NYlbfkN0DyEm5GgsnIRaQi0RyS4t-Pgo7REKqhJI73EPrWKAwkBCilPOrVfXfWpDZ3ZoUodhjB9Y2LT6OB3cFukOKX0vf5EwaXppSVsQ8PE3GbcOCA7RDCZnvpiSq0m05tEKRJGGIc3h_JURubhAnyj6CQ7D-Q1_ZD63anQ7ebqvLPkZk6yyou6c86aYPCiG6eZX6e53pedVks1CwVWj8yBY7kfdRXhWyAaLTG02PYz73UD0ImMEIQZmB3Dcaji6-_Ue8OJlpe73Ycgh2GhDx-ViSWc2cCtVcg4RPnd4qZKAQoz8E8QXqIUs0litOGVNGn1cu3FsO4go7y1RCI-7ESE9Qim9lZ8Sv9NkxfvkgRpM_X8-62BLCtkvTPuORggKtk27dYOZ0jwsPwdomyuPo8ijsnXr0aL4jN3NLXdW4-VlPZkAbAxhjHepkYUD-ZnbORe2a82q-W2d9F0Bt67cpfVKMnhsYFYyg3udr6OSCEOOCMk08W599FJkr2WXmJjZapg9stv6epedWwKIV4oXdcATkcY4-u-bihRxVt_epNBKgp5CQa7XpRl-O5oUdQzgKQKgaR42dDFrmWmUnQEsOfsEWPwPja,2.0,3.0,4.0,1.0,3.0,"Napoli, Italia",Sconosciuto,,Azienda quotata in borsa,,,Sconosciuto/Non applicabile
Verisure Italy S R L,Rappresentante Commerciale,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">3.4<i class=""css-0 e1cjmv6j0""></i></span>",14 g,https://www.glassdoor.it/partner/jobListing.htm?pos=219&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5c10abb2&cb=1676371189401&jobListingId=1008439485896&cpc=AF02A54CD0F60729&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-891620c2df1b06cb--6NYlbfkN0AahMpHASL-rqQOt-rayfGPjlZqDLP80wvjLoSAvCb3DA8jzMeSm_Cwk9Ua1eUEnq4aCjDmv62P9FIjDxYGPpOXfbea6ptv--gEuw1HA9ZYRCwAXXwKBtmliwIao8HN5RW1zHuURw-gCNwHu9wgcQDuftD7_9rmFT2WdTDsFCHx5eKOITLfzW0OBU56C1k74NSleyTWZu4HCS3Ofkkojeuid-6hArNTL6Pj9lEQV2fz2B7TP9PzMu-DmpAwvlUhc4-P1ncwYUOJcxkDC3vMqXgZQehKkbGs7KZv7j46cIn7mPA2ZqUqqThaI8LXEWS_p5HT1qU9ASCPldv-DXzWqibEJpvSUIco0gVFwfTSwYZujd-4svUOgLByOAio4EXhSB2YiTgTg8gF-Dh4_EQ57y17EWZ-vyVzAyhPMADmiFKUN7avKuwUXfs0eKC6nQH9DmR79lzMEic0GInd00-6RMFi0tRmbkznN2FZK2T-6TwWzipLmeidPVAqBiRgR84OXJjPz0xB5Y5qtkdK7GxZylcffqsDj75WyyE5T8NEyX6IptPArdz8jfASBYdHmZ4N7WImCIqZQoK68fT42ClngzNYMypLitzLFlc%3D,3.6,3.4,3.3,3.0,2.7,"Roma, Italia",Oltre 10.000 dipendenti,1988,Azienda - Settore privato,Servizi di sicurezza e protezione,Management e consulenza,$ 1 - $ 5 miliardi (USD)
La maison bijou srl,Progettista Tecnico,Napoli,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=220&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ea355cd9&cb=1676371189401&jobListingId=1008382730059&cpc=65CC663E25211861&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-e1fbf9a65761d4e2--6NYlbfkN0C5AuX564J0s_Ccmp48uuIdrf9KpORDDRLez5G8Uxa8zD1NXCle5f8O_ACHLnuyGTR5v7QnQ3R2bP88e5CSp_R3pHVREBsgMzjqCE8n4El9Z3K69XpwWRr5H5sAdfITbATebWGoK5LOJAxmKr8U2gOjR5rX8L2xXFVv8HcGreJ2p76Z5Xe3AEcvjmc5r11LIJbh1v7fJZkcp2ZowRaI4Zofv8H_OR2zij_PUTo3dt8hLwnjI_COiZdmgojIA2WFAvhUDJssIdOfNFCqeek_M192w9Qc4kssZKBUasRBZdPVcRMdPhMU_oMlMp3FSxyVTG18cZcqYwPOvaE0k1tLiVsApbK_rH9JzKFGvbKG0_FF8o_9CTdDdeXC47J9NIeMhYY4FNR8FvzfYtlEqSso-4RNNN5tZbO863Hk2q32NyzxIzgv_f6diX1NA92sykzeudYJ3zmW12BHe02tG2ExwBvMs3Wm1_dwrA5arFZOWfyHe42EM2OyJShXYAuV7swh4mSbAusrDDWymchOrBSXBSIF9CNQBjCeCjQ3dO9Ud9jkTiBirYZuboOy9LRZ2OYvBa-_Rhea0amxrA%3D%3D,,,,,,,,,,,,
CERTFORM,Ingegnere Elettronico,Acerra,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=221&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d66c3061&cb=1676371189401&jobListingId=1008468387298&cpc=56632219D727AB75&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-b3aba7beadccaa42--6NYlbfkN0D-3FQsaFb6K5kN-Yj-wYeYCLk6hY8QiV8Su9-Y7ucGGWhcMz4rqqesJf5meNCNKTXdaP-GOsDjqykQpcRtVzSJ9T7J-l6pk_mpQ-BPrkAK-8wyCzbUo7B-tHvAf6lw4ITKSMdjZ8XGmBa7HuQ_2Iu9yY2kRLnEF3f3FN92LLB1NPu3E1nIHv5Adr_nQ0dd-3pFafvJcp9Gs5V6tkbfzdxdbIfuZpDOTJWe-vkgkLP-0wlCjFWL1n_tSgvwzgx1J_uldDyBmDUEk1r6Aa9adUxZ_u5iDNn9nAvYoRh4x92tihO3OjejCFxDYozGCtdiDoAIcTl6nSHLSLgusT-Fa_K-fEHsFiwsvxyyZRi_0sBvu9ObE38kgsUbCxh-haBXmF4TexfF5L9i0dyRamPlymuep24xHByBcAwTdM-d05BoU1TotnAJ8tds92w4FNkCpL-12WqsxAPhVGvOgHmgbOchUAZYr8soETIvqR3aIW8-ho45AhGnw_QKdmWaXInzQXQzXkDS0FH-_ipigc0fuu4-DtP2Yr8PV5MNvYw0WCjtaUKcJTnWZPcCBE_gB5racqjf5G1-KRbf2g%3D%3D,,,,,,,,,,,,
Assist Digital Spa,Operatore di Call Centre,Vitulazio,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=222&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&cs=1_239fea79&cb=1676371189400&jobListingId=1008323674592&cpc=1B5ACBA47960D310&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-9b9bff7a33e58860--6NYlbfkN0BImewq0amX-W1xY7fKQaAGnpysQX9CarUjLjoQc2hm5I6kbS3DOLI6VrWqtpE3IxmqWFDZr6Tg7hhZx9pUzG4Fb9lzsZE5R4PxwMlN_8QA9RLhwar5icg0QPWnWgz_43OT46jrNYKerYcW16nP2BeFRPo3jkPHaXVam3BpNN3cw_wAk2eSnU2S15adHxDp0yx0hhlv4bFmD8dVELC_bSdxhqw7L_nrZdzhn4MIafsywPCqXyiFi8qt5OfvvmaZ7vON9zCUfvrGcz7-S5RRnSRIFqnYhHqo-0mpGGpGw7JMRh7t_AL60qnJCf1qEoqn8iWTanhXvNMt0H5XwFwBNnLeESvS7_XqZvBH6wY9Qo9lc_euwktE7hwc2R8X_sQoMEy7EBZLH76BxnG3Uv1r6Xg7SAU2GafgI3lP-XYC-uf1W3TT0WtPTymzWdd61XFEbN6d105F8wMFJ-Z_EGZ2SXPrGeNP_mdHQhAnVGmJkV1vKwrYcVmZPjWRaV2IvNyGZwrQd8FlI9LXK7ESmcoyszcxBq38HMxnG12IqpXrqWH4Q1h1DdSpBHBBx1QV8t248A83AmLIB2KhsBisSiyhaSCQakcSHyBslMiBaaHJsBtky9ZkGzyTRpAxPX8WiG8awYq3uKWIOHqvIF9yJCx0U979Q_NCqjs5ieFhYNk7u-fjCc3xh58wpyVOr-EPUDDrbeKMwROF5iPsxqKKzBKvQf0z37QWAEyBUnA%3D,3.3,3.1,4.0,3.4,3.8,"Milano, Italia",Sconosciuto,,Azienda quotata in borsa,,,Sconosciuto/Non applicabile
Multilogistica Srl,Scaffalista,Napoli,,14 g,https://www.glassdoor.it/partner/jobListing.htm?pos=223&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f79e3ed1&cb=1676371189401&jobListingId=1008437760974&cpc=32EE424DE2B657EB&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-575bf16ddf292c14--6NYlbfkN0ATJXetwUb7nmp-RXn8Psmeq361UK7im8KySr37GRORWIwQGpzhga_7BAFrnPfsRTR4tahijpzPuK8JeM75iBqylrCx70pzOTnFHo63bxRmCe6vI5CatMIcCzvZBprhAYO7ZUEvgAup1AmKqJaxyehzNwEiv-JAmVV7ebBpaZZYuMUUfdgDOEIPZ70_tfweqe_RsI898udO_HSC37PhDT8H4oC3Q9u7MLU5gGP81LIjXqkwVjXRNU7qfaONVVRgdS6FToGNHHj6CPcVsqsteBmF3tmWUxn6M9Xr9jtZNOe9OxKaGNAHRT7xaqL-AWkSSOdRSAg3ze2L8jRzwGgFcYxiDS82Ir35gBftgdanicBDnMVh5cG59Fj2Q1VG9_4mEvsSdk29BlK5V36jNLXlocriSAyCaEfpF_jJjz442d5r6Y-hrwUgYzeLfI5H-odeVFnp2s1E2SuNd6ErQ7he-lEa7gchQljuD6UTBvmoPieUMEDMVnN8Up8I12bDrgJMZFAAzwk_Tl_5115Xt5LBOlV393MH7qeyj7qQ9RXnIuWX9FkndA_d7MHi28cXePqEtnICM5aZxCKJKA%3D%3D,,,,,,"Arezzo, Italia",Sconosciuto,,Azienda quotata in borsa,,,Sconosciuto/Non applicabile
Umana spa,Addetto Controllo Qualità,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">3.4<i class=""css-0 e1cjmv6j0""></i></span>",19 g,https://www.glassdoor.it/partner/jobListing.htm?pos=224&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&cs=1_0a3f9302&cb=1676371189401&jobListingId=1008428151013&cpc=217C45A42544DB93&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-ba2a8ef6cf0260c9--6NYlbfkN0DBkioJ74HNRv1kkbLI_dqC2yEDIKgJL0nBFSYaLvAaBKZdwsjGyz84gUGVgPPKCPrwy_5GNTkMiPqxTEQVAH8oaZB6Ofn5rUg_BySHPUlx4AptnkL59vp5IdoSqsmiSq6APfZzsHwRsLsWKemk4iBTQ0H2n8WqAr1r-23zZLZOl7Mt53Fgzmjjd2XsapkU9l0MXaGTDpr4nYuetd4-m38W2r-jAyAjfjlnzPKdhF8H1PnHhoaUNTwh00wUs5QSdL8li_-9o7kdHyh6QQSXs_atke56VL50M1BTOSnN-YywbWxbXe-xWK86Xro2FY32Yn8kw8Q8scwLXrBxWI5U3PsxLFdONcQg6kMWY06kCl4uVR7tPw7g3n2t5P-49HfjLZLcAf2w9MKyQ5B8hJI4l_xpq0Xsxsj1XIXo5n5Xc2kbq3RLTTwZx3xU1ZfnF4b7rjbYbI8DwwjePZgK5MlObQdqwekBlOPupkDRG9Gvgm21itjk3XGuxPk4kjMedi_1iR5VdXlbJmkz_GzIEiDpe96XFKJzYx_Ks7zclDRwLXlR-SQ-966j0lr6vNHFweS5taxSyE75e82FZCgmXnR7rI1l,2.9,2.8,3.2,2.8,2.7,"Venezia, Italia",Oltre 10.000 dipendenti,,Azienda - Settore privato,,,$ 100 - $ 500 milioni (USD)
McDonalds Italia,Operatore Della Ristorazione,Nola,"<span class=""css-2lqh28 e1cjmv6j1"">3.5<i class=""css-0 e1cjmv6j0""></i></span>",10 g,https://www.glassdoor.it/partner/jobListing.htm?pos=225&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&cs=1_b47ce4a9&cb=1676371189401&jobListingId=1008449995476&cpc=C19BE7EA145E205E&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-827998089dccf002--6NYlbfkN0DEfmD6JQM7-HYhm4jDDmBcRH1b0qR7FVEjWKgiWJa8VqkWqClilASDHWFysOGfwZF5T4SaeiKbEOGkRYCtByUtfc3bKfvZ176R5P99doQjMHFBjqBHOGbGpSsGuN8sflrURoS-0WUZ2MgXVdpr1Onl6Wf5VoeI14ktjsbzv1aQn9pRkZyl7XFwEVeA4j-U_C9OVXecl48dQVBBvhZtRohDVMV-Z5k_yhT_8UVemvSWGrq-5nxF24vjrgcK31GAAui19h3JeyraIDfneVFR_292hWVfwWi6H4hdOxl3wGYrkjSkaMPmjgQo_BP1EwjTXHvve9E0vfQu61w-eG89Dibr3fHdYPEGNNDu8UMq5ww53m_gEvBuz6sJM64SiM0ZD7LQ4yWxR3KHA_WW-rDSbcoPEKNlrdX8sxmaakOucWJki2lDIiI2ldLFy20HemFUm2J9yFIliybNNTuuXUT-dbOEr-r1gJq51dltDT-0Jb9iwfkLcqbnaRHEw169mkvr_uJ-mE5IWByNi7-1yxIQmiipfIMIbqar58uTAGC8ZLJXHqryiQBY7gLzMnbt65OEerlHjFayfi-d3w%3D%3D,3.3,3.0,3.2,3.1,3.2,"Milano, Italia",Oltre 10.000 dipendenti,1955,Azienda quotata in borsa,Ristoranti e caffè,Ristoranti e servizi alimentari,Sconosciuto/Non applicabile
ITALIA PROMOZIONI SRL,Rappresentante Commerciale,Napoli,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=226&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7f808c01&cb=1676371189401&jobListingId=1008105857240&cpc=9952A63AB06E78AD&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-c7611b4539dea828--6NYlbfkN0DWGTlFj0QHGhjOqg6m0iXX32J96oI4X5eD4BmHjf8mo0XSJXD_pW_394EvWHdCM9rs2_hyIqX9rcmv3SPB0eCaElizL1G-XupOJYoZJrXMsvoD8EDRVigfohXyCoGPZo4YXtOd7b_wrSYG_bG9SzOvAaec3l3Z3YwaTjFZ7VDJy1k8QR7eI9HkTxWEoLsx2tIx6AjY7RTt8cLEP04MTBWjdb_OP34KBnUTVP4xZiI-Zrt88cgNCkUAJJ4o9KHGyYAXLfFTCOWKQQa9Lmq8vWjk5dqBcsN60SwN-zoYki9XQY21zsjrUATiu1cwIWBkN0bemAz9nOqmTM5GOYKUjidEg-ihww8tOiBH2qb4tvxHKeKxD89UbibG_NbZd9Lhqu-eHF8jAJtJqumhUsiRL9rbRF0SLK38g-dCwNZz9gGkXV76gvfRzn8ghT_z91TkqCNBtQ923mOQAYBJ9KIOSYWJcMAzm6CAIPXW0WAQjnjAx-mqiayKqukhwBaXVEiX0gZ6Tt-dooz1kdQcerviRHeP-CxUnmTanxDodJfRMSMPYGqzUhRitsdiJIEewnqdHGU%3D,,,,,,,,,,,,
ITEM Srl,Project Manager,Napoli,,24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=227&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_34ac0f2c&cb=1676371189401&jobListingId=1008419569105&cpc=5E31031E1AFF45A7&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-3f3eb49a5fcc5efe--6NYlbfkN0CrJ6gg9L_LwD77aWAA7gr7RTjh6ApatSpbDrYrEBCdalRB-gRrRjtQt47ERLwFcgI3pMOcUzeKtBu0dMbnvinv4AfFuy4_hZI8YOa6RQx4oQYTZ9hAd_-fZ6iUZegb1yJjDK0lcLgu3BXE8lCuwMteYG7Y56yrqA7UcBpxdC5rwQc5EHKRrG1pF-5dUmaq6AmteB6l9eVeGUGR0GqLXGeL4DzKiS94ndKWNcIAQKJ0D42t-P5tB-H5u3isamO7EHJ12tmuAmHc73LYhImAqE3k-dBvQVGzxdfFq2CaleXvNf_LrepvqzxlLDgtqMYOWIcHEQ-miaozo5RcUPEJaaLIPt427pDbPGEjj5BNBI4lf8Wd6U7Xi_7mKg9sFwwB4fPeBBXK0eP7cPCf42PPYgQGXUTdTon25fVuj_SdRFtJzshgqpyjCrBEnnmpP6JWi0Uc2ODGJSHl_bw0AGwgkQnAjM5ZwP95X1L6hEfJFhWavXdd3tcHZ9I0TzFTGD4j2ZxizsRYBjl3REneSSSWq-A4b1fuhjOdKBJl47dHLpxLripixYGNxaXZfoosED93_YB-8088r1V0QQ%3D%3D,,,,,,"Saviano, Italia",Sconosciuto,,Azienda quotata in borsa,,,Sconosciuto/Non applicabile
SandAndYou,Ispettore Controllo Qualità,Caserta,,17 g,https://www.glassdoor.it/partner/jobListing.htm?pos=228&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&cs=1_d66293e7&cb=1676371189401&jobListingId=1008433390611&cpc=5C70DC7FEE0D01B1&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-6975912f7adb3759--6NYlbfkN0DNHicFt66bDj_JqTpJJQfs9EHWPmwL7DCVdQlRVAYJrBqVXH_Q6RSAnVxWmvLJXWE6UdEEBrJvE7PbVemiRBIjVJ81lbuXb5eD11rG_ek3CmsPEEn4-P9ShtV85lV08D1dyUTmG5WgBDPPMmt25MViK4tn6OfR_5YBxdKn6mIKsWUB6G15P6CSljp92unF9aTQU-dm5Lt6LWPFxK3DiC6DWMn4OFjrq1jneZnrVdLwumCDle42hjKz3sV-dWQ5g6X1SwsdyplMXJQTPuxh9ELW_9b7aJkz44TMGd-7xOUOyz1nOoMfkYtYi9WGZzCc6U4PsZv9vqD-jumFdBEjU5zLWjU_2kBOGwQBk2sYGfBl9HsGcq9OKzfh74FrGnx59I2stTb0dmxcbIQXZci5JlxeaFmYH168iZfyItJUdlUjBBAzWhW-6hqL02m_up6QLkpTqlCtfFSJLgSG_RvUErOGd79RV_JWSpH43PtB3h-RQQC9ZlCF_rz34EfrYKuO1y-xYvySqVXco2uQkwTKGl5xIw3TCdgi1XlKUxzTb1ZUE-ks3IRvJoZ_DKT2S66GDweTCIWLs6CcFbE2DYt_ap4uClaHDHd6nna7VD1dxJaPK9Y8-pXMEXI1T8A9rj12tQBxu-3sMJOmpg%3D%3D,,,,,,"Torino, Italia",Sconosciuto,,Azienda quotata in borsa,,,Sconosciuto/Non applicabile
Doppio Malto,Restaurant Manager,Napoli,,17 g,https://www.glassdoor.it/partner/jobListing.htm?pos=229&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fbca6111&cb=1676371189401&jobListingId=1008433146771&cpc=BBD63848FB84346C&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-ea54cbf3f93dffb0--6NYlbfkN0C0jkC67az_l2JZOdjrYW72hY8OzNLs-wjENDeKvUUf1piesqsELzqPpEuaqx3MAOT-XHWw2gUdthIFlmmDfhX0JoEUbEU1LkiP8BZdMZ8OfHrVeqloM8WEBaJe9bqr6U9Nb6QECs8Y9SS_wYE0mzyIcIoySKnGBbyXuHxI-qIuOcwVH-e2GNLoq5npFuw3v0aMrBd4d6hxWroLevHrs5HUMZtmtpbFrML58setlXdeUUXesb4hhT2B_PP-z9lnGbwgO4H_huPdJ86JaIfDiTMXK2k-PhAUoDfQwFRueUQWejB2wo4pdJr1v6QfyTejJX0VmexZkeO5fA1rpKF2BnwziuP_uSMnPrxqFIJJFjSIAmaWKnBs4ojROC6bY_PRXhKvhS7-clrKIqpV4j2X_pX-XR7BLh8E07opoxc6-ZhwA5cU1E1aFTCi0rTG-XINz7_d97-7ty0lBY6SNOGQ-m5NDoi4k-DKxdY20TSy9KM0qiCiMJFJ65m-xft74xc7OQhLi-NtIDaJHaGWOWZKbleL7DEHWUJ7OOGTh3yA2YQPhtZTEDUI6aavpiASHdsxeW3CXYkBwWjrFpBUK2wxe_VJSePZjKzuiG5xau5sthZsLQ%3D%3D,,,,,,"Milano, Italia",Sconosciuto,,Azienda quotata in borsa,,,Sconosciuto/Non applicabile
