company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,scraping_date
Zuma Restaurant,Other,Capri,3.9,2 g,https://www.glassdoor.it/partner/jobListing.htm?pos=208&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9f08662e&cb=1676371189399&jobListingId=1008465867724&cpc=009A9C8147DF705D&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-164e67f43f1003eb--6NYlbfkN0ArDc9yytoR9r1--vfD9gSs5vGj0tBk8t_Ktiw8pVNVL-dKVJBICLjsWQV3LBrbjxZ0Ndmt0XNao5l5rd7cExt2W83bGtSI4-I02wY8MDDKULGxbMehYz8wMHiNtL8gGfLDsQW3iiKQP2BB2vbQXOb26w1Q-d_tJm8qjrz_0LuPQQf5nQ_npNe3854teFazb73n1mtQabDf9NDz-WLq4OmjabubIAjedvKqkyClcucGW4t86cbmNRq4XVrO5j4QpYFb9inqQjSAnmIUIvolkbBFD1Dk5ZfcvOFsZV1Zp-SXPWqTB-8MWjM4lBisFy0EYhAQlQFkNowe8IG1FqKxglAyym4rILadHmawA4KFQ3JnKyVGOlMF7B9mO54aNj-3KisGOHTkQ2xC7VTZzoxvVrvZsJVdqW31kOsRCQOq2_c3a-AW_y6wJnf8llsLnC0XSn-_kCigBDLoaYEoWZpMcsJim1O0lBS9HOjW-xPcNZ9otSNrObRhW7_P0U0sOo12QRdL9w13p0pAn1MbMT5Q0rhV85j90FWihaO477mxwW8z56Toe4dL5aXkYs_2qh_qNHVficmIdoUn8i5FgCf0dP9w,3.4,3.2,3.5,3.2,3.0,"Londra, Regno Unito",Da 1.001 a 5.000 dipendenti,Azienda - Settore privato,Sconosciuto/Non applicabile,2005,Ristoranti e caffè,Ristoranti e servizi alimentari,2023-02-17
Zuma Restaurant,Other,Capri,3.9,2 g,https://www.glassdoor.it/partner/jobListing.htm?pos=208&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9f08662e&cb=1676371189399&jobListingId=1008465867724&cpc=009A9C8147DF705D&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-164e67f43f1003eb--6NYlbfkN0ArDc9yytoR9r1--vfD9gSs5vGj0tBk8t_Ktiw8pVNVL-dKVJBICLjsWQV3LBrbjxZ0Ndmt0XNao5l5rd7cExt2W83bGtSI4-I02wY8MDDKULGxbMehYz8wMHiNtL8gGfLDsQW3iiKQP2BB2vbQXOb26w1Q-d_tJm8qjrz_0LuPQQf5nQ_npNe3854teFazb73n1mtQabDf9NDz-WLq4OmjabubIAjedvKqkyClcucGW4t86cbmNRq4XVrO5j4QpYFb9inqQjSAnmIUIvolkbBFD1Dk5ZfcvOFsZV1Zp-SXPWqTB-8MWjM4lBisFy0EYhAQlQFkNowe8IG1FqKxglAyym4rILadHmawA4KFQ3JnKyVGOlMF7B9mO54aNj-3KisGOHTkQ2xC7VTZzoxvVrvZsJVdqW31kOsRCQOq2_c3a-AW_y6wJnf8llsLnC0XSn-_kCigBDLoaYEoWZpMcsJim1O0lBS9HOjW-xPcNZ9otSNrObRhW7_P0U0sOo12QRdL9w13p0pAn1MbMT5Q0rhV85j90FWihaO477mxwW8z56Toe4dL5aXkYs_2qh_qNHVficmIdoUn8i5FgCf0dP9w,3.4,3.2,3.5,3.2,3.0,"Londra, Regno Unito",Da 1.001 a 5.000 dipendenti,Azienda - Settore privato,Sconosciuto/Non applicabile,2005,Ristoranti e caffè,Ristoranti e servizi alimentari,2023-02-17
Berendsohn Italiana Spa,Account Manager,Emilia-Romagna,,15d,https://www.glassdoor.it/partner/jobListing.htm?pos=2617&ao=1110586&s=58&guid=000001865bddf14585832314501f4df0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ff33d6cc&cb=1676578520551&jobListingId=1008441433791&cpc=E6B95A06C1BC174B&jrtk=3-0-1gpdtrt9dghq4801-1gpdtrt9vgsq1800-ded7619fc154144e--6NYlbfkN0ASSBlZOdVSLSPex55FlxZSaL6VSi3B6AqKZ5jBbm9O9-EUBBbzHgFOwHYTFso8_NhwsOpbUMmYIpP6xqWGa904ZDR-j7MBtwZF268vBr1HwBM3LiuJC55N0RyaxghwYhtwL80rMI4jpEwxFhghv5mP4wDzaai8EZ20X1cafno9DfodEHcKdHirB_z-2CZ0ZWhHoxVCpe0Jll3odr5hQU9eIZs-Er_fvptIbTr7I3oQbdTQBbEv0lsyli2co2GfteG6cMFG5osiWFe4fi0092W89g2RRpe6-Hrs3lGkjJU_QsGgvzJ6QCcSxooyokIOSzp_B9rErBNvfi7JPMsEymIEXEYsQRLeAv4-bBrwIXjCu_3uygAy81fGAYihCBbxlj9iUvpdrFeHP8aUdwf5UfVynORMsRGfg_w025COaD9SXTTwMnU6B7pPk1nibY3X4e9jvl5bXU57KSMfp1PAqReLgjeRMzmIW1n8LIWyjclWY8-22xzJB1PMcoPNFADndoA_W9h95UPmxIn_0tH12cU2YulJdHBEt_Z3JWCXsfRde6Ssr-V-_QxQtgGdhxPl6IBIvlWOex611-rmY-id9IY5SyTQAtzw-Ij-YOLv9tvwF8b_HQhMI9Xw2ak1Ct-7jaJJDdxCo3Drih-z-MlY4dDRG8JabspIGmqlH1WMZ7EKOLw4MzNU4pF-HoB4Dt2wCdU8pi7t34dPVEJzLCdKxbuy,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-17
adecco,Sviluppatore di Software,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1708&ao=1110586&s=58&guid=000001866075492398d55075bdfad797&src=GD_JOB_AD&t=SR&vt=w&cs=1_0cde639d&cb=1676655545042&jobListingId=1008379688999&cpc=FD56AAAF1899B499&jrtk=3-0-1gpg7aiabk6dm801-1gpg7aib023j1000-1f96cc6f5361271d--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFK7AudwSoZPw7WBp2f7O1lnD3xgj6K_AnaNsO6REcNyRkRpeOWTAJdBSVLb3JDx8-dIq7pxPdkyuX6IRbRBJe91lWbM9tSKsPDlfi5YL5hnLFPSHmdhdQP_oCJBp-M0PoM038PPfvdQJBpR5VaLYOm4tciAUXsN65EuCHyWatJDiLP-QAFTpL0FtjCN13kEgs0hpr_QR5UW3ejgOWJC5YOW6aWHDG3DOXYch6Z9V0h4sVy4LKEBvcoPX7Ady21thv8wCw9WcRfEesSAs7bHjf3JrYb8hvXLVLLwUmEasMZ0dwiDqL_c4-80vxeJjVpfZ-SMazhQwoWchixANK2yLuBOsegb1if1DhO3UBRDtE-TBwB9Ly9zsGxowVRjLifsGDCZUlArRiL1kLMm2Tg_7mr-0MCTSSkKLWQVp1P8t_HQcrDkpA_-RKJfBCv8LUifm9t1iUEJxf8t9h_UQCXes34cyFqC4K1IGW78uv91inYXi95q_3-4MXGvTs6Pj10gTszk30SvQ8mBcK5JHf4q3KCeDCBn3CuCANlaaIFKh_WNoSn-Kd7wT25vUiH-TAAH_1CNq5dvgMYpgyLOTU23VsOVPS9aH6r5dQT0d64op-_LjmJsHBuxsTxXYeUdwscG4EO_WDtIXA8DGg75TNAUOnt2FF7hbUqJX_dr7As1VUrzrajrV8WxbRd-knPzgGmHOMtaLef_-HwLXEz3SkCfOT9pswa6kwO_Fb2DAMNvTDiu-bw6jEqQgu91yWuVyX4pTiha55nkqIlmr8%3D,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale,2023-02-17
adecco,Addetto Reparto,Minerbio,,22d,https://www.glassdoor.it/partner/jobListing.htm?pos=1222&ao=1110586&s=58&guid=000001865bdb7f11b7b5ef90abaf54a5&src=GD_JOB_AD&t=SR&vt=w&cs=1_4b382d3c&cb=1676578357465&jobListingId=1008428779357&cpc=1641D5D5536C06B6&jrtk=3-0-1gpdtmvq228d7001-1gpdtmvqo2987000-f32dc9649fdcf40d--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKzkjyBSgDOWMTngp9smi6REhCjSBrIE_00f2XCll0TsemW5bPXqHn1SIMYUDozSvywH7wmHTmz09HUjGHhSMouGCJmDbpTkIoTAc6mHM2OlB7z4ED2j9C-TYaWOT4jh-lzk0jPFwawKGKmX_usnj4uxjpIU7glFnse8b5txU0XmhpC37Ir_MrhT3Y5b0ioYpfsTNaCeBJ7qSDyKLoeDq3kzcl3FqegmGI-CpPZq3Gv4mLQmgXnwfjEm3Z1oqLDEYadSDEgces6snYPPbXJCeVHWndvPC5kNMTwD6otvOjx-9WNpp5qujNCCVLn42dVKQ8RU3ZHFzZaR5DzeSlRSFvg_CskrKV-cEVHBW_efJ3J5odgrJohDVALWUv1Wt-S3DLnpHg8blMXJXL6USLMcDNOFRgZgaMBXJ-cBbuKlLnIj95_p0wh430T0S9-afDF4iaKcY1q1nY3h9-bN5J1pF864hHNdv1Hz0L-z3aQzI7uSKS_pv6c9pkNO5ZtIWQxym9O7ZeL1C2XiVCQ-HCszSkx2gksj1YhIJ-TV95UIXgx1dCtOpzH3v8aEQwktjpcuVhpld64FSQ2AcwPJaTpA4azpARvQEWBJ_9Oh6wCzo8NuicBBaCmBvt6FGFl5WixUDtUv0MMwa68XzEDJ0BXljL11tann6iwBouNoDwSLNgAgoBWz9uvwuI_KsfMTTrEtKoRy4iQjzcNN0HzMy9wNA41spMkiaoI5mxQgzVC-hEGZWFr9kLdriAV0duUki2V-sFMPO1yzqj73C7kV1iop-3i1wfhUa26Z1uhSz06ODtAKVv_1W-7HTgUA%3D%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-17
Gi Group,Operatore Della Ristorazione,Italia,,9 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1509&ao=1110586&s=58&guid=000001866074d5fda59be269940bc0ac&src=GD_JOB_AD&t=SR&vt=w&cs=1_ff30d85e&cb=1676655515515&jobListingId=1008457138314&cpc=2187E14FC6F1B769&jrtk=3-0-1gpg79lh7klsk801-1gpg79lhq2987000-7b58aaf4a3ef29dd--6NYlbfkN0AjN2sC2KrypivsDdZIpLG9Ur4JyJCStDLPXMqBjOCAWTHzBpT2G_v44lcYG9O1Lje8-HA1pO3JNLx65mwS9vLvR_cZzanv6o6i_bGOKp8XC4XfbK7AcXdLGkV7d3SATa5zIJO--CxCHdGipm-6yYhBIjLYcR3dAP-RNJ0vtTbt79fS479tDGHIzF6cLrUvJvfHkgVQcASoOja3mfMK35T6H2Azd9LCEw5R0Tomfs2sZcveWgBXtysyNdNMTk42Q6V1h4T6RmDztwH35uq7sGAXrqWpvWHbDiq2MuEu7pN44gowWh-CEHzPnGFdsVMY3RZBP_Pm6u9BN-RHtS81j0rAS47g2AE36uugVkU8QZtWzVCufzB_JThgJ9vymxFLmI7llrKEm9UIn1IFRi3WxmEdl2JmRqi-q7lrDrrRUyuq1zrfrY92D0I7fIYRcSZ4ndI5cEwklAaCZx_70qR381NBmbHqJTcL18ICceRVKriCV0_WUAGTsMY8gI5xC98JTx7xjl4hLYbEtf8tkhHEKp62xYhEMpz3IVqUKoJZwFYxWbUT-LyXkHIHvYa70VrSeu3oCjUmLybGH-ARRRTseG2TYpUyxaQUhTQ-FKumcVdlAT_KjUXFFXKGsBzyhmaBTYg55COOAHdDonsXBiWbk7EL9i9RbAM50jI2HASi2IZmMyfx7nUMZQIKmZuCgfcJG9b2XWQfDxYQprz6KSPeUL_5xYx19csQoN9OX0l23uyDTJUFhWMwoI9F_cRp3p8TeKv_8m8gqH-2TxY5oWz3CI_BZBgZKJa6yIA0bwexLafO3yaLDsrJ3mzB,3.2,3.3,3.7,3.4,3.5,"Milano, Italia",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 1 - $ 5 miliardi (USD),1998,Consulenza HR,Risorse umane e selezione del personale,2023-02-17
CERTFORM,Farmacista,Sorrento,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=2028&ao=1110586&s=58&guid=000001864f85589c91af94289bf68a68&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2726c338&cb=1676371384877&jobListingId=1008468400128&cpc=9FFE37255B2C047E&jrtk=3-0-1gp7oam5vi3b3801-1gp7oam6cghq3800-45459cb6687a150c--6NYlbfkN0D-3FQsaFb6K5kN-Yj-wYeYCLk6hY8QiV8Su9-Y7ucGGWhcMz4rqqesJf5meNCNKTVd9QQGzxncQGWgu31q75TsLcXka5T_eBTcuUVEOl6aHr71-DtggvSwPJlLuoga7TkmQhGTEZBG_2qPR-A_GlV9CerR58H_dDk_G-fdJ21qdMQnl6juaf0ovjwkCkxD0UmRcltaYw7AOCp4MyUQAFhpHaqvLScRxWz_7U2-EQtVaxrTJt4rAan0BaBQmdTNdme7u411rgFqJOL4y09ktebMrsAxXyxv3oaabH7qghiuYv-SfbcKK3L7uhNUD0dbuuWPbdFPSLBv8p98rLtIACS8yI7AOeGsNJGcb8CM3oseTrmniyuZr9N7r5oZL9gCsZcSIBt4YzewVPbDKku0wt0hRRCII_nQNPG9kCm2ZvjBFc9LQupxoxHbXg23aIhFMSLn9hZalfVbjElCJFfq__NfjFMT4bqnlwnCK1Vmi0o-l01AhfeNMU2XgcTrvMUsgiLc1grtI28_4WmboVMd0PWW31M10Fr2P0ZtjFh8Itp2p8M-lDPahO42u0w808eKeFO3FEeQKXrd-Q%3D%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-17
Osm Value Medical,Project Manager,Napoli,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1709&ao=1110586&s=58&guid=000001864f84f1848d35b6d839daf872&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e417cb25&cb=1676371358384&jobListingId=1008130741799&cpc=E509DD49A6927373&jrtk=3-0-1gp7o9sd5ncdv801-1gp7o9sdmjca6800-f00b98311ad101a6--6NYlbfkN0B6i9xeVABFT5L8de-qXhyg8UHgvplG36njblT18AVkYqL1QYvO2A6yDoxK_Nfzt5fFq46i5O5r1CbUp9Jx6BacxFcZQ3j3hRV9hUhrM3b_xuko8N48hm4ZcgVtuardN2J0J1Xmx6uCe9TprJs-bU_VTbhiLRfFZb0kGH186bxiIeG8f8vSBExzafFaVTNNQlrc6vNzf0t7UeECtQiqDtN1EiDfeqnHcGuZ5_EadzDi02H7w1PAb0CizVHPirRgKJs-da9HiQMqZd9XaYtOOU_tGf95H5Ma9gUa8-zeMKExqpHd7Y9YsQL265d391yLrPruEp_9GJHP636vtnJBgHo_cTszz95fVPEjrF539G2QbLdgVXVvLns-l9xJD4jjGTcD2cCxXmivySR1jclseVFK1x1m386aJliXfPTp7d-auUJFsevPYb_URo_j8uVx4qZE9g92aNe85QjpT81g8I8mS1HOcC-WBkr3X-8hZihRu7YBxPm4P_K_sHI1PRgtEun-8I2KdEOMEPdAzif4iAqWqhMwvZmx1SWFkuNqxPS6jMIFRu6AVCuqLbey2hJiaL7JJy7VCUTVztqLrZTDF_uR-xTfOmh3MnVo8ke74s6O9A%3D%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-17
Assist Digital Spa,Operatore di Call Centre,Vitulazio,3.7,12 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2023&ao=1110586&s=58&guid=000001864f85589c91af94289bf68a68&src=GD_JOB_AD&t=SR&vt=w&cs=1_5bfe743e&cb=1676371384876&jobListingId=1008444231309&cpc=D5E11A5BC695825F&jrtk=3-0-1gp7oam5vi3b3801-1gp7oam6cghq3800-4ee16a8d82b706c7--6NYlbfkN0BImewq0amX-W1xY7fKQaAGnpysQX9CarUjLjoQc2hm5I6kbS3DOLI6VrWqtpE3Ixmqb9zfhnQwiQs11-GiqGFkKY3aroPRnjmD0U_n6UuGF5lAa9UxQPfCFRcFJjHafNrperSGa2gvHyLP__Y7gJ1rMfFcBbao4B_OzFj5Kri4LNKiX3tSwtJCsE_FOrXU7bEpSIovde8WzHZnC3S3VH_5kxJ2EO8Zn_-aek85YcCWc_MPUZzNUq9jXe9Qk-gQSebeDkxrETvu_HKfc4wPaotR3KtrV23bUCE6NyNmNT3I7sHZeIV2ZBOzmaj2AWlCtf-zGwKvw0-vAKlynkXQeHjjuiRJYDzVy0ivvuSHORhpJo-4sPUlUrxLBj1nyI2LDdj1oA1EMy7VDNrhtdFdd599tCXZ_9ay68bnW0T4bbtFWVraNHkAMW2vaR2Ck_s-ZyuZ31Vwa65XR3gxL8s6ckqyEP-ti3Bdaw3odlB76GgADtl7Ykwj9Dc6uNXCkilVduDyl6g733Btp11rTb1Xl-lEDJ5eBvhTlmhUznz12Czm2SdEv53f5ziWRKRSf15AYyYwcxkd4CwfvuKwRQQSRTBmvqOKHqc1L0WIGfukQ2IqPOY1Z2H4BT5HIEcoswRxS0q3jRojhxOrLMwgzsZ9wMu0o1CbjrNPM0dMwKUozzEHfAkewd8EoDMgtYM5EpiY5IfQ3nZL5yetc0AopqUUF_sHDvx4WUGdb7M%3D,3.4,3.0,3.9,3.4,3.7,"Milano, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile,2023-02-17
Kortimed Srl,Impiegato Ufficio Amministrativo,Italia,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=1812&ao=1110586&s=58&guid=000001866075754e962b39f15ac22176&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_528dd7f9&cb=1676655556340&jobListingId=1008478384897&cpc=5E31031E1AFF45A7&jrtk=3-0-1gpg7atbojor0801-1gpg7atcfh4f6800-957c57c3a6cc2709--6NYlbfkN0A0GbkwyoiUH6bOU6k0j4nvwaJ538co4CSUEu_HHbNjAQPYLNKmFTVlosSd4uwhBgSMcq3tWTp-QBJAipUTKdPwC17YoCEn2be9q-WF1K8YUuqJ-pIdLZH9Va6ETxyJYMhMJJis9oztSt-BeBJGYFXWIhiiMMuP-YqdZlAhc00v4PTHumX0USkTBgedKd87754pnUHJ3VMrLMiU2kds8eXycBS9WKt8rqNEwJcqxvBE6XqMyYwbUS7QTKE-r5kUo43sd8TJ1pJ2OqbVESlIZ3Fm6_6elFzDI65G9k1gJEvUkIo2dgtaLG3z57tE1bBnFIVdxcxctv5UggkjkILzgbQTmEpGugAXng44MuUdijD4kXjU--UJIbBVSHoEyuvkCW_Uq2rBRq4sxmYj-fhKpooXbTW04PPRsIcHrQYgN5L-U3OY50PJggyCBTmFzoA_OQC1slctqZkZdARIBiiQsRzRKdentlPxync0q7-uqUltjtLAroqxxnIHmCuXwHHqB6GKlMjqyFFkBXAaPHSMbP1LuH_J5ofikRMPfn2FCSNTPGwMucVa1AIbaP1eUXCh2aEqfuSpuOT1yA%3D%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-17
