company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,scraping_date
Saipem Italia OFFCO,Security Officer,Italia,,3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1601&ao=1110586&s=58&guid=000001866939f2c58294d856685ebd6c&src=GD_JOB_AD&t=SR&vt=w&cs=1_273f5538&cb=1676802651095&jobListingId=1008474128563&cpc=4A43B94DDEA77FFA&jrtk=3-0-1gpkjjsn8klvp801-1gpkjjsnpi15s800-f8f3465280bc418b--6NYlbfkN0CsDm3IUperF1RINdpGHLuhgFoi3Ntjo5CuBDSv6Xb6c2scNx0yUYfBgcIMqq9pQJFGLQwIdpDybKZfy4JQqahjxFN5V8nL_yfSI4QbxTWXdRfUKD3P9ZjUB8gMrDPF-MNachTuxxhv8NlhO_Q0_AE9YqHg-syf132R4qvrjoc69uchMY2ilGPKAyUaDsUsA5JWPuGONUTMZHk8fZZMHsgF9OsVPEXp-FXth80KdPj_WnncCglXK6LHKkuThLJ7MKXaHN-ibg1W4byKSiM9q7OszsxDzMbR_89_Ev8GnlKORKptj81k8rCyJ6tL8688_17dDW_kkZVNz9zaFcgg2kmUgypJtyHk_Ah1bIFAWeGY9egVv4MIKX3jH6UTY_F8ri_hWMqGgPVZup4KXHph2xnF4hco48b0aSbTF5eLPa3kU0DT60kjtKaY0HDVkgQgfgCSWUNkmNyakzTO2xrZzRLvONZY-4JGcjdvtC6A5cTEXAzX2p5hvCTO7rG0xc6yfemylLXdQ78q-wilEN7ZotBiyPPnGH3sZODcsjoaqiMO56vK-mYfkRfPQUbZ814iwrP10COU3BWLmyToIEqzeqPkGXrHNpEMymKkx3b6yXX66oZvwpU2gxtFthqDWa8XZH5gPpIUkSGH3biZ6bf7qFXqPKG2rvC1FK-3CnAH2_eNRpY8XPGcpErhTkoIrZk8WkyqHczlk45jzhjNtusApl9z,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-04
Adecco,Tecnico di Assistenza,Cagliari,3.7,19 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1602&ao=1110586&s=58&guid=000001866939f2c58294d856685ebd6c&src=GD_JOB_AD&t=SR&vt=w&cs=1_c8bb9604&cb=1676802651095&jobListingId=1008437879403&cpc=45DC3EB807283E85&jrtk=3-0-1gpkjjsn8klvp801-1gpkjjsnpi15s800-70922d06aac29a2b--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKda-kTTl3QRmj7tRtVZSm0dJKaHQ-y48kgFVljL9XBIVHbIpwbl82A58PIu0oaAHYHOhw5L6Of98j_K7Kkcs_YSYIFvmm4BNw6Iepxd__8vs25U1hQ91O3IRmX-uYEf_WweLSg1NOpIhziEgrYgGpWVOVA6qpG_ZZ7NK-Kvs4srP4Rj3Dz2kLvY_y6X9wDDT87x__XbVjISPxfhBWGPR6m7Vmf7e8WpRduhIuF6KMLHcOPVejhqsnWE-GN7tZlEN0mNwbhMdu1yg8pHjVAwEx8s_Nmyz3XBGdjcLHxySOVCRcnNca2P070Jh9acOPcXMlJn57MGoxeuZLkk_dwcVGAyhrMo4b03606SZAyfSg5VTwQw4qQv3D_FLlTj2In3aynggufQJFVo-pj8aTMTo5JRm-gKkzKE_HmpIfOI4pmCt0jnJh4-jPa-Z3VlkTixUR-g6b-RSMP9q0Tx9sg9xfISeYFdO5r2h9iot6cW-2veVCLSpfXrpa4g%3D%3D,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale,2023-02-04
Facile.it,Consulente,Sestu,4.2,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1603&ao=1110586&s=58&guid=000001866939f2c58294d856685ebd6c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_add05a00&cb=1676802651096&jobListingId=1008145082584&cpc=BC94DADD91C18169&jrtk=3-0-1gpkjjsn8klvp801-1gpkjjsnpi15s800-2d4669e791f789ba--6NYlbfkN0BmDrR7OGR9gJmF054fDOj_Irftsb9Ib-ykftL4-GTXRCGSkjph3fWfRaWfCQT5_RZIIwi5ZOQo4KHPlotQaPWrrPdZT1b-FA-vJKOIGBrAutlSGTJ4f_4oqkp5fRO8pUuHjCOh2_viFsl9XF48PJnC76ENcr34roaHvgjO10T8WBSS53V_EEe16KEw4ImlcX4JMTYGYSkQDHLd5crGpiQXdbOUf_BGbOs67L9Uw1__tbJKrZqkSOqqsavbvJEAGjRLEVnipVRLRdmqq_WOFCaZmTkxs82O23Bx8XJ0EddKERARaOLCesLR5A3gXkfMXdgwp1LxbLv0yPJQfSjy18tWGt05Bi0W-x96ibjaIF9wlUKDxZrejDIK4IhToE4H54cBEQtTlf7isOwN9C3JkIfTfFxlQFbiaSkNuglhP7KLKwaPF6xPmFfCjaVfS9Iuzn0E0c1LO94rdS_JHePLkJ3S0JbFeOMjktu0txZs0bYhaeRvN3FbgAUQtQ6hYYc1cBATOeoql5aXNJLGqtuAgKb2EUb-ni7CpFf1vpgtRd7wJzVFhMokJBP36A6WeNnERQZwf3oZywLKV9R6R4VYm-rJksAhzYYJTE6RTMiSQenG3ZOpIXJNA0ItuclbUOe5vKIgw84LIjpgYk1TXJsPnYyNiBPE4fT2PMs%3D,3.9,3.2,4.1,3.8,4.1,"Milano, Italia",Da 501 a 1.000 dipendenti,Azienda - Settore privato,$ 100 - $ 500 milioni (USD),2011,Servizi Internet e web,IT (Information Technology),2023-02-04
adecco,Autista,Cagliari,3.7,24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1604&ao=1110586&s=58&guid=000001866939f2c58294d856685ebd6c&src=GD_JOB_AD&t=SR&vt=w&cs=1_e6a49b52&cb=1676802651095&jobListingId=1008428775077&cpc=9EDA28EADF1DF7F0&jrtk=3-0-1gpkjjsn8klvp801-1gpkjjsnpi15s800-9a5cd7abf9f390d3--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKdzY5G2Tp0o4LyaMfO5bKfI6BSgbSM1oSE2GJ3ZI9FOpBY1ZsHENkmIPZxYclVdIc1GV921cbNTff_ZU9A74rtysuvGvYZqJ7ptwQzrZjSasFBgiuvt9F3qaHoo8T0lxVKshBd32xkmJcE6YCl3AWnCx8ZCs2V4H-Tsq2h6UajYl7ZdzGwSNJYT9dLeyAqx7nOjkVjY-zH_d7y7qzaPhaI6-9vdYVENUUQ04U8AuCBHvDHZF19UTW8WrfJr-0Fma-IJRekIsj25GgSBgqjCASVGS0OYvs5-86kmJqcn1N9VA_jF_Oi-JjA8cDTW6Vp9FIOqLwNa750G3R5zK2rJtTTMX3m7H_xslJ20sXMrcD0IQFCGx0ebhiQ1beyP67ajs4cq1bYSXN965v-3dMDqZLlMk0pY18XuGahvESMMb0ytUHzqZ5xE2-BV13A_LI7ljyL2GT89lhqYY89QSzixXbriWJYUn7fxTFUm618hfVHGn7Dx2O_Mab1YGH63IeuNBl9avFEnHEOwdwOjNO7GNjcmiaevTpypISzy1Ekz0DZk50nrZ3ij_nvNCsXZvhu8oLl1jPPtLDpwAKw7h1LQ8H2E0T3hfIDgfQpSgzzL95QBVEBYVfB-0xpeH7QBCu2fRIIdOimfvdAOt3jOGfERUlbKuXx2IVwlz5koDjLfzuVmzzB36T51SNIotTwsEpJIWWZ6xn41qM9Vzrjo5L5ldQeop4ryDT15B3_QMhFxAOQiPNonULVlNUvrH_5H0QWm1g2ynRJkf_JWTKiWug_sQB3w%3D%3D,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale,2023-02-04
Eurospin Italia S.p.A.,Addetto Alle Vendite,Cagliari,3.6,26 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1605&ao=1110586&s=58&guid=000001866939f2c58294d856685ebd6c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d67cd989&cb=1676802651096&jobListingId=1008424011350&cpc=2CAED5C921A5F994&jrtk=3-0-1gpkjjsn8klvp801-1gpkjjsnpi15s800-ffa3be6a41b935a7--6NYlbfkN0C1abZ9zL5NYIhXV7bfxDjOB5o2U9Geipmv_mrCPZiQ0iu8Xnde5mL7-oAyK2qtyyrjruc29eqthOFihiCpVV2iKNxg3-2pGzqzdhrYHe_2b0kmI8M10weyxx7VRkrOZBxQTKt-YYxGR1wFbat49fg9FZfpGWbCsIyNbP1-2phrK3BaGfUg90GXyegqfWy7BXItbdEGHAHs0LS1gR8X97WI3BnyzYb_HsWK9Wg6j83kkYN5XukG2pNUAmwwhRQ613ab7gpS58wzccdMCPnHK4foNduKLBwODKC1rK2fbAGZ7f-91Ra5Jrmq2Yvz-OufvFnu07HtAeWa6XWoetpewhijRNlZf2VHv-7hDr0Fg8ehJBvdWCcH2e0LgBwEpW4UWFWrrJZYzzDm6QjC2Rd9O2JHMzucKvEJm07mNi2WeaXhZ1ufsAUYwFYp0XoxLUSWDOQeXcu8M2D7mMf9nxfpv-dmfFHJ-YGdNzxWkXrXlDKJVAj5kiA5x9fz7o8cI8wvDfbMi5eB1-hU3OZDg8_oWY5POh0gDvLOb9RXLWmWbBR4W37G0R6ErVOXCc1c7-6D72vSNNIk960bLQbEwdgt3Fn9ymGHQs9edaFQFC2dgEKy3CHn98h-Qh1X4gVQYt1i9c8%3D,2.8,2.5,3.0,2.8,2.9,"San Martino Buon Albergo, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile,2023-02-04
adecco,Assistente Amministrativo Tirocinante,Cagliari,3.7,24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1606&ao=1110586&s=58&guid=000001866939f2c58294d856685ebd6c&src=GD_JOB_AD&t=SR&vt=w&cs=1_70aca8ad&cb=1676802651095&jobListingId=1008428777103&cpc=2F9DD8B511C89582&jrtk=3-0-1gpkjjsn8klvp801-1gpkjjsnpi15s800-169b2b6547664e9c--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKHykkGYm-qu6J0gBIxgy3hCa7qrv0Mwhw588ArWco5L_wB2sWS_3ACLlTSdtmGHtA1vSEMq3f-SFT_2ofZ7IVJ12FG8VaAZiEgh_AXjj4yCuDB0dcm8uSIM3AyCkszcztOfcT2yYK38U5UhxZEOZ53TUn6excG-WRwc0Ac1Gl_dnjyF9AIavv9oEa0HdZG_6HuqIAgQ38Nd-5lat8R9aH9XRu2Cue2ix96CT--dgG4apLfmfu4gOVoQp8fdzfn-shbaqcCELHRRdkU86oMKjeEtoCvh0qgHDkER2Y_nq1Ia4i_l8fJ1hitz3-oU1PvA2aky0UUrtSzCdTZpP42afZecKpCPsEPOVyAeUMoEA8xaRNf6WpzA0Xfq9fJf70RxFnRZcHrfyzxP7Th6PchMQx-ZHH8MAWADdaUPNAOPdAcKrlDLRI2LUbpJoMI8YVgeBzfzi_VSHZbjIeeq4fPYdHEadoY8u-3PjWnfyaJaC47jataKHyd_WBmOBH27p4T11gRFl3auCumJ2hmf5Pz-8Ai9lFOhxoZYOUgan1UfFvPZTI9NcQKIZQnMefg8SSl8J8sgFOfV05epXjonUsv3jXYI-vbxyrJ_pVd_Ypb1qhpK8rt4Vn6WNZ7Mp2EKBHvoF3PUVNciwj17I2Z4rpOcd36Jpm6_mZKtCHkxoxEWkNDyulEXZcGBOYOGByPgi0FzqDITtf6P_ESZVxOEoZDCDPOBhUAiD5PeMVfVvYYGnJtj6Dz7UIllOCObYVwx-qhvmxHarvA4VGLKGB-uC-8WTPfwLSaeOQVukCZuwkTi7OG6U%3D,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale,2023-02-04
Innoviù Srl,Back End Engineer,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1607&ao=1110586&s=58&guid=000001866939f2c58294d856685ebd6c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e1f7aa07&cb=1676802651096&jobListingId=1008368578480&cpc=5FEB1BEB8E14EF52&jrtk=3-0-1gpkjjsn8klvp801-1gpkjjsnpi15s800-40127b5e07880c70--6NYlbfkN0A0t4xPpaDdi-j5jsi_NaPSSH4zucqp6NvY0VgW3NSQ2JPqQr7HgFeK8Vn4wjBjCgfUFRyml4YHcFQFTE4tAHsz95wtIf6-Qd74tjSptQZeXoah0IY1ZOTU9b8QYDE74i8IhZDUz3E3_h-3m9KiW5CBZR34695q_HnsUTBDkzyhairF_563_i_SrtCADLuKQp_L1E-s8utsC31sAnuCNEGhllgUKD9VFcZZ1rqDv1qmWud6EikfD86pF-pS1PUzruuYkF4CVkXAqWL5DYP_j2W3IiyhNRup3cDfzRzSxa-b6dpL-PMGuEyv7U3fzJ-QRK_kGnwg34jghDJKJ-ovPEs959yMywLsp2Lu4lHmObm2DsE6mY1OZaRA-kjdxAdC6WbVn0cbw67NRkEQ2FSpnZ0XV9vkEAxNiKDDiBOtpTG8QkE6z70siqhoBB1k3klWKBuPvpZ8Fdy-Kn5Mzg5ifg-QkHat-vpzdC6tAWVPK64wohYszcv67q0yMpCl0lL9C6hStq4wtorLw8MuC6PKMcQMhR5Kwu_zoPN-uqXDJgdy0ps2XmLm6frklzPZhteHIWAXlgF--tVSqpip7Ors01sbs5InVvlBhY8%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-04
adecco,Autista,Cagliari,3.7,24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1608&ao=1110586&s=58&guid=000001866939f2c58294d856685ebd6c&src=GD_JOB_AD&t=SR&vt=w&cs=1_79480bfc&cb=1676802651096&jobListingId=1008428775418&cpc=40021B6B9FB64F38&jrtk=3-0-1gpkjjsn8klvp801-1gpkjjsnpi15s800-030b7ef8434cfb5b--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKdzY5G2Tp0o4LyaMfO5bKfBVXh5IMas0LbCt9XRFcfRLn6VKLNaVMrf2H6R594FJn-WwXeED2k2Bzr8WYoQPc4pY0qWnbST59RVy8_mkL1lhhGRy-5NP22_ocMkpauANkWtqrocwzWfQ8pAjUE-hrcHwCuULd9GGDbYzzu2W7ghjL-344L2oI5bdIBi3ZBlpw6xRcy4HiHTVEKpUafwH4zMIkwWHiDQngmjnh3pSWP-kE-KE98m_DfqtjcoW_9INZWiCzRcc7gvwwuwgj-RNURDBoBLT4m2nmmL51XqCFCBUUqgd9mK6TNbf_x9zYXqoAgc8PHHQQ3I1d-r-x9nj_QQxkSzSz0qjgVVmK_Pbyl1jv3jqMTP24ETA0al5mV5eFbAM4lcRQYZm38RJiZBEYNwYPowXAG_AROomz86xCvlzfbQH3DiII7J0QqVgoLugJl3ntNS90zpxCwA-hAnNpvqJFaLu4ipdWG5beRej9i3Pbo7-Jfojq6gioLZj0-GfBa2oboyLIJ7s-IazKlb1HWp0W618wwZS0NcXZOoRjIcbsRb-v9pIiRGFfh3o8q1CaPf3uMbcR1b9pqhfsG7SIWPy0wHo8i0zSXg3Jl-S7C7BKZW5oIJssmMhq7CDzIQX84bbWoHicdndNiWypIPu5spMtH_SKFDta4K4EDlfRdkWbIVkIc8B99SpgYaZrhga9ziShBWmyWtOdzu0opsijM22qzVVYP4GNLgmjUxmFKwHd4-ripcn79UOB9BNV5Ushd2FE-v0Av0JiEMRTJHnP9Qeb58czb605FP0YQ8-lV6s%3D,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale,2023-02-04
adecco,Contabile,Elmas,3.7,24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1609&ao=1110586&s=58&guid=000001866939f2c58294d856685ebd6c&src=GD_JOB_AD&t=SR&vt=w&cs=1_b7feaa15&cb=1676802651096&jobListingId=1008428772912&cpc=1120CD366D53BFD9&jrtk=3-0-1gpkjjsn8klvp801-1gpkjjsnpi15s800-b0683a963eb21d81--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKHykkGYm-qu6J0gBIxgy3hEt69qFCo4LGilRQut-05qFU2mKUooQs1c4Gn16pQb0rnbSYEjQ2qSfxLWvIdz1CwsBMUmUtuDrMAGLo3f0VQNT7V7UJd9CBgYC6JOW42dbFiknnMGmax0zsecC94tZh5-ayvFQFf6AZm99P2JWfV2oqthhrxZeheU726nZq8MIEBk-NuuXfAIO4bafr-vhQDe-Et2C5mxDUfm9KM1X15Aaa8XJHhgoC7zCIWx8cQrYuFXC08fCCvevRNc49XnVRR0TSd7UUaE7-pILCZ78JYp8WCxKOWaVS8tYT0gLdQG1ObxCJZNFbbq2oA4iZi5LVSMzbBuA_6wLZNcKVGkXhMW8aFj1AlJZFz2zL1kGJ-G0clpIn2NOlSQxwGLnNJodS326PCvSIeAh9-CEXSHG83Jo-tP7fUKld7Fw49Eu59dseoks9PZ54RyiDW5SfrZMWAGV9TFPS10l6gA-1utBZSmZQ9vRCmfbsbvItuqLK7WLE5cutCB3pfnKtstaw9b8F9opli5yBsFmbws5iZ8Xj-mebhLxIHWFYZEAIh8uAQ46InpQRBuRoHyVzPbX6nxiBy3F0D2PgLgvruPHAtGhuVVxuq5zV0NtXPsptlk5G_x_GHfBlrf3lxkX2TZ3ub3rr2rJMVg19vIq0J68w9jTxGnuwo7o8ZNqgTt4yQIKcruQD4xavkVr03i3P3nhX-UWrm-orSx-_ehJhaWFKUicaqxBDNicsLHnMoWBjNpCtIZp8h9cxxZn378bDJs9hCBO5YNVEqiZ0FoyL,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale,2023-02-04
McDonalds Italia,Operatore Della Ristorazione,Cagliari,3.5,29 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1610&ao=1110586&s=58&guid=000001866939f2c58294d856685ebd6c&src=GD_JOB_AD&t=SR&vt=w&cs=1_844a7550&cb=1676802651096&jobListingId=1008419244279&cpc=1CBFC3E34E2A31FF&jrtk=3-0-1gpkjjsn8klvp801-1gpkjjsnpi15s800-ecf9c29168906262--6NYlbfkN0DEfmD6JQM7-HYhm4jDDmBcRH1b0qR7FVEjWKgiWJa8VnFtFWWxEapCqJNPm_0NiMpH7g2A5p9VDKzCAcn3FKO0sbTQZAzgZCoIqMJwvwCtP9BC6Pte3VI0ob5A26DF_BKBcc1l8zL2wjSMt3SUjp61-J8JQEnM8mD-sRRc3oQRu9nfrhQCy-HwtOfV_4eLMdPi-K3oix52LQw5kzKKcfJEAfcoI1MzCi5woihUcMXPxZVF4l3sUnCw4EIxJdlqnb8lKaBxlfu_xo10E5dq-zknLeitTe6yYjpBMQMjols2vPjnZoJganQxAZsnV4L83v9oa8Obhotx97iVpQNVDzSPuVLJUkEE1_OLKibDX1ImGMOH3LHwLt_wM0gZYKaz2-dJ-LZfABByxCrxOD3ewLNNQ0CBU-HdSo3ziu_W0FKqWSTbIRkCOsq0mUm2Z06qNxOLrb5P7wuk0BMoCWNelM70Fej33YR-6huKrcoNr4ZxwvpcNAYaRde8CpXdvb-53YgigcvQ3tOu1iKo0jNT0VITLnPn9bSYkj5T6z_7kjf5uj0bcSMl4-J1rgt3pix7NOodB2H7Xhou4YF7QTIe5nkX,3.3,3.0,3.2,3.1,3.2,"Milano, Italia",Oltre 10.000 dipendenti,Azienda quotata in borsa,Sconosciuto/Non applicabile,1955,Ristoranti e caffè,Ristoranti e servizi alimentari,2023-02-04
