company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,scraping_date
Guess Italia S.r.l,Addetto Alle Vendite,Italia,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=1601&ao=1110586&s=58&guid=000001868348a896803a766dd5c809a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8bd3fead&cb=1677239822822&jobListingId=1008489219957&cpc=43E37B7B5399EAEF&jrtk=3-0-1gq1kha5mklth801-1gq1kha6a2pv1000-e043527c3bd8e823--6NYlbfkN0CA67G_SAGmLKr1-1zGryutA_KuKy7K8eYaAWAKkAexSLJ-g7tP2z3xY-Pu5UHMF1qMw55Avltwl16sMkSCFv_vJsDlPdQawX3Q8Urk0A5Fn0Goe5HSk4X0ysuoN78ZLEGPzZ8Jv8Yc2wdjBZ12AdCgaqUCi15BR61eqsq0s1nzpG6O9CxIm86d4Kt0Co4NRgV8EHOaCp-VG9_27vxVLgis0SVdxvZu2V26PoTrvdCYwvpO-be83Nh4HPXiec8Mf6OaRzWVZJmc9np1XBYEttZlLgRYa6wvKDc4oyVQ6S63bKS2ZVsxITWElyBOWYRxtm3u5BzfcTU4tCtVTZBWBzvWkw2ce4atnpH_Htgry4DlYa1gfmk8ZJKD-Ke4lZw65a29WNSSI_hdy9iZUZ9JgSjT8YPrQY3NdXP9Sk-5mQZGU5G4MQp6PhDC6yuT5WQyovR78iP1lZoWCTZe1ibWzj_pgBWj46mnCHT7F5mLenXpszrpyk8T8SdKtB7AkAjEuC3OJ_L8gokjaeMdk5XXK07djLb-aAvdaxdVjODD_HvqG7C3-eGD_POYvM4bzU8Qd4uqy5KHqcy0unt35KWIHHNF,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-09
Facile.it,Responsabile Commerciale,Italia,4.2,29 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1602&ao=1110586&s=58&guid=000001868348a896803a766dd5c809a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d32fae96&cb=1677239822822&jobListingId=1008428542711&cpc=38E0756619F973C7&jrtk=3-0-1gq1kha5mklth801-1gq1kha6a2pv1000-9de9e4429e682922--6NYlbfkN0BmDrR7OGR9gJmF054fDOj_Irftsb9Ib-ykftL4-GTXRFTKRWP4aEhPdtGYU0uzziyByPg69YTdLMCakA6i5STr3NYrHxVntkiwvre1ra5QIHsBWyWtRjkykNtrmuTRG03d6CE59kcbq_G3XYOw-Dckdex0aHIaQSEw2-5GIcynhmAfsfTrPXNtbk5VShSsdKYKD1CkxduvjtnNMR6TO3PzqVVSINSvxvsR5AA5XYfPcBP5xpjm8FaaBCmlA8qc2AphxwEhg3ffgBz8WEOyMcQAX87i26yPmcmUSjK8DXRs3dL9f8In4qt-sp1qUSAFq6EFBBY_mtF31qypENnufqp4U3srRiiCwe-aZ9yFh7XhUaqSP8C1m1CagmOnNCardbzok7__v0jj3U6VIcCkob-GNdtS9cc4eCMAmMvd9Xdu08NUtLjphgvYCQrwHehOSdzbT814-AeWEg23gKqLyp988N7yl-CqdI3xpmztgxZ0m11k4NRahBXUgGknH3hAcbqEHyhg00LdDhGJ36yvQtW7tjr52HuiaYqPqpg9NjAuzmhci-wuMyEalvDJWOeIQqgpAoCM5FLDcvmDseb2h_erN_Uq2Wqz-SmH8ri-XveUgOGI4Xbrj2ymjbjwX3PGTRCYWp7SL2Tgx7LiMKZnTzov,3.9,3.2,4.1,3.8,4.1,"Milano, Italia",Da 501 a 1.000 dipendenti,Azienda - Settore privato,$ 100 - $ 500 milioni (USD),2011,Servizi Internet e web,IT (Information Technology),2023-02-09
Guess Italia S.r.l,Addetto Alle Vendite,Italia,,13 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1603&ao=1110586&s=58&guid=000001868348a896803a766dd5c809a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6d01abad&cb=1677239822822&jobListingId=1008464381753&cpc=B1361D5F72E3FDAD&jrtk=3-0-1gq1kha5mklth801-1gq1kha6a2pv1000-7477f64e3eb1b4da--6NYlbfkN0CA67G_SAGmLKr1-1zGryutA_KuKy7K8eYaAWAKkAexSLJ-g7tP2z3xY-Pu5UHMF1qyJ8ZQo784jUGrHvaprqR1dURmLSaWmQNpeRe65l5kDl7m5t6PYQaH9L9-WSsaSQJa6GWRfJ6qNsKGcdJRAmTTOu7AWq5fd00qyjUU60fQXw30SwJsUsD8VSvwoqUtkI13fmlT5rQbNsiHie4oFxZdAnqEeKC-PVMayzd3xhqKuXalvSgibv3Tz_rnLmQ7i1UOPnzzy7ZQ9oGGpa4rwVm97qbpaCwOuXQeureqyX68a_NxWEklPsbKAAF4eSShXqOzI-cW0oMQxabsK4ED_V_Zz60T8ilIoDAthstpsDIVBuP6LpxU6Cg11xjAzCjmyPWVSJngAafyDsPI-a2RPNxJp1CutCGIT_UDx-eW2-Uh7Rp7FMynqOYyQBQbK5bPlAjAKVc8HllxXXQs3hpqNwMn-NDkIm1estf_HEtK3fVrfkiPiVY8uCP-7IOIeknTrr1YjMfp8Yo7iJFtqqBuDWNgKrbLAms90cpv15jwSz1KRZKy6uEL8rUOxv_QuwTfEsKWdoOF5LognXrpBYMfayqYqcFNrlpPgLDXvj7grEMWKtThFi9jTjo6,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-09
FACILE RISTRUTTURARE S.p.a.,Ingegnere,Italia,2.3,27 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1604&ao=1110586&s=58&guid=000001868348a896803a766dd5c809a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_93b63392&cb=1677239822822&jobListingId=1008433123027&cpc=E612658DDC0BF6AD&jrtk=3-0-1gq1kha5mklth801-1gq1kha6a2pv1000-4027d9b378585274--6NYlbfkN0D4PQrJV_PNof0-lTl7GIcMWDlUSPrLpH4uPE_IF_rtuw9aPAClngahZdIIQMhdrEsK_MP6e2YynRQzIcL_Dg7mvzgVgYocx1USELv6k05gUZPLhCg0sYei494sarCbov4nDHsclPBlcpfCXp_fDrJtgJJXDBnngpcaQbsNybcysUnJ57bg3bzwL8884Pen2Oum8XsuCF3oKA6jk44hR1Ka4OZVDt-wgYG3SIe17B6hnrCx2tFOHbpnNeXWsDxSVMUqwnttXF1wKnPleFnjSv88ZsOx5ECUzj5t4J1X4gq0pTQMl_ZHxj41MdwmWcXzp_rxLWV96mo1uVc5Ey56GcCQpdTIZ0Oh83lu5xvw665gIzpgj2JSHyflItE8CmbNGIDsb0o8K4g4glpzIPeo7fAeixO3tQ3Sp857oiNe9mH2--UaJ2sgEI8JiZfaVijdfRjtcwfOwNqxErdu_734lNQPVEA3AkmUabsSAC8CfpD1tgmqkdq5rFzaatRrnbt-cCaWaErQcpmNye4KlKlluWTiGROlETmkKHqCyuD2zj-oj23xmERrREDhNRpIvscc6d_kSscYP3psYI0Jnfs-lz0dewqDEeeNJsivpsnudtfwrA%3D%3D,2.6,2.2,2.0,2.1,2.0,"Roma, Italia",Sconosciuto,Azienda - Settore privato,Sconosciuto/Non applicabile,2014,Architettura e ingegneria,"Servizi di costruzione, riparazione e manutenzione",2023-02-09
Melia Hotels International,Barista,Italia,3.7,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1605&ao=1110586&s=58&guid=000001868348a896803a766dd5c809a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_c6bdb703&cb=1677239822822&jobListingId=1008414328215&cpc=0D76E540772BACE7&jrtk=3-0-1gq1kha5mklth801-1gq1kha6a2pv1000-09de4ad7c77580ce--6NYlbfkN0AYh1hWWeNHDA9ieejzKlANd9LP2chDJVrvhqP-zKsUohwt0RSHARk90jhSgstWJHMdaeU5d3ImnP4-t6drKSNWucfI6flFxdjuNlzJcQmM3DOIeXm18EWU-HLcksE-1ectEFJnR85k0nZwb11o3FOzHqB6gC5y4Ngv9JMTRheg-yRX2xRku2cV1wM9K5u8U-e9PCn36yeUTxJRYbNPqV8MwqOsCy1FxYvXfTi3FK7hqUYLvV1RvDbZE2v5mondjXjmP8NTdgtN_nZww-wF76lM_pGcWRwuV7yu3lYEgVWlXRZRilPjW11CXxsNVQX6dPjsCnwPPHJYwJ6FvhVptdFunkAXamPCjI7RBQqwI2QwqELskgVPR_ICu0hRO30cpvOuQ-jlzyMDsRIZGINsxQkydle4C-b614h0Lwr8VvJ8uJU-zBpdQ12GDbJGrsL7vTUrx9OSoY5AD167g_5mURJMsTbkWZWoFJtyOy_siqwYlJFrUvPdOvUCokFqEq27ogVV87jsbn63SRS9cwAgi7uX_xGO3t-5gAY2gGgavrdT1cwnMqAVJmoUYi5R73LtHB2V9kMDw_rQJA397cDilAnIr2Q0OlXQOMgqyEDowfK-ydqZzF3OXFwNj7Tjwq2kVxHd05i8pVM1TQ%3D%3D,3.6,3.2,3.6,3.3,3.2,"Palma di Maiorca, Spagna",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 1 - $ 5 miliardi (USD),1956,Hotel e resort,Hotel e ospitalità,2023-02-09
Saipem Italia OFFCO,Security Officer,Italia,,8 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1606&ao=1110586&s=58&guid=000001868348a896803a766dd5c809a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_b7fc4576&cb=1677239822822&jobListingId=1008474128563&cpc=ECF50B846154F74F&jrtk=3-0-1gq1kha5mklth801-1gq1kha6a2pv1000-f8f3465280bc418b--6NYlbfkN0CsDm3IUperF1RINdpGHLuhgFoi3Ntjo5CuBDSv6Xb6c2scNx0yUYfBgcIMqq9pQJFGLQwIdpDybKZfy4JQqahjxFN5V8nL_yfSI4QbxTWXdRfUKD3P9ZjUB8gMrDPF-MNachTuxxhv8NlhO_Q0_AE9YqHg-syf132R4qvrjoc69jW8DnIsHy4czc8Tt9uwBb--Gkmss-jBq3AMq8Ishs40mICVcV9XjSI_O-Dd9i0_XR2KkA9WpdOOTlbfbLW5Q1w2fLch58EDvu9YDd63RXFA8_TRZdpLw4ckVSQNulojSHSfXj1ZpLu8y0LUJOoAW8PA-_NC7rWWkwokDjwQZXLNbY8dHO1mFTe2osscBVP3vlS6V0-8yk7mHz4n7YfVydox1VgZ3SsEm8ZDOI_XyP5B81xr_vNgg4xJGH1TlVX232uiMVVJWG0cIWkpiyEnL7USIh2mo4TONiv34gepbPLutLIjMZYDiHqyg_t9aJKwgfwWO-vpvAEVmf9avteLG3-kwtX0cGykSXUB--p7zfAgla4nCLk7VZ5iHTMWgP5V0zdieE7Ey_F7-V4bt-1XHoPSz0KzqfxxltzEuZE45xIlDV6h2MgU6EaKWN7JhE7zvKhtT9EqsJRhLYiblhTqoMUFEAVwSGCygnzHZr_uOnpSAasanyYsMJJS6JCV8kNMWsAozABPqwLWqQ3_iGS7XYURWWEyjcQfKB2MsoxTGPAkR3JC_k_V00U%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-09
Verisure Italy S R L,Rappresentante Commerciale,Italia,3.4,23 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1607&ao=1110586&s=58&guid=000001868348a896803a766dd5c809a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_61d8ea69&cb=1677239822822&jobListingId=1008440675399&cpc=783E0929E0928ED3&jrtk=3-0-1gq1kha5mklth801-1gq1kha6a2pv1000-a64406a40f86b3e4--6NYlbfkN0AahMpHASL-rqQOt-rayfGPjlZqDLP80wvjLoSAvCb3DA8jzMeSm_CwGEu8BCQJ2UNcwUanCnVG6PWv8FBn-VlNlmE1L5yIBxUbYx1Aw0cKSB0sZDzcNlvShYGc4ODixXhoRNSO4HV7iuGaF84Lf_y23AGGQ2LwYvkkyPLMuJbqCgytvyeyCeC__-VwDTMS2TRDWKrwJm6qhlFkvojxjeZR0zye4wKWQnql5hYoIYDUUiUOGj3ppP-PxXc_Aa3wmQYueXubwXPo3og-HfSc98FzVIKCvU6kRj7dsFDO2e7navvivnEWizstpRza2l7BFaeNDDa5B9yj8KPMQXr-4G38FMtbMpqHrrLalzT5NZQ73a5T3Dq6a5gdy-DZzBnAlQzBiVcH7Bk8pNcY6TCCr6PxurZelEwbwi09eU1wdOCLbzwqiClA5Mpu-1WHsKBpGNhPoz6aUJvMS44StQQPQSGOuCX__0bUZo3MLBae06wyK3eps1WbYk8Dl3Fn8xIcLtYq406izVWfdDrt_5JVtS7H3DKLyhNZs6lIrD0qLcVCxk07_dByJWuPASTzoYV8nTuhadBjTCaFusB1kZ376TwfpN1Wcyizju0%3D,3.6,3.5,3.3,3.1,2.7,"Roma, Italia",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 1 - $ 5 miliardi (USD),1988,Servizi di sicurezza e protezione,Management e consulenza,2023-02-09
Findomestic Banca S.p.A.,Operatore,Italia,,1 giorno fa,https://www.glassdoor.it/partner/jobListing.htm?pos=1608&ao=1110586&s=58&guid=000001868348a896803a766dd5c809a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_b944c0a9&cb=1677239822822&jobListingId=1008487360950&cpc=214153447B1391FC&jrtk=3-0-1gq1kha5mklth801-1gq1kha6a2pv1000-03e07553b7555246--6NYlbfkN0CyelwOgLs6HOGDMccZNmBAJGrtKCkwEm_4BRBAjw2Xj95lbBt2RbjQQMWBYvh1hhQ6BHZUBeIRXfBpXFypip2CgqCK-UY3yaDgHNRGoyVUqnaTx4QZBYnHXIp_C76dj5AS_-Tsyp2PqoeHjVvfzxPT8gaCXv8FnQsMww-gYjbU6r7USxtrDUqy2FzNXQ2Y8lbRjRU7x8uQLGyERkfC-Zpd_YAz5KSgQC1krQhgi5b22ly1eUA6Sqwov9UN4KeA5UtiZ94IY9EjFHhUk4ArJ7BfoqLY8faEGPseTvZBGvKxIm68KzYlI0dQwa1deNvq2TImZm-rALl5xnrccnjInbV3C0zjQN4usG9TwUtkmKnigbXTr9JLvIa86b6ZDmAlwusXDu9NXJwYXj4p4ZIBCYuhgf-Oll84GnbuJMT0CYXOFERseE703Q4JUup8_uya9HCPLj9koMh1vFtRO748Kw1nRo5VNnqzNdKNwJb7J93KI1m9ocgSZCH-2Om3nAYBltGq4w2IDqc8r1PWNoMGmVeGgWQ7A6Y_wRiUM8_mLna35hyvQWJBhqmTqdW1pJTDZqKFkWExqH0rLxtMtGN5_ebJViSVF4FMyaFW0O1I_NrhVRxvlGmBpWUDqEXqoDC_4Rqi9pw8nPLQjMPqjsT6aUjvaUXCCXYRITF6mNZTasvR0TMSznyTLoLFVkOxPGVvBREXExRFKtUBKc9TjalZZYTR3FaKeZjbBCXKPCB6w6FnXCDpCt4aLXBI3WApG4a4U_s3HVmjHBAVx0PAZCjLxf9FoAov_j-pVj6KUE3BzXRJQkDWRzjl_WGM6RkAOBYkBn4yLdmZI396lopZrizz1qFmnnk1ZiqHPwXg_m0y7FKwo4vcyYrXpVLVDo9eVgZuiw4%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-09
Presbia,Medical Sales Representative,Italia,,30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1609&ao=1110586&s=58&guid=000001868348a896803a766dd5c809a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e572ed23&cb=1677239822823&jobListingId=1008427549891&cpc=6E56E77887FF9985&jrtk=3-0-1gq1kha5mklth801-1gq1kha6a2pv1000-97dbb1249f86b218--6NYlbfkN0B8w9e-jVCzGhqBUgukvvpcIrUCsdRsAooLth-TTDada57S4RLUr9m3MxF0Lr244BwTYWFvQGyTt_x0Py1wUU-Yq2wuKQTGpxDsz5G2TPh7cJ-9iToPmAkdDpkZSW1E_Sbs9YU4H2qgQNdru0a3NhsqavgtTzmoq9QTihREhLXLturv8vuUs3BGHwlqgqGBnJguKL-6-S3UKR2md7PDfPBCYLm8ekfu2ZiGsAjxhLEKtyQd7LNoJY_64A8IQ-E0zECP4CvGMAfK9TNFXiUNBb-PhPPvYmEC6DFhqDVz4ZZoMp5y5fXXH0NcpIaOfj_Ndlu-rNybEkv4Y5aNhMDPxj79JTndJRwcPIL33epDu9Adcv3NLYoh6FgKnKGr1iIp5PF5TCrB_HqdNYdgwVQ6W4GiMQviFmmzZqR13rmmcpIaxeV7H8icZ9vYi1ZMytnAt0F1NgXK8vscqJU_NDkQGqn5-K0w_OKSMS0zsCusiNTnLkQPuerYGhW9JBkjI2oqqlypMxl8JNtl_3iZj49NP1TZBLB5XA59Eb395vpGsn1jtzzytchX7bmH-F2FaPjEDLjchb6n2t7qPvBhEeJ4-Jxw9GW5RpjRmtw%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-09
DENTAL CLINIQUE SPA,Senior Assistente Alla Poltrona Odontoiatrica,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1610&ao=1110586&s=58&guid=000001868348a896803a766dd5c809a0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b3c01a5f&cb=1677239822823&jobListingId=1008328295369&cpc=FDA5FE10D8E00596&jrtk=3-0-1gq1kha5mklth801-1gq1kha6a2pv1000-16b82dd764911f0f--6NYlbfkN0BjrLiXh33nVJS5N8YfV80V89pLwIJlhdsTBpkWxGqF6UrCfrzK8weVAIyLuZGVEiL-R7VGl8_9RNCBQOXlrYCihPTyVGyU2rQG4-iVz98AKoBAuVxPO6qcVH2C48mewcANNidP1f7xNKPrY5gPEaKedSJgjW9J5KdBjiC1V3iQgLZlotW1N7DYBBZwM430a_lpGWGb1QrAclY4ecBwvmnKwXWmuGVE5-gdo4N2Q-ZAHz9Oj-mmyOzxLmaeG84j4-F1StH5yLAsjXQrbYXwYEBtSoJovdMstj14h6j19euwVW5FCLPoofry8gAj_0MphCos-zF4A8Oo5mjXiyPTI3G3AEakQF_7zfjqsADx__5_XSAXmEO1yOCsN3CjPWj1KjZxp9nlGljqAIYMjxwN0FAMQaRZgzpSlCR--9f4gZRmj7Ki1-PhNyyFKJ7gqBGlyrn6_mguAdj_uvOOFm-z4ftBX-n8e0J7jchx8jS8tHEUMa2gajvE8Ht_8uKEbbh1bv2kgA7J17YaaaBmD1HEtFIi_RzvwG5PJnNhcHi3IKUGYioQpmes_6JndDG5iP8YtwxwlYVuOzdl3yKnNeeTtuEsJTcOruvQlnY%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-09
