company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,scraping_date
Bright Horizons Family Solutions,nan,Madrid,3.7,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000186562cd8859270b46d424751d8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4dc09b51&cb=1676483025375&jobListingId=1007898465165&cpc=4290530157F20621&jrtk=3-0-1gpb2pm5okf0j801-1gpb2pm6a23j1000-eb5ba03ced2f53f4--6NYlbfkN0D2cK_vPyiiV-Pc4TnFz8iTkk2f5yRWAfvU4_R5SvLBEtfQ1cuKMjrKENRYBLkGmN6Kii6uvwtQN_aPREfGEhxc8rMn4sZHhliHKFTsRMDlspGeMYxKwdRWtXFAy6GAVvDhtjQMPdWKIToME0Vg5vB9GwQD7uHbq4kT2GGh0kIXJoLDyTBTfDRobn30tWa8gk_1aAo5xMSKI9RDurDT7GrhHaFEAR-to-56DlauKWLKdCiqqZXBi2YrtcvAkYsCZyxwCKqGswcNiJYCQP8bhG3lj2ZYiG5UUeAIE2siBKCC8KOU3eGlSp03v9nsRJZ34FV4p2xpaVM5Q-oa_06cdrW27lsWQlzmo_X3yrWOnyox6JsAydF0WkEIAD69aQHf690ogfA_k9T0yp8jjGf0yujQS-ilIAhuRSSvRK7_DXJT5IRPcOdkohbcyf-RCe9L_Gd6e20z-2nD_499ssrXKc4Ty8jD9ygLa_4iPWYJ_1fAj9USwOBrtzI0HaLnGrKbodlpEg7f7lcZRnuDqBBsNn06uc38oxpmzgwIPQ8rcbvI4bRHVzziqX9bsfOq4VPf2rNtVOAsUYZndMGodTXDt-Rop64wE94esgVULet3k1TUew%3D%3D,3.5,3.5,3.8,3.4,3.4,"Newton, Stati Uniti d'America",Oltre 10.000 dipendenti,Azienda quotata in borsa,$ 1 - $ 5 miliardi (USD),1986,Scuole dell''infanzia,Istruzione e formazione,2023-02-15
Cocoon Childcare,nan,Madrid,4.2,2 g,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000186562cd8859270b46d424751d8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_654dcdc6&cb=1676483025375&jobListingId=1008468649419&cpc=24BF2F2386F532EA&jrtk=3-0-1gpb2pm5okf0j801-1gpb2pm6a23j1000-9141b01ad6c260c9--6NYlbfkN0CHwkHUaJwTUTavdYIO9Qc9QtoysFmP0ZAjxBNwoN77snhKjI5ch3vyLQ9kjYbg4MrbjIZd8_x18uUSW-Ss7DFBqtPHejhJx9TOZ-AGl3e2HqMS6bkzLaaP2n1kd7NNYe3SluBrhUCBjNrelAwBRXj3rMEQZUVuXSUbThyQEeRIBG7zlJilZYzW-eQ8sdGai3Qf8MsCFHuqArkGKRoTy9OGezjtXypi6ugCzomSTjC1TAdI8AfKm127aEezwiAoWeRAVaqe6Rxt8aWySPlczco8h656qiDXKMzTBkigqhi8AxNW7GlPIK3tPiaRuO-Yw1QhBLuQKsMViKRDIlL_1bK3eG2fgUfRRXp4BOz8dFjJHGf0YkwkYxeqmBPXJR4vBfMH77HavwcBc_hIaN28Tqh_VXOr4ojZVfpPFrXb5Aasv4FbYNY_LksUya2WKSvbQhOZXZLWl6pZLXgu4oEGx5cbifHy8Tq1tT7O0zuzrtZGkcp7hR5SjVUYiSqxoRyDNy0_mNq3zZ0CvIGA554UfF3vERJNftun0wZ6u-nBDC5cnFsukcaWqZ-BwAZG9zbTAQGIh0hmVz-pZa2Y5mQ36dgYIkWhA5ijAUU%3D,4.1,3.9,4.0,4.4,3.5,"Dublino, Eire",Da 51 a 200 dipendenti,Azienda - Settore privato,Sconosciuto/Non applicabile,2003,Scuole dell''infanzia,Istruzione e formazione,2023-02-15
nVent,Java Developer,Madrid,3.8,16 g,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000186562cd8859270b46d424751d8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_47e1ef83&cb=1676483025375&jobListingId=1008437524709&cpc=52707B81699D15F2&jrtk=3-0-1gpb2pm5okf0j801-1gpb2pm6a23j1000-248e27b001a26c89--6NYlbfkN0B37pvkDXz6BnETzzh3IrtsxPK0glNB9IfcgNio2MHaTySl9rQSu9S-iuMHjd1WdghSurVdl9_zhBaME2QQseoX0JFzNF2WizGtNUNlPGPirS568a3fJtpEvVl-rQeYnv7b6NR01yL91LhBZcv7-rprBpXzOof58QRqqAMNOSzsWosZ-ZMQAc0aGFrmUm2OsNkvJfhUlubbT_gnpVPMtfBst_CUZDK7ZIRR0QBM_H9ZetNk0oRX1gkHZYn61RL8e-w6IHc0jtueGp0cZT-GETjIRVx49s9J4cF039AexZVxVcFr1od6KhXt5uzTqZsnbiISTOUT1iGFzlO2yAe2b8L0z3A1vylHAx7v7I24iJPOl7jj2rP2uADLSdzdToSPcOGnV-y7JhZu1xzY0JtNvrjL8FoSDevyTHZxv45A0nStg_qaxz0OT56zqiVKWt66Ayv9BUmPGXe9L_i7WNV7yWn15Hzn9RpBSh2GEFAzrbLDXeNVMaLHuur1uAzrv7wzAoS_V04SjEblrYlX6whDKwFmMEeELX6atxOHOzxZlz-V5vfRxq38XTvQwjyqmhAWvGnopnosfVNKJkRAFgUr5l0m,3.6,3.5,3.8,3.5,3.8,"Saint Louis Park, Stati Uniti d'America",Oltre 10.000 dipendenti,Azienda quotata in borsa,$ 1 - $ 5 miliardi (USD),2018,Produzione elettronica,Manifattura,2023-02-15
Evernest GmbH,Consultor/a,Madrid,4.9,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000186562cd8859270b46d424751d8&src=GD_JOB_AD&t=SR&vt=w&cs=1_c65dee97&cb=1676483025375&jobListingId=1007997758087&cpc=3BDFD099D8AB9A68&jrtk=3-0-1gpb2pm5okf0j801-1gpb2pm6a23j1000-da90d23cba06d3e6--6NYlbfkN0CbF-L48tIuLwbTLWlfORyUALKslc4Ytk0Qv27ARKjN1vE01Q9Dg-1UPORQ4L5vOW9XMZLFnrBwJfycnP97qe679KKCyFVaHmVQ3lrR3EK23M7XHE2UNhiRWe4MkaHcYSr1II2Kubd6-GqdtwSPUhHwhCGUr2PAPcOOKH2_-O17fLuBolUkWQZn_da1xHYojbzvaVg2wIREaLFPMKfsfpYVfhiWdwlfJDY8i-LGOnUFTYOfrtX-W339hBvY19VoEyj0TJ79lLBB93VZaQaSVbJGPAM4Cd-PW4j0AKzZpQCCWMv57NDAbNAV_VoFDUVTQIkeV0_J8bCwBRKa-G29u_EZ29fnUyPFhLH1OpSiHKpt3rpmnwFmV42xy7LAqUBDFuKCLY3lxtKqhUJZ-8ap9B6ibCdMOfjVp1gn7tVlAbimO5UTHYvhyo5-cX-j7R4_reVYxKZGtrME8Er8992G3C8VbakBCq0KxOCg5-ZyE6SlczKiR2KO3CUqWR4ERcNi8NKUhGuBH6RaaJD3ITu5k6rJ5GmQkjNjDAQ-i8qeAlqqXO9Gki4OT-N8m8_k1aOdXMxlvmB6yEF-onq4zx4qvgDGYz5luYTRPV00SJKt1S1JLv16BUUCT5aJuPYJd6QR93Y%3D,5.0,4.8,4.8,4.8,4.8,"Amburgo, Germania",Da 51 a 200 dipendenti,Azienda - Settore privato,Sconosciuto/Non applicabile,2019,Immobiliare,Immobiliare,2023-02-15
Call it services,Accountmanager (M/V/X),Madrid,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000186562cd8859270b46d424751d8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_26dfd2b2&cb=1676483025376&jobListingId=1008397044220&cpc=DED3C32E22E90A94&jrtk=3-0-1gpb2pm5okf0j801-1gpb2pm6a23j1000-9858493e3a136ea2--6NYlbfkN0Ck_EPeqvMdX96Xyhw5Pp3pP0pNf2s8S20Lr7QuOLWbL2wjh4louZGLwCFJRaJn0bXT_tQ0L_-fkMkSEx2UsfrTNb5sfqx4h-4GJ6pGt9fHTBbK5llmiBu_vJCVsOmL9X4kIl3g671BJ3V06Q4KGKH5g-Wzfn7dHj50i5KZeNIrQeu0FIIRQMEMMS31KeDmk_JRffm7mucPj7HJOIjBNTHzES0mkJXO76Eq4-wK1HJiIFLbfa5q-cPCVQpRQQRek4hpdsSpubSsWj-dqGoyCQC4om55Ru0cOb2pv8JgY9ZwTyOZVUklUx4UBGowwWIhzcV1cPr_7FNoVMYjaSIv8qlot4ZHXzLHVcjE2yx_WkK3mEPKYmKFE3TlLneYMbd4UX4uPehD2gpLsKYfoEcuaXe_XTCM1Q4lYt6kKrvLOdNRGSQFaxb4yqeRZ97FJWD0wFO2kdc1Oh2OlqpYKWWt0lba6k1oPobSm6Io83gXBTGkNgVGJSaq_m6hZPTVO77inioqgUMAxpXAn9aYo3h3JX-gJNfqRpnoxfda1B6XebWkXhg8gMxSp9OQmFCmKmhDskrvrGRU7vikM6t6KXEsTlB2bzgdPSl8m7k%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-15
Engel & Völkers España,Consultor/a,Spagna,3.6,9 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000186562cd8859270b46d424751d8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_279173ec&cb=1676483025376&jobListingId=1008454617792&cpc=9A96D6093D59D0CE&jrtk=3-0-1gpb2pm5okf0j801-1gpb2pm6a23j1000-dca8892b76036b51--6NYlbfkN0DjXaUN1-6gB44BdyanPwyWv_leT95rSFs8AQ9F2uvrFr3bJPJ_-ohTkIwWjLXTeZAremPd2WUS6XWebd4RjyHOM6pY5_R6Pp6eBSENahffbYrAxJX9yNvQMhJdL0OxQTnd3PF90WyKOEz-h0zQ4-Fnt_qOvaZELqsvogd_65adqrvFiKcfdDv0jZngtFSWPcEF9MiotCRgynBPH9-XnMNnfwUEA2E7eu0FooBj7TY3-nkod9uITGcdrNaqUCo7hEpfGminJGmJK89W1ypgakuoLRYy-TAG4Fy9YbK5Zpu-jYiYTbSFFSP5a2wAPd2s-vDuylpPmUqPykxriLRFgUb5pEEP2MuSqY98WetzG9qV-dHDlSK7VPxQsp48A6dQBrFSG5diMPWjizb8f_rWJ0F-jamhtN-bpRZwCkph0T1hvXFAMOo3b6iT3fu5XlQNfq4ryL-eUC-ubxPHMTH0WkamMvH6f-hB5KL9os1uT5Dx15BCruLgWGKs6XOu8ccTmoQn9x4S4e13qc7mdHxzBDGgalKp8MeWOBwY6lo4CQ3Pny4nK55a1bxxnWdg7NgnrASYU0v9GynE1vgtBKD9NBEAsr7RMlUDyMiXoizBc5SLqpkGUr1XHgCw2E57NtBCiOUQQzhWho-qD4FtLRk77dSXBdxNya2MiCTx46kyk0KZb34hq0D9COVWVtuqFqCr4C3t-CxKJPZXdw%3D%3D,3.3,3.0,3.6,3.5,3.6,"Amburgo, Germania",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 500 milioni - $ 1 miliardo (USD),1977,Immobiliare,Immobiliare,2023-02-15
Cegid Group,Analista de Precios,Madrid,2.9,2 g,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000186562cd8859270b46d424751d8&src=GD_JOB_AD&t=SR&vt=w&cs=1_ed4633ca&cb=1676483025376&jobListingId=1008468478215&cpc=B05B6D422C45E27E&jrtk=3-0-1gpb2pm5okf0j801-1gpb2pm6a23j1000-979ab270e298d251--6NYlbfkN0DfmYQLYMrU8gNBWZWaZelSo2q88YgE4v4gC5ioDP8-xKLHXWwCf_EFbEIxD47MzhacBgCyjbGbAyJpculzIMOSEKMUNgushUjJxZtUcylJMa3UUEIH7MZUjoqS43dDEUv9R0LbuGzbY_qPq0xKftXVcGUkDTiGnbHiu6-vlwCFgsjD8gyEsjdEPIlBwAgIp68GVQOshPMIuIR7aNuNX7vi26gvvL4834KJ-S24TtR6u8tmnFglHqOzbnIXlYeVPAb1wmjPDAWN9DNtIyJVvWZoyc-9aq9O-ctXcj4TfNhOJaYdFVr4Pjz52oO5mBPUIZ1DjpGzcGNAo5MlQ2NELeDMlkDIQgL4Z32JQZH11AIuDdqAVXdWcHnnKTlMmuwB3trE0YjVLfAndguEi2KaUXJ3dN8-t1-4mUPOIn1HR-yTOBKRG92BESE6yd4twtBo039zpKrCMVl8ukj2orAn5S4yG5mRtfbZJ0dVAtCmlqxKT7o4y5djXx1Me3mX6aw1J6jNJb8CEPeLoZvQSo09C8kN1EER3PfiL349dPkTZ92UxqppDGd0o-X9lMxuVfc9ia3J1pxouxQtcvf8pa8xc7N0mfuNAZvuJTTK9PldmVOfLr19HdywNWshaAff9qUoK4wEseujsxKVKHYlpdBJZhIFFsCwxbS5URD61Hf9RwHdXUQJcoVLhuPKR3Y2SLBnI052wUwB9QfKDu-AbGUFXOD8kkKaCdkkfRkzhJJeL3Q6HQ%3D%3D,3.0,2.8,2.6,2.4,3.4,"Lione, Francia",Da 1.001 a 5.000 dipendenti,Azienda - Settore privato,$ 500 milioni - $ 1 miliardo (USD),1983,Soluzioni software e reti aziendali,IT (Information Technology),2023-02-15
HUMAN SIMBIO CONSULTING,nan,Spagna,,2 g,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000186562cd8859270b46d424751d8&src=GD_JOB_AD&t=SR&vt=w&cs=1_4a7e8f04&cb=1676483025376&jobListingId=1008468503203&cpc=6BDFADFCA66887C5&jrtk=3-0-1gpb2pm5okf0j801-1gpb2pm6a23j1000-155a22786b8c4264--6NYlbfkN0D3tLGfeaywPY0GnJXtjN7kia2G8WDt-spUdWeMMEkO9Q5xDcuPpz5fW181Q7x6p6lallvU1gmxCHhmPJ92JqRHoz87sfhtjZ34MEvEV6iHfRLTfZ32cV6Ebj2fVqmz0jtwYcy7IIZYfnftX2jNuQyZNSYQSfu9zurcri91k1DT7q1eGwCMsdR4K_cmYWMsbMDAn24VgUS5VkMXaIUHLjFiC2yF2yuqS0iXTFFKtcb1bZ8m_MdW8dPRNvu0sTat4afWzaBhEMWqKbKG-OSgJie_TZ7VEnK5z84D2MmhBL8y8oRWRX64lEFoLb9KMN_flx0QBTwhsnS6XfHr2Y7CKFRXq7GXxlYyDBpdSr6t6yNQAdMuVZ-3ouy0LW-suEatlf0qg7X7sIPBTSSytekoy9i28rJYZksUUdnOAD5Y8AlkvAZ3usx9vyn7dKgzEw3N2vdq9ReIs35WaKCRed-kxwN50Hnh_HG2QdjJiBzRtbh4CXg7NP0HLb5Zqm_cCd8iiDV2QzvYXf9ohr1Gv-dbBrnE0pt60nj8-uqk_Z7PfXhY9usgA2nUpLyCpJqv-I7XQ2pWcDyc71OSCt8rYrM_RPmT4UvKt517O1TuQMK4EqEc4sy9toxFo5keuN85MyRhsZVXi7EoiLSUnty85BI2qA7xCW6pt_gZQoo%3D,0.0,0.0,0.0,0.0,0.0,"Madrid, Spagna",Sconosciuto,Azienda - Settore privato,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile,2023-02-15
Syneos Health Clinical,Clinical Research Associate Manager,Madrid,3.8,19 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000186562cd8859270b46d424751d8&src=GD_JOB_AD&t=SR&vt=w&cs=1_9b7f706b&cb=1676483025376&jobListingId=1008431174687&cpc=459542F86C2FA7A2&jrtk=3-0-1gpb2pm5okf0j801-1gpb2pm6a23j1000-a0309c8bc4010afb--6NYlbfkN0CgLV01otWyadW_0bbvTXVl61lGcm0U3Pj_PD6e5_oZlLMWa3MKvji7Hd64Fd7o9DVRQEDaj_AM6-gGUs2HqwlWQ3cC7PjDnQ8KnqDBisbYzivKd7etYjhsVOppx-LLAUHA6C9Ygl8FKD7okJXFTpiqWZ_T4YWp8UjzLY2tIQuQUWqjUKHa2RH1eP_yMA2qFSZbQBa5ekmT8mr-qH5hYSfR4enWex8dyIzTWB3uoRHM7QfvdKZ23089_5rwUg-dTRoMiS2CO7MCxPQiFd3xu0vWpoXGjhudxgLo2S81LviTAUr0CH2ONgDxpR5yfZzbrcdEpFwdW5MirSG3Q_owGySAXmZjnYz-onlz_4O8jV6AGkrn4l6RYYiHPLF4yjtZ-2yXEp6S6Rl7HBoNMv20e8HMeVx7V69K062HkBQ27MgzjiJSUGWiFsofWnzehyJvRCcVn-KpP234lsWF_t73-ChNJNyunraGenIzAOPPQA3zSul_sAoS4VcTXU4QMHtOt2TYZywoBDGF_0fdi1gwed-C5YuA7je8KEPiJaskoD8qhvm9Q4EzLJDwUwk9L52KZspHi4U1PQOWPtywLRg6VZSFzoZZBZXXFvqNzVzLbsg8-BZfwJ5q2IF8XHovQrgI-55NLuQX6JOg3XL5N9EqzqsxYimtWgXnV3e1rqXY2zxeyyhgEA5Qh99654N2TAchrJ9wh2eNEfLof7HTUGcwLhszAZi11f-ppZil8a0Br1x1Cg%3D%3D,3.6,3.5,3.7,3.5,3.8,"Raleigh, Stati Uniti d'America",Oltre 10.000 dipendenti,Azienda quotata in borsa,Sconosciuto/Non applicabile,0,Biotecnologia e farmaceutica,Farmaceutico e biotecnologico,2023-02-15
Unobravo,Psicólogo/a,Spagna,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=00000186562cd8859270b46d424751d8&src=GD_JOB_AD&t=SR&vt=w&cs=1_c465b265&cb=1676483025376&jobListingId=1008395152656&cpc=B05B6D422C45E27E&jrtk=3-0-1gpb2pm5okf0j801-1gpb2pm6a23j1000-7a51b3663c60d44c--6NYlbfkN0C0Qx0c9IsZ1xU0vyUS_WSHDYIQAwrLb8Y0NGLNhp4I3TRrNJ0hZCKjPx4GLHDpW1uPSpmehGuhmMKW4OnCgxIYuWNRF_KPpx4dA0Yn4Wpvgl3-WWeAmId8Ji0P1QujLeLNjzyADwX8nDkLIXQHyF7XugnTXWHilSF7tH0Tp7EhGzerZxRJan8LY2GMgsVefiTNzf76HxXzq-xlHaLRCGghhJKPJuXOk13ZOVIKN8SOZKk-hwv6emCAAEaiAqurnUeZCiTuO8ClHG6a-ea5HB_gq4YkjXzq6uSwerA1JzviY36IdFlzrvm1AmAPxVtKWGK8BNZEInpwHzTJ1_zJE1nxh60qHcM_zMxc-E0no2MZ8uiZvT0QOVecRgHdfePqz8kKoXooErcrd0r2Q5pVuTh2n0ot2M9n42h26l-M-pDrzjuKlMPeC5nSTR42icgErxKf5qoR5gaIWCBYy-QSltTDkc908aZ-xDDzbQbN6e8m2iUFY-6nxBwI-Ry8v8Mhc5m_vZ0NpsS5R-ZWiBg8relzJg-D_6_ROgNVMGsi6iErpaxQfBPCdsyYUAC4b5dzG2HxvyWCFwGK5IGrBQH6L6DjQyUeDzUJQ-TRuHeDXvRmFA%3D%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-15
