company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,scraping_date
Intraprendenza srl,Sviluppatore di Software,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1925&ao=1110586&s=58&guid=0000018660759e2a9de0f460c8944073&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_73f73ac9&cb=1676655566698&jobListingId=1008323391315&cpc=26740BCDE5E48596&jrtk=3-0-1gpg7b7ij2jq0001-1gpg7b7j420hg000-be37289a255309c3--6NYlbfkN0Dz3AuqXvTJSjd4gQfvCuL_KWYarbhv_t5tCrDLg0d8K85tmBL0WXz_DMkxa1FYS9xYhRQTzQ87El0e_XJs0iImvnuN9p4ycZhVXxr2FWgXsJmGHSc0QN0jrhJEYHwbheXzsIxK6LFxNYQDdiedLwH9OOSnLaiHUGTcMgK2CY0gCKKG-IKoIILSunDbV6WkA2OfDrjwiTE0NZYOiO9QKe-1IDtXMGrivnLxEpSgJKWTtrOJ6smA-j1uFE_LcJYECq20bE4IxpFdGKg2V_k65F8kppSIXvk35VdYT1xiuVppQi_bHobo6eXG262ux5XbXQr_6Ik3c4OkSfPs7PcyMPUCeDZ2b8_piurH4AjQNIMB7g-NW_e-OAzHUw0oyflgyBNGOJRCo8sWnnznZtV1G19srrGtifQEMWqnav1KH0knki09vqNETS0GvKWgZgH64Vd8DIgh_UVzGvS2R8y5rC-XRqomp8sffiL8m23PwIx_vH4QiQ3qeLXD5ttBCD8VpvsG0qfBUNzB96rA4fesWH5eXmNeDAOURkp_jBng6SMDw14V83fBmCYQ,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-03
So. Farma. Morra Spa,Analista Dei Dati,Nola,,11 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2526&ao=1110586&s=58&guid=000001864f866270b1f6b97a75408bab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e7f10b0b&cb=1676371452882&jobListingId=1008449155284&cpc=9C938E8DE9AD6C02&jrtk=3-0-1gp7ocokfp2kl801-1gp7ocol1gajf800-ab24d885ef1c6f9a--6NYlbfkN0BsuZjmKUot0tZdTClGKEaOSYgu4wKz6gE-tsrJG1pJSxE9HL8vvazbiveWOJIpaHUjlnLN7MRZ3uB664DrfMlpLvS20nnE8K0kTmMP7uyLgLIelhFZx64iwqILrXi8SnLKRobpb6vjfsdL8aDgqp-1Kro09A-opt4wSuwABXKWn1kKWSXr1T8-bKAUhmFhO8ohO35g9wloh-PPRF2xHyg9vOJ3N86p52V10olL625N8x35BpWH_fVq9BHd7dEwzaxVc2JKpOEze49by_cpyCjQr11Da1FkxEjr7Fc_s_U7PetL_7VEetS8vgnmWqD6HJo2uw4xuH9JTeoCL_oe7b59oreYf6G56SRTxzHKPhwu6oPg6KnemyDP7PfIOp7m6QauLviUBWG5TQWconttP5kz9WtEnWqKXy2lusBY3IvWFM0X457d--dFHXbaFZSwnMceAe-K-ETm01ttjAPoD252D2jcFVw-dckiK_DBS7Ce7e1942QKzhZh4YZ50LqOt-7c_tTeWkNd8GzPaLWeVr2LCVw-_7iYFUj0rl-ZBNMW_I1jyHTWnnKvj9pQWYJql1cR_JULcEO2zOiUlxAGtQb2,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-03
Human Value,Controller,Napoli,4.5,19 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1630&ao=1110586&s=58&guid=000001864f84c2a0ab337141b087e541&src=GD_JOB_AD&t=SR&vt=w&cs=1_9bf328a8&cb=1676371346434&jobListingId=1008428549464&cpc=6EF74AC2F94C1840&jrtk=3-0-1gp7o9gm4kltb801-1gp7o9gmli4kl800-092d99c80759e091--6NYlbfkN0Cbu7h-UbSF_GGQaxjcsJH4mXose9dnRPGuIswOraEW1BCliE_XHjNelIDm7gNrajuDd93diwltqgwYizl_IqXTD11a2FNjsLb7ggKRV6Op4W6Dvb7dS-cKRcYBbQJcvNIWQG2IeWYt28MKKqu8-K78a4x5eAkkRhOkMeqM9KTnPtW1ix3hASuQqR5EYia2UjdCMJhAEsUr0nq4nG6Nokwj58eQFpUqCbOQDcLMH5ZBa3t4fP-ykb1vraYhbxwHorlgmHE7Z2znn5jA1Euv87iHJaVQlPwhubE8DQPsL1o04oCd0eH4QtKE2C0ESY7tcHnOFsJfShzDylIZzjO-gcMxSlLo0jfxJWOXdjMzygTxYwhdlHrCHSLNCOME5Cxm4W2Mb99END4MdxMCoLIg8L47BA_pOPFylHEEn6_7N6aEdQV759VRKqnzWWNSpBSafajFnJh3bJ5IBJbbDGu5KtePyA0VrKk7fiA0tlVvMUBhYPitGnloo-qagM-IJGmV55DegbhgjfIK5eRto6nd5kbLFlS6R-41dNA30vyafdFKGFI5QyItd7IfP4EWo1qjevauO1h9y4zjq2vTZtF_8nwuPB1kigrg9pOn67JlMbtPfvXRZUU2UcwHXWXoM2JR11M%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-03
adecco,Tecnico di Manutenzione,Bologna,,22d,https://www.glassdoor.it/partner/jobListing.htm?pos=830&ao=1110586&s=58&guid=000001865bda500f9fafc054f2b7a5de&src=GD_JOB_AD&t=SR&vt=w&cs=1_68f11a66&cb=1676578279865&jobListingId=1008428775535&cpc=7C0AF3FAC6523A09&jrtk=3-0-1gpdtkk1jpkfm801-1gpdtkk2ai38i800-f2b31aa989d72158--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFK7AudwSoZPw5olmPJnIU8hpfV0TDjYOU397r60-nep5RcC9Ebk2RiHDu7UF_z9vDmtTG4RT0rMZtiXGTNUaesBZZeqeRfL9FjiKmOr8renodx3fMz8athkqvg8_T2fWfFs1HsVHjCpyXYC4o-785JXGfv5dl5US4EWx6qep9nyZ6rm6rXYamEEORdjzgQna3MBpkHpQrz5LbOX2JP9pKgpy30b8pxeHzq469zittWS4kzwTYSGvRmdwNlULTdoycHo-mxYPkrvpRooJvmhHg3cR1tVO3-GXnXBB9kE0pYfOQVDFnoZaygXmXKhJIS0PEVE1d1fjNEHVOoRZgE1cVuGDdZN1AnoXstS6x3wVsSlmB9eeu5lvrIF27NX6-7bk7ubuIlcFbDk55FXBOG5GPzxeCM18oNvFTkiyXniisKHfSi598iuitq_eOOFchn8kvjBZlEFwnXD5KtHtZD1XkXN6FzVLXOEint1PIV5X96YjbS9K7UIQpgZxot5jbu3jhhsNVIhSZv0huKxxa79Z-fDDbEZH-AShu9baRgtqTgUFyOX39zgNZcF7SZwc75Ba14BlBe5CtVWvKOnnb-e1NMd50JaUTTt1ePUDwWlSgwWmmtjs8vhmTjF5MugV_6J3LGDXPnofxcOgiJLO8qmdBfXo2IUTZ8ZeQKbLr0ahTYYEEuhcIPUew8xYJn5oMgGfb34I8487gLOigPzgr_-9s7ta0xHz0aa0LDt-e5YwvuB6PxoYvmfoP1ac24sz9nbwwIbhV7MePx4A9BBtom7qVwoebo86PXxty-,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale,2023-02-03
So. Farma. Morra Spa,Sviluppatore di Software,Nola,,11 g,https://www.glassdoor.it/partner/jobListing.htm?pos=819&ao=1110586&s=58&guid=000001864f83678ea8adc6fdfa421291&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_05e17290&cb=1676371257587&jobListingId=1008449146557&cpc=3028881457C6165E&jrtk=3-0-1gp7o6pttkujn801-1gp7o6puhi7lg800-c087d770a69bf214--6NYlbfkN0BsuZjmKUot0tZdTClGKEaOSYgu4wKz6gE-tsrJG1pJSxE9HL8vvazbt1LoMuoUmQVCFYys49PhKG50vNJcQkI2Cm_uDrYtLURzYnbDEVRyOwPtBRHgz0IKln9SkGs6E3yUZDLMpa3_SOEWvG9AwIa7-n2KqC2MTUd1zj_yWhl7Yu5jAbKOgbyif3YWXV9fPl7-tC3u71pv9CfHIahUExUWg6dFFM3Bxc4X2m0I94TL6n6GOd4OXrw_BNHHPElW5hn0H9G3rVYZ9yG0jMTtxQ9u_AT4WVq-YiDfHYk4Dqw1Y9Q-0aBOBStHfYbLepSM57grSEjR7IkvXC5YbhcSN2xEaJIKUeZc5G0jDnrqd6zXeLFQDob5_FEMDrCyoz56G864339g_Ab5DPqmWPzpOVKOLsK9a69j0STYEUmOEPEaOCLB4OOHRCdDuuaeHROW0jixo3noBrISZXtESiSHhOqh0SkEWpFA_vfUoY1OxVG0SvABL58leeqPXwMq499RuaRKRL10QD1AR38zluLNOeQ2U58PKX01TOgqf8KitB-iMPmrFoZZ2BEIn8_gy6SXFeQQN5g_glfTA4kXFl27dHLSHXYOA_JmKJQ%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-03
Gabetti Franchising Agency,Architetto,Napoli,2.9,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1030&ao=1110586&s=58&guid=000001864f83c4ada85509737c253d79&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d84765ee&cb=1676371281406&jobListingId=1008204334799&cpc=973E6D846143997F&jrtk=3-0-1gp7o7h6kjm6i801-1gp7o7h76grh4800-7154fc7ea830e3b9--6NYlbfkN0DeMNejglmrljmtVFsqNCm4MrZu-34Nk2B26CsG8IHyZGImvQzZIbWSAmjSB4psbJQIbpypy5WDr-CAP0NQDijTiXqDEKlNEKYU5FZtYMihapdMfSbbUTdIVMdDUzga7AQbj1b_W0HPZPjUOSOgyumU5NwxD0F_IXthM_641OSfd3QisTKMan8E52nz2MWj57I-z8LOsTT89gtDiedIVg-gUsFTw-4xfc0BwuFL9mCISJSdEwAGx9EPxerGTCV2pr2zvN5aqeGDMq94hBzguhezTSgmUAL2nPkRze5VSgvMUpe7Wy4mnKfuG9yeB0KByyXp8Q0dilYBlzSBa9kztwJr1IoJqLIm19c_pKvbv8AZW5CZR4pqreeWYKBEo1UXFXCZMOw-H4CXErGnclan60kCThDXxdkRZp-C1T1YyOj6N_-knluLDFS5XnJlaAqjhsjmLQWBLjLTwBsvH_SZE21eqtY2PfKhwRUT15zAoy2X61pj3cpcq1D0tVn4WSVIAfudHS7DlgMS_vpKDP_EIntiIw6YQnSH_ZQgWITlylJESmGKGu2wZcCb3YQTGdAQQ8M%3D,2.2,2.2,2.5,2.4,2.9,"Milano, Italia",Da 201 a 500 dipendenti,Azienda - Settore privato,Sconosciuto/Non applicabile,1970,Immobiliare,Immobiliare,2023-02-03
dm-drogerie markt GmbH + Co. KG,Addetto Alle Vendite,Bologna,,30d+,https://www.glassdoor.it/partner/jobListing.htm?pos=1010&ao=1110586&s=58&guid=000001865bdb29c8966ba850f2d34229&src=GD_JOB_AD&t=SR&vt=w&cs=1_d11ba9df&cb=1676578335590&jobListingId=1008198972707&cpc=C433947A107EB3A8&jrtk=3-0-1gpdtmaflihlh801-1gpdtmagaih5d800-4b8c4636cec5d2a0--6NYlbfkN0DSLx9wR7O9dXrDhbInNcYtngcj28fn9NVf2nOzOYxAMGuSivgdKg0tHRE17Fa6N3QlfIgwwMYYA0MUUs6oGSVkAoWD0bsUjN1RwMIGsi_p3apktIrcBUM2tBeQCjVg8IYuDlDSaWlrOCG_dCcKDX_EW2mr6tQ_zy8o4G3cnfH0K9ialIf24eSjAhvmfiqxCX8ChgM4w3oDsMqng-XHp6qiGFa47ZnNJ4u2v6i_x7T3067c7kNcJ6DJcy-LRHkh_lp7204fhQXL2Gfj_0ogDJIW8CFLOfeNMBD5LClEo5Rwitm4rLVC1eScYvnGXj26GQDKAeVW7vtIINb3y43mKQzWgZi44uY7AZa7d9mTFWQW9UbQ-we6M2RDuYevfHtjyGHq0PjIKSCdOS3pnxb6-_vZDFW8-HAQAoe2vAwZCJZhY0ISz7DLFo11lNj0WNZi0FxJ-rDFJz-UQbbs8qlcmm4BrFpbIYG2nIbKXA5IWA9mWbom-F3AhduLddFdKn2n3fnzsbn97_hsLgMogbtkIKUIsG8yqAC1-hWt8un_uuza5W7IoIdHglkM,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-03
Doppio Malto,Restaurant Manager,Napoli,,17 g,https://www.glassdoor.it/partner/jobListing.htm?pos=229&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fbca6111&cb=1676371189401&jobListingId=1008433146771&cpc=BBD63848FB84346C&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-ea54cbf3f93dffb0--6NYlbfkN0C0jkC67az_l2JZOdjrYW72hY8OzNLs-wjENDeKvUUf1piesqsELzqPpEuaqx3MAOT-XHWw2gUdthIFlmmDfhX0JoEUbEU1LkiP8BZdMZ8OfHrVeqloM8WEBaJe9bqr6U9Nb6QECs8Y9SS_wYE0mzyIcIoySKnGBbyXuHxI-qIuOcwVH-e2GNLoq5npFuw3v0aMrBd4d6hxWroLevHrs5HUMZtmtpbFrML58setlXdeUUXesb4hhT2B_PP-z9lnGbwgO4H_huPdJ86JaIfDiTMXK2k-PhAUoDfQwFRueUQWejB2wo4pdJr1v6QfyTejJX0VmexZkeO5fA1rpKF2BnwziuP_uSMnPrxqFIJJFjSIAmaWKnBs4ojROC6bY_PRXhKvhS7-clrKIqpV4j2X_pX-XR7BLh8E07opoxc6-ZhwA5cU1E1aFTCi0rTG-XINz7_d97-7ty0lBY6SNOGQ-m5NDoi4k-DKxdY20TSy9KM0qiCiMJFJ65m-xft74xc7OQhLi-NtIDaJHaGWOWZKbleL7DEHWUJ7OOGTh3yA2YQPhtZTEDUI6aavpiASHdsxeW3CXYkBwWjrFpBUK2wxe_VJSePZjKzuiG5xau5sthZsLQ%3D%3D,0.0,0.0,0.0,0.0,0.0,"Milano, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile,2023-02-03
Doppio Malto,Restaurant Manager,Napoli,,17 g,https://www.glassdoor.it/partner/jobListing.htm?pos=229&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fbca6111&cb=1676371189401&jobListingId=1008433146771&cpc=BBD63848FB84346C&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-ea54cbf3f93dffb0--6NYlbfkN0C0jkC67az_l2JZOdjrYW72hY8OzNLs-wjENDeKvUUf1piesqsELzqPpEuaqx3MAOT-XHWw2gUdthIFlmmDfhX0JoEUbEU1LkiP8BZdMZ8OfHrVeqloM8WEBaJe9bqr6U9Nb6QECs8Y9SS_wYE0mzyIcIoySKnGBbyXuHxI-qIuOcwVH-e2GNLoq5npFuw3v0aMrBd4d6hxWroLevHrs5HUMZtmtpbFrML58setlXdeUUXesb4hhT2B_PP-z9lnGbwgO4H_huPdJ86JaIfDiTMXK2k-PhAUoDfQwFRueUQWejB2wo4pdJr1v6QfyTejJX0VmexZkeO5fA1rpKF2BnwziuP_uSMnPrxqFIJJFjSIAmaWKnBs4ojROC6bY_PRXhKvhS7-clrKIqpV4j2X_pX-XR7BLh8E07opoxc6-ZhwA5cU1E1aFTCi0rTG-XINz7_d97-7ty0lBY6SNOGQ-m5NDoi4k-DKxdY20TSy9KM0qiCiMJFJ65m-xft74xc7OQhLi-NtIDaJHaGWOWZKbleL7DEHWUJ7OOGTh3yA2YQPhtZTEDUI6aavpiASHdsxeW3CXYkBwWjrFpBUK2wxe_VJSePZjKzuiG5xau5sthZsLQ%3D%3D,0.0,0.0,0.0,0.0,0.0,"Milano, Italia",Sconosciuto,Azienda - Settore privato,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile,2023-02-03
Doppio Malto,Restaurant Manager,Napoli,,17 g,https://www.glassdoor.it/partner/jobListing.htm?pos=229&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fbca6111&cb=1676371189401&jobListingId=1008433146771&cpc=BBD63848FB84346C&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-ea54cbf3f93dffb0--6NYlbfkN0C0jkC67az_l2JZOdjrYW72hY8OzNLs-wjENDeKvUUf1piesqsELzqPpEuaqx3MAOT-XHWw2gUdthIFlmmDfhX0JoEUbEU1LkiP8BZdMZ8OfHrVeqloM8WEBaJe9bqr6U9Nb6QECs8Y9SS_wYE0mzyIcIoySKnGBbyXuHxI-qIuOcwVH-e2GNLoq5npFuw3v0aMrBd4d6hxWroLevHrs5HUMZtmtpbFrML58setlXdeUUXesb4hhT2B_PP-z9lnGbwgO4H_huPdJ86JaIfDiTMXK2k-PhAUoDfQwFRueUQWejB2wo4pdJr1v6QfyTejJX0VmexZkeO5fA1rpKF2BnwziuP_uSMnPrxqFIJJFjSIAmaWKnBs4ojROC6bY_PRXhKvhS7-clrKIqpV4j2X_pX-XR7BLh8E07opoxc6-ZhwA5cU1E1aFTCi0rTG-XINz7_d97-7ty0lBY6SNOGQ-m5NDoi4k-DKxdY20TSy9KM0qiCiMJFJ65m-xft74xc7OQhLi-NtIDaJHaGWOWZKbleL7DEHWUJ7OOGTh3yA2YQPhtZTEDUI6aavpiASHdsxeW3CXYkBwWjrFpBUK2wxe_VJSePZjKzuiG5xau5sthZsLQ%3D%3D,0.0,0.0,0.0,0.0,0.0,"Milano, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile,2023-02-03
