,company,job_title,location,company_rating,job_age,job_link,Opportunità di carriera,Stipendio e benefit,Cultura e valori,Dirigenti senior,Equilibrio lavoro/vita privata,Sede centrale,Dimensioni,Fondata nel,Tipo,Settore,Segmento,Entrate
211,Enpal GmbH,Senior Business Developer,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=802&ao=1110586&s=58&guid=000001862144860f94a2efbba16df7e4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_36177c9c&cb=1675595384810&jobListingId=1008446032351&cpc=4977265379716ABD&jrtk=3-0-1gogk91hdjm7i801-1gogk91i3i174800-9c4eef082d133ada--6NYlbfkN0DkwziebNfXPE2Zw22jCFKIwOAdARYtFHjNymoGheYnAEOev3-ct8eHLra8C6vlzn_5a6iAsUP9ZIyJmBwWkn8yESMdqfC5jBngS2j_M-Ssf-wtR-usY_qQVQmLj0U39LP41jn52qXNGS-pc_Mjy83RZC_YsUZHVR7TlDeLxg-7mfGzUj-XxV0qdwfN8-oLj7pJODHkSlAX4TYnOIMqj58aCTaSDmFtZCNnMhGW7wquQvhSYX7-Au8PoWvQG1193ytzd7gaa2G0k4_K2hqjxSC9sHzrret139fNLfF9gstffmWSMkvVYzY_Ky3UGyfsh3tjtBZksH2DqyTvSIUkePsRWusAOTkoRtqzFjH44xtKSiQV6-sqz9DEFDVpcHxW7y6EPNNxQhiTc7Q0No26E--_hLtZCsqQgBCAiuGEvir0s2FnARJEXn3qQ0M41b6u2PPluN84tLlpFpYisDz2k-gTw1I9hueaPKmyQQ-CntsTLQDFHgAaJiBZ6keYz6G6RBNCpedb66MEZ9_ygkVKkORit7M2T2KSDUxtBU3_C1jQSjZ5rSX850tq8nhiK0wmvohJ1CH2IhBrt4vXgev-rlw9t6rbmTSxIkscWes_mmI-eQ9zn582xB3zFxl6m9DQ0qlbt-2ze4_P43rHoJn4tKow,,,,,,,,,,,,
212,GIGROUP,Operaio Generico,Crema,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",9 g,https://www.glassdoor.it/partner/jobListing.htm?pos=803&ao=1110586&s=58&guid=000001862144860f94a2efbba16df7e4&src=GD_JOB_AD&t=SR&vt=w&cs=1_c3a8e9ce&cb=1675595384810&jobListingId=1008431241566&cpc=373C8281303CC873&jrtk=3-0-1gogk91hdjm7i801-1gogk91i3i174800-a2ae12e9b8794796--6NYlbfkN0BgysnIr55e20vnvfGrU75tCLJ-2bjT-JRpm-kAsv4N0CpxGnc3UPbZou5OtOndD3Ma5d_bBoOliIxP40LNKIlpq05RGiwpEAiccfaMW2_H4rn9SV3PmCZEXHS_yW3mDFWdAqDEFU0aHe1zOjVfBi2n2kJxYw7CxSqlwUx9WjL7Q_vIVP6UWlxc7q5FOcAiiQBf8q7FKmSOtilQJE2sMT_AFJ8ehJSHnw0VHnIzwUjzUo4UK5zmmfVeQ0eXR_66ZO2FQk-iM73uy8M4j3eV0mOUFJvOjh6-ViJnhNlTqJr9lz97kQkn2iDegogycqv6fttYpATGWLThqaAnmhvE4DwZAqx_Olyy6nNRM_2EYzb_gZ8lzHAU8QOc7zSg0tSwOHvsT78RlpKfyDHZh5dIZLiQ99ZFt4Zu593AybpQ6y6cVO0MwQrvrh58knTaH8fSyw4hIpn5Y6jCv9b2SYrFAGcwc8rLlGgSyt7dBGqNZ5ice65uIbOcEVKtnk8RzHJBz-27c1vfB1cxE-TBYdpp21q1TEPMv0LlUXPHY3sANTA8kevEkUq3u2HphxPtXt4NpdCot2pa76C0rSkNjEzkxcHdfYbcFeghHF_GwlQ6sZIHO7EB-niRCCr5MItywGHVdyPCzLJSDeym7AD2HUub64kB4O4a4qI9xvuDmgQfwwoUavClBAgNjpDiLAjdVa11e4OmR8HiIqQndiUdB8OztMMTjqYSM9_QQg-jcJaHGpNhse2aYRJdu741ZgKCSGoUDKqgLzTwOjw0T8ZMQIRqfPS6u7-LzWreekXRTuSXc020xruyPvNPZNhZSNDrmsydTN6wmioAOUbpeTfUT6J8xX9cOJ1IHWv-7p74mkpgbOe9M-EBXPzj6CEtPs_KLivzHEbOwWJsKWc7zIdqthTzgXYBGKIdW617sNXIuaRCHEwm5WVQiJEIREb_sE2s4Tb-bL_FLD7Im4XzyFiJKFCfnBFqZ4fgeFeoZ-3xEK8G88Ay9zsVpfT_SBz9lFDPzaKrBAHTpkM6QWw1cQVWRGZbBxfyi5l8DuHL76sSRb_OQ-Ghzfe5rOO-8CyOMH0wOxFxvwxchTfTDiP0jBkUfzgxOEvdiCBRo0YVVRM-yty3FZ7GnoHAMZ6YSrNRcg3Uqh1m3cwAQvJN_RtwXbucbqSffRSNpwcfHVXpE5lSi9yzNZpsNAsVW_LOxCam6hax4RWBHqSdVxJ_qD5aMNvus-bk6bdE3zIOFgRWm6Swi7x3kM9ZXe3jBN7yClpG,,,,,,,,,,,,
213,QVC,Project Controller,Brugherio,"<span class=""css-2lqh28 e1cjmv6j1"">3.4<i class=""css-0 e1cjmv6j0""></i></span>",18 g,https://www.glassdoor.it/partner/jobListing.htm?pos=804&ao=1110586&s=58&guid=000001862144860f94a2efbba16df7e4&src=GD_JOB_AD&t=SR&vt=w&cs=1_53d0d521&cb=1675595384810&jobListingId=1008413006028&cpc=9E3121F390AE2874&jrtk=3-0-1gogk91hdjm7i801-1gogk91i3i174800-750879cb0d6fd6cd--6NYlbfkN0AEhuH6aQ2jAlpt2UORMZJ7VGkp35dfBxxx711uJ_34-fvlZY-X3lIKJmywyBD8VCgRj2CnBPSbdNkTA0QtURpOUqrqMJLmkZ-zcYbNEpzbbOV681bGTKIxvFh8gKieWjYChQ6SjLg9nsUAi2qoPgFD-j6-me7Z00g9ut8WbwTB0-VA86ksySOTBh5zyE7JeCcncqqY4ZhmbUgILUzJYDdET2sc_e8FT6tUhvmJd2ZtGFORIeg18CPhm2zBLRB60ULGKHkgM6xSrUiWkBOJcBana3IzkIA0a31rQKnvWm6oJ2B5Iz7TDqV7dOB5ysg8DCVx3WncrLX-R48fGerNtldsshbM1P_2l-NiqrAtMkiypTFYafo0g_517Uvasws3RmbiT9Cf2menClY8y4jPHWOnGtp0lWP-3-jnb1dhIeF8qIvPAggDMjj-ctPpzcTm5-KUt9cdINFoJ3GCeZb8nx--qAt0jZz_XuPP9R8zQYpNpjFg0vcb6f5BBSHrjdjuQAAdyLrpqgmvE33ysGIjJCmd_MrLlCcEHv7VLZKNJ3gGIJ9ZM5Fso34CfsCz5T-dbFlQEfljrs-brMghHxehWSr9LrrmL-FdrOLs2thHdzEWJp3xPkD3RqqtVCMLvV_rcRD0dBaY0m2OXD7HbN7p3qZp,,,,,,,,,,,,
214,jobtech,Junior Consulente,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4.9<i class=""css-0 e1cjmv6j0""></i></span>",1 giorno fa,https://www.glassdoor.it/partner/jobListing.htm?pos=805&ao=1110586&s=58&guid=000001862144860f94a2efbba16df7e4&src=GD_JOB_AD&t=SR&vt=w&cs=1_da676ce5&cb=1675595384810&jobListingId=1008450333689&cpc=5B877AD962FD223B&jrtk=3-0-1gogk91hdjm7i801-1gogk91i3i174800-f1e5a89fb05ce068--6NYlbfkN0BhUQ-HNNcduSXnf43rV2y15v0z_WsvNujsSbY0-jJgEbUfKhyj0sSjcKj9mUwwW1EA00mLSRkiuNVLzHgifVjNwYvLxqgXS_7d4M-fvZhyoTqvp0hsQldu00DdUaYNGp739IVG6k-CW0FRiVWyNeFHfTlmC1okIW93CSQnNGiUmat__L0MSixvAkrMu3qZIjh43rYv-jVxCY4CTL6shkaaE_53VGprDxBvnjr2IQSj6m85HP4bMjZLQrt0A2edAzRrR6hzY0iJag7JGvCRW2kCk_P-Fn0mq9iXTltPxpOnuIS15XLvflX3cvo9HBEHM-UBf32EMDorGpTyVlZY2CSyJ1LzAnnkOuavBJygQAxwnotWsWQgh6ByydL-Uy5GGWZVDMD6XtOPu5G8V_cltkUayFC-3Lt9X-k73s8vOauZRFgozZB9FL8dp0pFCn5jLmDwxiUxKJHez4p1hVnPbnz_dGBfwDoxpLY6eYnufl-eOlOPEHBgSJbyFREYpSkQKKRgsrLLMj6BE7NuoRsOIs6ccQsMop2abIIW7sxUFUvdn5CSP04jXs14xO5e92Jr_WoV578SDTsO833SEEOSc2ZnZqyhDbFcEjcgR-Nhrue0bnu2UHGsUg2tmXxuhxD61sfeqYHQfQppYX6Hnb1c6oo2CZJozIT3maD7GRTSqWPA0Q%3D%3D,,,,,,,,,,,,
215,GIGROUP,Operaio di Produzione,Crema,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",9 g,https://www.glassdoor.it/partner/jobListing.htm?pos=806&ao=1110586&s=58&guid=000001862144860f94a2efbba16df7e4&src=GD_JOB_AD&t=SR&vt=w&cs=1_2cfb2ad2&cb=1675595384811&jobListingId=1008431241559&cpc=8B80225A009F6369&jrtk=3-0-1gogk91hdjm7i801-1gogk91i3i174800-798fd8ebf8fbf6b9--6NYlbfkN0BgysnIr55e20vnvfGrU75tCLJ-2bjT-JRpm-kAsv4N0CpxGnc3UPbZou5OtOndD3Ma5d_bBoOliIFguEYiETH_45houfHFtSLQGS8G0gQ5r3fnq6PO5Elb74gohEXjsVlFDd04XlJj2gQEHg-XLceMi3iAror-0DVny0x7ADY3L4g13nYvGLZo5xOVdpfYKCrykwBJiArIticGPcjjTsCmhcXyRQNDu_pEZDP2cOLDQithW-2UWnwFIvCvNXKPQXeX7TWpHmA4A-Qj30VvxWJ89Svgg3c00motg0dizPClGFfbJKBoKIMVzYfOSJQCJYqpl0KNLgQ8dCTns9oJrg9gj_izcTz09MLjBUOH-gY5_a5yuArZG8TSX6ajxhfwD8miBYCbKiUfP8GonGlQxjM5MMroFPfA87e2UcT3JpctmS3xL-9QSblYPCnvqD2_kfcOJD23PJUkXRZ2yxFHUfhu0pvwRrXkZuV46Xy7PXXVlC6NWpSri75o-SZBPskQaOzDce_a4OosCd-udIq_tQww0XRDqq-6xKC2MuCx31LL60KEvtN067fMWz0kHrmE-jdl5SjP9fKhO9ZxmBcNdfM-1bUF-DquBmUrj_uuCCTieG2oeFpfw9n4B27NmQFk7y-z7HdVnt4VICe-Qy2fVV9DAZVOJ3uLsbF4eEVvzJf9jnRd7pB9Tb3zn33K7-tqTdVjDMQqmNemACfrfyvKNUWxuHcxrfxGzepJ-dQ4PkhREq7qzBxwfGYLab-M9n57aCWVvpG2haddNn-QPK-gGFtBHJlxB3pQ-j6nLs1RQyVTwPKOJdQhv2cD38bDy-0RC-5_BYhx4fZDvxAUDNfeIqNLdAQGGje4oaM01Zz1ESn4VWBEQHABfv6nkdC-laXfqaNMFaRd44c3PZAeUQBupAj5b7WCFFoAgf-YulHbIExSTpx0e3e3_ZClkc2li36Gq8SVpz0Mqf6Hisp6JQwApptwGZQ6ddTehOkMk1y1mQjhHeY9lrcr2ahrCC5-ywlXL25ErfT8cjHfVC7QnbBQ0kPIm8uLdtMWuwfn-DK-DTBWOh-ZSsFeNyw5hiiJWxG1DCYcDBAJNfcoFOCrc2sVaIZk1k0oWDvl4AUda5mKFGgLW5Q2rf47wKVMXiwrr51Bi9Axg09Vduh0nKhri6XsIIirnWU9zjrl9uyVUv9svnPHgHAyXY40qk_COv-Ma-h7j0bZFvoeOL9NUWtNDuVamKuHwYcVYtE7Yqx8745T8P99B6hXsdZBZADz,,,,,,,,,,,,
216,A2A S.p.A.,,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4.2<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=807&ao=1110586&s=58&guid=000001862144860f94a2efbba16df7e4&src=GD_JOB_AD&t=SR&vt=w&cs=1_336bf83a&cb=1675595384811&jobListingId=1007243344510&cpc=1AD9FB1E01C94A37&jrtk=3-0-1gogk91hdjm7i801-1gogk91i3i174800-1026fd492a16775b--6NYlbfkN0Bz6Vm0KKZgK3IGyqtYIgq3B3aSN1YYDISHIR3HLJ50iQM1f8FF86k3eNG5riA4MSz2Mm_nTByEclbhMbXDir2bUdFwx_x8fYVYj766ChpBf4mya8_IUc8RA6hwLKUWFEWxCnmzwJiY9F8P5nu-W4pt8EuJKQijRya0ULCFuvo7PG-ngFHJU56YKeKBkGM7V7k8ahE9FA4ewF2sfAUkHEMHcfkCEm-H5-7lLE8M6wAKUqCE9g4d7md-AsvpdjTXytN0yYMHcpEyld-DRbxvAhwxkrgdyFHPDT8VRe6-rDg9WJfOefBOmFbKNzOXT_RJlzjHP7CqN5t0ZdUXJIx0x9AHm-0FC81Uwh-lf6W9SacVlVW4w0TOIOvGCCnYQAGQIx1FUSiDTvuzprDk82HX4ej8JZpJ8gudClGDZXura9Yqhu47Fwgm2wP3_K97mJoB9Xf8StI85MuYEKqwLTbIiLIbD1sLQF-4q0a707PTiRWCk9cKaKGJxudeKpNHyiaTOI14tfm5WiiW-yAvKZWLos4UtcaiY4mPghWxKM85ALIUOnQMjYnX2fk7rRi0cfFjRrXQ0UnJ8ZCSQIoHMtnwdhPSQmdFvJ30VWSH1koqO69Xqw%3D%3D,,,,,,,,,,,,
217,Gruppo Coopselios,Receptionist,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">3<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=808&ao=1110586&s=58&guid=000001862144860f94a2efbba16df7e4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e396ddc3&cb=1675595384811&jobListingId=1008165487023&cpc=6A22310A23505C64&jrtk=3-0-1gogk91hdjm7i801-1gogk91i3i174800-80e84bdb4e8ec3d4--6NYlbfkN0BxQOEvJzLbFPY4r7xmFVfGTKei_eIpiF1TYD1OvgvSnFb_iDxKG-elbxREYFoBdUPDrkCu0_9qGL-R1BPMAelr-gE1AFTWqdQQskz6iZSvnOTNZM0k-_JUUuVPr48EVrhyBSCWSK3o4lVoFrtTY90JDyKE_OihK-zHsIQqHdgxIwsnnTErAofY3EFCvOtazYwSE9XDC4bz_E4ZaMWig_dWayqZcHsI3MQ7e230965KP7vkcbZUbZn6dXwNaKl2VCMojdWLjXStl_43s03tCSed9gXjqJV-c_QXcqX8B8sF6-vX-uMDHVASA9RbvGhrSneiPc2k6w3JuJp-gtCfalKvrs4tK89YEH73AQJT_8eqOKV610gcp3PpNeJlW5-b3X1vV3_vK9-dUZw-kU6f1rx2gSuwDtgDQ_ULgZOriqLZ1d89IdUDx-mTWBhIz2SwEgSp1TT8m83G4t1XBSY17CVE1vExtDVbmOh9aqbIYKef-tq1syMpxRR7ROyEL-ducPM8yKi9p6HQVHlcAzww0GF77sAXI8kwawdSt3p9ZKOnACbqGRUG6JnSlnD8KcKeGmV23TMo5ggwCP0PTESApCs8ZISCDvph7G4XMfgRFjfIK3xRfTQVkQGiekKydvb4aom9kg4D1WKupg%3D%3D,,,,,,,,,,,,
218,STMicroelectronics,Process Engineer,Agrate Brianza,"<span class=""css-2lqh28 e1cjmv6j1"">3.9<i class=""css-0 e1cjmv6j0""></i></span>",3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=809&ao=1110586&s=58&guid=000001862144860f94a2efbba16df7e4&src=GD_JOB_AD&t=SR&vt=w&cs=1_38a8a2bb&cb=1675595384811&jobListingId=1008444145959&cpc=117F6BB3C9C96699&jrtk=3-0-1gogk91hdjm7i801-1gogk91i3i174800-1c5c5d2063dba958--6NYlbfkN0DAv-knXWXtWP4BSZ5vXP1CKdoDUf5S6mXEs2UdONmIWlVd8a84ouEntKZlEKwwLXNCj8boDgC4SSsKuz0NPic1FsWzlqn4E_MzobqU_XLN66OQItPS8F2I8uezsKCeQ4JdRCPww7H21_DsQfmCV150Mll9RWKgH-0SYWwAJiwVTtXACvEBrA95Md9kW8iPqWTijj_WazsQ3-4xmWVtUo4_XeaZKJ3Neh8ujcVgKdeTrNUDi39svoOc5tD1S0OEcptB-vmmaJMaaFGucgqH4Qi03Qh56l_ncFb-LNsnGpIAvR332wiuZxJ_5bu-YG_vMNv8Oal1xTvrWL6_FLNnI4iVzqZ5kYFTELs55s7CLjut02feBU1zX4a6h7PobVo0CUcTXOlM8_PfDwuSzODS2bS4wduqTjYthpHPKUfOKUxO-8OXqzdQn2ZEZbikewx4MoiUGoP2TNEPnFQd4xJsQo1fagGKwmSUYG4EB-5QOSVG3giEsiWqpiNFsoZVKpOSG8CLDb_WFaBR1WskEixYCjMZtnec_FJzVNHzv6CaCP3U_FTZFIwd48f5WbcT_8dF3yNjJn1gM7qBBkvW4yWtFjOSJ3etJqhSzOD0nANnM1BTio1nItBZ_UC-Gq_AJFui1_6DkNotiea4F0nHO4PIf63VXUDzu4oauLc%3D,,,,,,,,,,,,
219,Bricocenter Italia,Responsabile,Rozzano,"<span class=""css-2lqh28 e1cjmv6j1"">3.4<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=810&ao=1110586&s=58&guid=000001862144860f94a2efbba16df7e4&src=GD_JOB_AD&t=SR&vt=w&cs=1_b0b1dd93&cb=1675595384811&jobListingId=1008258514848&cpc=3F31A6B851F28AB5&jrtk=3-0-1gogk91hdjm7i801-1gogk91i3i174800-fdf2d68e3197e241--6NYlbfkN0CBffRwqXny1LHmaCe0TtrzXzqusl9qR6OLHfF3XM_YcANnN0udkX4C2ncKNAj0PLobQWJ9ax3HIpSnLahHmPJL8-eYtFdvJaZoC5xJKqGjVJ3qFqz-r-N-_GFGZuOraPOMonyNKo8fXZVDXktHMNU31vQrW6tyrrpiBJIYi5GUiLQDXiICOYSDj7MyrVouYad61ctO8vAlM5swD4isjoZt-loe9Ql9KgTB-lU23__R864RNYKmgPUiVUz_WDwecN7w65Gli_LUsmEeWlkmbV6upcycDAP9WKj9keXiyEKk3L6MCkT4Ndc-ntyBI1AXrLyiaAn-ms-dUglBccf-KLl-qYEufXglOubjDrply-TsUDCaLBW2iqU13VxGVX6TMve7D6b_egBE2E06Nk5LFm6Q4dDr1ZCNJALjxFPNcx1aumoiav7GNdQyIR1kZ30kMalmWt-_uyo7WT5CviSMmm5S0n18VxeAZcViibgseGmGRD6LyTRc22Mm9nFIVghzqIjlvtpPUe8gxAPH_vUcv-I1zBxyn2G6H9jUW2c3RleN6rKSGchzAIv-Wu9g55vJ0rY7xtm7gAoPMN5U23NC6TCv3aXsB2nCQOE%3D,,,,,,,,,,,,
220,MS Printing Solutions,Assistente di Produzione,Guanzate,"<span class=""css-2lqh28 e1cjmv6j1"">4<i class=""css-0 e1cjmv6j0""></i></span>",17 g,https://www.glassdoor.it/partner/jobListing.htm?pos=811&ao=1110586&s=58&guid=000001862144860f94a2efbba16df7e4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a4f07f04&cb=1675595384811&jobListingId=1008414674330&cpc=CA5E2B5B7F82281C&jrtk=3-0-1gogk91hdjm7i801-1gogk91i3i174800-cf36c06e0d20ca71--6NYlbfkN0DmPnEVoI59PiN8kjKdqJHstSvntd5UzKlKdUOtSj9mr_XZ7KccBH33Um-4PvLr1AX7we2mT5nXs8s_KJBKFjghxWY_ZJm8Xve4gwpZjzO8HCGk9QSjwf-cp46AQQqSs0gkjlq79SqhVIPzmJgz28OtxJy1dQWkBTtE9hbTsDPf7FxO54oHWn2MGEwWTdYCEdS1QLiR9sB33tr7kdE-hbjBRwhauqiqwaI-czYqnqpMiclVXsTef0F0QbTkGEgLwj7ApM_mCJnHLEmn6g-_uKW8LtENZn_5nW1jBr1Iva6bIiu5l-IjUETo10aOoi_xyl1Vin7qHwv84x9miHf7VfADjz3MfkgELPEKPjciyzq9-eC89pisCx0w4-LJ74kICJNpAYE2YTS_Wo97TYz8XY9iC7sHstw0M2wbBKTgoDP5lZlLQZNvcOLebTZLpvYW1pyNvi3SuBCGQLckJMjn6VzZtuzonHlALsfpB3Obyy7GkubshJxlbfMXnfsMSUgeHmNI5FUFNA7vn9Tv1GolxUle3GOFKi-Yh2uZENEKPvqeCdydivVzhr-2qxCkf-BvNRCDaG4JF342GZpWbDA7xCuF,,,,,,,,,,,,
221,CISALPINA TOURS,Graphic Designer,Italia,,20 g,https://www.glassdoor.it/partner/jobListing.htm?pos=812&ao=1110586&s=58&guid=000001862144860f94a2efbba16df7e4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4fc4e4f1&cb=1675595384811&jobListingId=1008409150192&cpc=BC94DADD91C18169&jrtk=3-0-1gogk91hdjm7i801-1gogk91i3i174800-1331770062283235--6NYlbfkN0DDciKe2jXGefLqdJbm6YVj_SHyleaBFbe3BD2NzrDk6TgdTz6qBKS0kwaS3YgvmXZ74uF5HRWb7zc8xGPRMjbEdcO3F8iKsoJghCZhlug8SWCYi5Mmtorj3nLPfWLYqhSl6N8kfVORvf6bDOFl4g1Pn_k3G3NVazHzZP4yTmrUATg8CnpR4wjJo0mxVFz904L-dpwQTGH9NGBUBXhtAC7FSHogUX9_T5SSAHO3aKXrlSj3IZnfUCvquOZ6y4xsfG7uM_73o7t8K-fYxJmpdkzQNLLjrdFb_xF1g4VP98QPkNcF9mrybDoHPDD--d-CwbkDw8PmuG3W5sCtnaWskKVmOmIHzRd0k_kXhb6soSeFvW8Gd1xXmKRl6NzBAL3t6E-iIsbnv8lhZzRXOiTyCz_ytaspVEJ8Q10y8pU1N46KIa7fAyJ32TxqxyT_MWEniCndlb2cIv8k1MkQULYfjS6tcsZ317KSzYwO_Qg4vmgaR2L_hZYJEzboSc6yXUeJJOzz-fpsWVebQMv5MnCD5FTWQWDFtpwUL88QUe6xPSIK_NXJj2JkA9CO6d9qvw8JXR4%3D,,,,,,,,,,,,
222,Redcare S.r.l.,Magazziniere,Settala,"<span class=""css-2lqh28 e1cjmv6j1"">3.9<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=813&ao=1110586&s=58&guid=000001862144860f94a2efbba16df7e4&src=GD_JOB_AD&t=SR&vt=w&cs=1_5ea4cfa2&cb=1675595384811&jobListingId=1008311252846&cpc=C49818E30565E1C5&jrtk=3-0-1gogk91hdjm7i801-1gogk91i3i174800-5d928b36eaca616c--6NYlbfkN0BJKArFY49IRn__7OTokeQjzOtAQ3tICCNiDT8SJ5k7t0QUWh4kdn8CclV-0JfuAgYsEptrX0PhrAvh3_FT4oUG3L3cg2G9XQckFpZ8mW8g7_MlwDXjsqpZpnZPlWXrwuGPsI6cZhqjmbZxgzMf3ivMFae5J1hZND0duuIoInzRCrR2wF5GstZgtjqMq6SHBbIapW5n9CKiJgCv2MAC5W-CYF3lHgHxucitY2Kk2bUUvfImQUn0EtR2Y-wy-D32Yzdj8KCuIenkD2BhYNjlaG1fflqfsr4EGdwinA48Q7ECZzenoiqlnM6mSjrjoRLXcfMJ9QXrAJvgAD8-Fs_M48OBub6CSFL0w7NpPH3bWGD73jod7n4fVduEJ8R7fKA4Yc3nU5pYpDyFVFxD3ZIwS_QcbJmhHjORQ-qJQ3ELC4wX78sPhRxoxjc2H9GjsezcLzasrWWaLBiximAyrwipfgppqVKQTsVA42_YRNyvRMctntkJVORa6EjJhZdonRhHuNMVdC1bR7bjdbBAufGKhC2w72uht6x-3tge4i235kVVh50Ko3VXQzIR7QdtBalpw8jqDUaRDBH5N82Zy5wxsvztaeBXYFaloSfOhDLlANFKQCNL-vOPmIyqbK7ASu5xyf8%3D,,,,,,,,,,,,
223,Amazon Italia,Business Developer Intern,Lombardia,"<span class=""css-2lqh28 e1cjmv6j1"">3.8<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=814&ao=1110586&s=58&guid=000001862144860f94a2efbba16df7e4&src=GD_JOB_AD&t=SR&vt=w&cs=1_f83bb84b&cb=1675595384811&jobListingId=1008255009668&cpc=AA797275D70DCCF0&jrtk=3-0-1gogk91hdjm7i801-1gogk91i3i174800-5eb45318949f1297--6NYlbfkN0DnGmcBTOb772ESOvFJKsImmoiORSSf-EDClh14IRIdT9ed1SlJGtbWCMkNAT9f6-SgqhUau9pjujK9uBT0buKt1S78IXHhvY_2XkG7uL0W4TgmU-nEC1dSCWDZdiug_3a0ZhDmeUgx16yH40EOVNb9eknNCppLC-49VCgwt6Ec_lB03fyyYKU6Velc2FTv8CYTQmPp0A8zLh4RlUL1liLQuJSTRzfdovjvz9ALSOFXwC448cvR-FeFPJjtmzRo72uhPskUMogVFUpfPjxkKt2-DUuHr918AA1g4XN1VbAXOVMUJ5fTu7OPDX24bf8maQpNZF3HYfNexbhIx_aoszNY7xzERJmBPwVs1fmG_WuNsSWoEPmxKtWWD0WLSfspz_p8MAaB9aKoi6dh_AfTD6pv3wWL13XKkba_zrm6iCcKoYPZh84GzV7rVPkbB7JKR8LpOtVspG3gdJfISRJhfFYvITpftEEO8ApZ3NItVRlwo0KkfwMM4Zf66u6avkZ6FcTTIOUNZvCCjIsEM7n_8tDJ-LIDrrEMVIKr3YEwhQpVWy2gjIznX3l13u7sGw9Rqg0%3D,,,,,,,,,,,,
224,Iconacasa,,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4.5<i class=""css-0 e1cjmv6j0""></i></span>",4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=815&ao=1110586&s=58&guid=000001862144860f94a2efbba16df7e4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_14538d98&cb=1675595384812&jobListingId=1008440370563&cpc=7095061949A44974&jrtk=3-0-1gogk91hdjm7i801-1gogk91i3i174800-f74fd59876ceea94--6NYlbfkN0DQp6B9kO-ml6optfvhZIF909R7pNNSTyfhxsi_kddqo6azqUD8WmQU0m6HfQkCO3uraQKqPQ8gR3TsgYocsXil8MjvlmIVFUsR5C9ep2nV3wJQSxnyGT4c6E9UU5dS7q_r7JrQiE-4v6SqHMV260YanHpgHR9TieXqRimxxqGjzWmNlA-Bnfw3NPN8byNrlENMwUUjTTIkYoTUfthjz6dOYlDamrW0NOGx_AV8B6RKwKQzo62tVSH-CxEMX6X-fJpYqXwlUjJ372JhXnf9iDCjxLO_s17attWksntyaJD6mDkDbOv6ZQ9On4VzrCw3-VzACkPoUncC2kPd7UJQDXjgMsVkQW0LsWxNa2of0Nkizz38F0vtSWetCpyiLl_EKzJfPPKpX71eHFK3OvzXq8zEMgN3-4bAz09PqzJn-gMz5XV1Kzv6W7XJlGW0Qq9NvDinqXUwOUjgA7Qe-wF2K5thnPQJAqgaUd1q9V-MtbnqFxaR6aWvMWMQmXzuYcpGI84f60JA4FT17As-V8FiWFeWplJa1xmkWIjBIckDpzRofKcYlYPnxv5qlbo2NtpA_pnkbBKJsIcm9qEtnpasjSrk,,,,,,,,,,,,
