company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,scraping_date
Security Smart UK,Tecnico di Cablaggio,Gioia Tauro,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1502&ao=1110586&s=58&guid=0000018691ffa84aae095b4303208339&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_724a099f&cb=1677486696774&jobListingId=1008385430211&cpc=853DEF62E69EE75B&jrtk=3-0-1gq8vva36gfon801-1gq8vva3qis0h800-c0d7da6b1b55fec1--6NYlbfkN0BihpavUZJHOoacPrkagOrCSsYnUiRyK7w4NYQUkxxvAi6Wc_yT5-vioJl_iiw_v1TavSlpZQsm6aMWRGKd0MLMh_L7v8QSH3qOr-15pyZGvntup6PoQOd4LH3iQjl79_JVxkKiaYiZjI_nhfkQuA4Cq7DvofTg0rFXJ8-c_KHqlH-ZLDdC4QLV9qSlIkQyjuaknSNlB58uYhnFQPDMsrMtuHFrZGAWTjlopw0P2z2O-LPPTLNv7ELd6UPGB3V2U5-eA2LAhygpA0LEDUVkwfMBme6EVKJRyznVZhlS04Vs-C_2uKWkGODFDfw5gsPAscliQXhu8zfERQoJKaFLkzm7EZ3DbwNxJ-PPD4O7xqmYti01GIiizYoOzMFELzESLy2j-Q2SY0bOrU5R1dWOZLpZWp2c5D5yZCVpAdtRvxiH6lAMoO9yWd53136PUcsp-1AS2q3nZbVOHIGBV35ivOW7QjVZjUtG_D0PVdd8TNyxJoPJV6wOoc_-5XLrdEnTbgxVNTMKtdif5ND2koeYCvY8Br7E7-4yq48fvtl1l12yUnxRKZQETNt1Kpt925_aG1k%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-12
MeglioQuesto,Coordinatore Vendite,Sicilia,3.2,11 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1503&ao=1110586&s=58&guid=0000018691ffa84aae095b4303208339&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fe9fa6ab&cb=1677486696774&jobListingId=1008473534436&cpc=71532419B2302243&jrtk=3-0-1gq8vva36gfon801-1gq8vva3qis0h800-6dbefaf5de373b83--6NYlbfkN0DsGlZntYnfNLCDkxWKyeSlAU7YMYuzOayEf1PfP8gjyNiMz38T3ifnndKqpaTZ6GY8lFQdqU1qPZYgYsJJvPYjpfUq83ApooHM_bdDfgxqTBfN8pt8TPWOtRe_f-3nwv1WoXXvDHjgXcSjDiGk6gUsYvQHXJ1ynxTV-JudRsxHz5stvRKLObBV54V702VEBc6VAW4f4_AFZy1mhwwSMkzmOlGCwYMtUFosG7krtgEvyFE4yGQ1LTgoRwIrKoUAuRcF4Arwpnq3h2X9bV5nbs9siBUk4H6vph5Cqo1HeWcBSBy-USMOWKOpSE2E_WC54O4Piov4YH7_YCr_p3silV5RQm2hPmyZMMsbkLh2OLvmurhNMgWgm44tTJcWTrZWY6Oprm0E99g4yewg_-PSbmCqk5j-tAbeI98X58-W0FB1zeQWx4reVkptEizDSZ8YfgFfl8M4-Jb42F3iGJi1v43CQh9cY5UG7ozrticma63O0n6oIi-4F2d5ggfzvostSy_869Wb9-s6sf4HYyD9hvXxiMzPFDGllcVobcdYR3ZS5Et_N6uk7toANm9Qus0gLQsgS2DcQe8npE8ZCJIcaZCW,2.3,2.6,2.6,3.1,3.2,"Milano, Italia",Da 51 a 200 dipendenti,Lavoratore autonomo,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile,2023-02-12
Polidiagnostico SaDa Group,Infermiere,Messina,,3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1504&ao=1110586&s=58&guid=0000018691ffa84aae095b4303208339&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4450028b&cb=1677486696774&jobListingId=1008489956020&cpc=545C0D17DAD7ABB7&jrtk=3-0-1gq8vva36gfon801-1gq8vva3qis0h800-496c4087db7e6e9c--6NYlbfkN0DL3hACtCTJgK5wOj8MsurH452nZ0fXmhMM2L_oz6c0RG4gbeXmfaMMY0rUTV-RfmIaotke1d397SaKk6I6-XqQda5Dw6TxftteQt7Kec3nih-l8T7fiOXBIYKTZh_WwoUODulD5yt0pxGOm2NNfhdUT0zvY7YPPEp46tSXk5b1A28pkGLycfA2H1rCY05xiAMguWNlQ3LAHRl2wLXxpfGd9TApxanwx3EA8wEmmdXdtOtweSj-B1XJ_nKka9m32SoYTCF0ZeGTcROeMF_TSBseRsGN1wcFR3i2_yHxgfrrunsGIxjmr-aa1ip6TK3N9VCgb63gkCDnRkVJ-Q1nYvJB2d66eqc2Bf-R783FlFqipKL4AhOGDlLGUdk9_92rsbNC6kOJsksleZESANyum1_pBV2CBjz_p9gK_4rvT2BZS6Lmd7blCsuy2R-wEsAiwVksH4XJZv5PauL2BPpnDifPflM0FDX7vVXg04HtkWXlg-jaN0J_oIpiamnJNMDvmS7FsGHveMW2cZ_l0HczCg3hrGuGnpMpCP8tYZioYQWLwN2BDz5UJXABMCZTRokKKZwn39QIMaRvLg%3D%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-12
Umana spa,Ingegnere Elettrico,Messina,3.7,3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1505&ao=1110586&s=58&guid=0000018691ffa84aae095b4303208339&src=GD_JOB_AD&t=SR&vt=w&cs=1_6f5c6746&cb=1677486696774&jobListingId=1008489125598&cpc=F7A2269C793D5877&jrtk=3-0-1gq8vva36gfon801-1gq8vva3qis0h800-09af556da1e00b46--6NYlbfkN0DBkioJ74HNRv1kkbLI_dqC2yEDIKgJL0nBFSYaLvAaBKZdwsjGyz84gUGVgPPKCPo1quylJmAXAuFM9BhKHOeTQ-S7hFnssynkGU0qGU_tik3j4OucnXACW01vDOXfZiH8-U07CgjGwH1yMHOMo0o-6ZApQuWmlWj7jxBPD7v6s3vqO1mnYr-02QC6z875zzYC7LsBeUVg9f0F6QrKPggIoOwE9p_EsrVzqezGaWfU661TafuwQzQIAxoyCYK5KngGKSE-uAihzUONlbtvFwYV75ElyVyaq_pwrFI8lcefLPc_aQScOoImYiHDrjUFFne1PvVZnNyfmMJN85pGceD3cClNOPrfgryqLae6910I_o15d9vFuaMeu2FhfNM3_klcyw_GbqHecCdcgx4kjSQ1dnZ6IGNkyCbW1LnupLG3Ps-YTO_dIVmq3DisJ8_s0eTj2R8AbmBtXUJoc2hycIWBQqW8hJ4Sy7H0B2M-ymXZwUOXnPaCuDTFmou7cUiHXG2LIvSu-64LnNCWngwSwEHkwEtuOKO0mIMbMJaLT2dpioEg5MfSFRH3uJNUsqfrovVF31tGRNa7IA%3D%3D,3.2,3.0,3.5,3.1,2.9,"Venezia, Italia",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 100 - $ 500 milioni (USD),0,Non_disponibile,Non_disponibile,2023-02-12
HILL - ENERGIA PER L'AMBIENTE,Rappresentante Commerciale,Reggio di Calabria,2.0,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1506&ao=1110586&s=58&guid=0000018691ffa84aae095b4303208339&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8df5b6ae&cb=1677486696774&jobListingId=1008271035404&cpc=41F4513DE90102B9&jrtk=3-0-1gq8vva36gfon801-1gq8vva3qis0h800-d5ceec0eb0d0acb1--6NYlbfkN0DB3mQYBblaU54Kn6Z8l_cgczAW2ExmgFcbUc_SKjUHJ33TVzPEGLE9swllj_pXRnSvbzqaoHMDcxLUPm-p9180mzMYl6Zfj2YNI4c-p_dZzEL8tyC6OrmI_u1zzsOt8Yev2Si3ON6BdKPngOGoVtf4AppFoA3nONFROjw_c3bbqKSJPuij2o8H3YKEKCpLMT77c_nM7vaXmuU-AjhqfcQoFoAsxRB2ehg_p267ZeGU5-R8B_76WS29AUuZzOJ_liIFr9ggXu7dozc-uxFMmHq8jxLUTy_SRoZi3mohMQbkBxSWaNQ7pv4KbP2tRK7iFfgPKe9-DtwubcV0sVo5tsUihKi2uMKihG1J4apv47y_2l5G6TsCcrvf8qIAXjx9Gmd7GAb3pQSXMFd6LGq0DCy_vSRHRqt-7ACOBAzyke_2JBeyXAJhXbUAPFwtUeBeLGB98NdUCfvhrvsrTrY8sSe3VsztuKsP9M1bJpCViacvFeSpt_Z4Rgx-WH_MNkaS_vh_bmLQB6dQQZ46U-gxHy9fyubmBhvG2wSjlqjqgnNyr7rLIXxloU5R0FyDtNog8zxz8J0L3GKm23NXmExIHhLGtjxFgfIU2rIK6vb3nw33wkEYV-u9ZdKiuxZbfIyEjAk8opJPmnthhsNp3iXS-g8I,1.0,5.0,1.0,1.0,5.0,"Martellago, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile,2023-02-12
Posytron Engineering S.r.l.,Sviluppatore di Software,Reggio di Calabria,,5 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1507&ao=1110586&s=58&guid=0000018691ffa84aae095b4303208339&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_dd0ac1f3&cb=1677486696774&jobListingId=1008485018306&cpc=9FFE37255B2C047E&jrtk=3-0-1gq8vva36gfon801-1gq8vva3qis0h800-37107fb108806f2e--6NYlbfkN0A-OH58_yQKUtJMzR0dxF6Ad0yjGhXZdY3ECb6Rx8jw7dFewcae2nyyzSb8atFWHTfJsG-viNVFRAS1Rj-xDCTu7W1-8rG5KagxVO6BTN5oluA-ClyMifgA1iuA5Aw2LqvH9x05bmNKI7NItuD-noQ30WTVAuT7BlJeRM0A_eCL7WUXSVuPaQzTwO3aDMcdS6W1RYqtYPRJvLEL9uQSaEtLkxCrI_0-L_tyreFBDJYyxf0NHVWkBpqzm19vV7t-Aue5tIDGEL3ApoqfKlbz2VW271Fa6RDmw_2Vu0FY-ypPmFfbEpl3vOD3Ou11lOK2RpoQhSLHSBC-olb2IkrD-6eZKTFgV_VZIe4k3aUbfAlIfXh9bW2C48SIIYJWJbGGGdKVu8Frb4uWfSKqadQj8gEKXoZ4BqCzfqpOPtZGYD4QgZPVezvIymqKo2xdErj_RgECm6ZWKniJbMg7vO4hGWNV46oSwYIl9NfC6Are0Vm2JbQlHifNAlnNfCDA7aipbehFjlSH2BzfPW9GRH0MlUM_NAAgRHbHHilJkjFz9CP56eoVRkse5yJMR6VRjDm7gCM%3D,1.0,1.6,1.0,2.2,1.6,"Milano, Italia",Da 1 a 50 dipendenti,Azienda - Settore privato,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile,2023-02-12
MeglioQuesto,Consulente commerciale,Sicilia,3.2,11 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1508&ao=1110586&s=58&guid=0000018691ffa84aae095b4303208339&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d8d7d417&cb=1677486696774&jobListingId=1008473542586&cpc=88C71AD61D38E582&jrtk=3-0-1gq8vva36gfon801-1gq8vva3qis0h800-b598b6417070e150--6NYlbfkN0DsGlZntYnfNLCDkxWKyeSlAU7YMYuzOayEf1PfP8gjyNiMz38T3ifnndKqpaTZ6GY8lFQdqU1qPZ0_xzU3JuVJsSQkgcgijjHnr8_nJDtp3-mN-ZvmtCJ_6Z4BsnDgOSkQJpGj_0H8-pAN_QrzV3Ewd2QRwcjOhxQlrN_M3FejvzgL-k7nldbCqEHTb26Fe8gGNdG0GCF3-pgWl-heTuP3NQcKQl62dGHhQuwZiqGMs9OxZqPXZ8tGdVWrR5RhK_2vKd6R5hVsDp1tNKpuMBrS7FZx1Y1VcU3fYYOrz4uaDBHmWmx9_Car1TYgYL5IKM2mHROmKm5I5WNi9bMiRkT_6Dwc5pj3eVcezCrMC7ioF7LFMu5jRiJI9GJR0taau-JpEV9ZHtw49KB7cHYcZReY2YAHIIG7Bd9A85F3GnUgIuSSlhqbO124LHDbCYoA5df2njMiBoPPqDvQvFEgDCVs-kzkj6-dQMySuJe98vabzDpVXZI-YnCHLwR7iuIP-MdudHovkimIKfUmTP7SgdYrCRI-_wYxbZHi66GBf9lArr1xKyaxSwWLkO_YFc2faY5ynxRpMRS1puHT4S-8jzRzZDvd0iOp1d-tFONxLKyxJg%3D%3D,2.3,2.6,2.6,3.1,3.2,"Milano, Italia",Da 51 a 200 dipendenti,Lavoratore autonomo,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile,2023-02-12
MioDottore,Rappresentante Commerciale,Reggio di Calabria,4.3,4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1509&ao=1110586&s=58&guid=0000018691ffa84aae095b4303208339&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4b1b14fa&cb=1677486696775&jobListingId=1008487416177&cpc=853DEF62E69EE75B&jrtk=3-0-1gq8vva36gfon801-1gq8vva3qis0h800-5a52f61841b78cdb--6NYlbfkN0AF17EcCFvC3sSSauUVKuru0Tz0j2iBkWihqZ056fyRXqqCNSZhnZEzp4hc4sXcmq7Chi5u-Yexf-SZ3VzH6vdMaa9nPgO4m5EQAc4OQENF0bYszKZXrNSwpLj-1BBDySdJ9HTvP7N_hNo4nhe1f5g6vQ_O3CwDlD989nBNJw_-YFD1h3vo0mrroPeslDwg5wKbrNisjU88Y2LG-DUYGkKCuPMfAgHWCmusGwEzvWzML3fCnNdtZuhJK7jQ46FWPBqH848kdKLdvlHx4CAdrns-HgIoE2Bh7R-GYCV64Q62ZoqOqVuXSEh2c-MaMTAfeDSmr4QeQ7gqdSAotPZzXpa5ZritEB-ZInJ6jrIvDiMtewPaAYRkc3WIUA8Ww7D3C5L_JeBWmrxny8xHxY4U27x1tkMjgZ2_wQqLbTM_sVtx9gYyf3m1mJUpb53cMXzCcMXHQ5SxWr-QxylSTP8c9T_SP0D-H-wMHQg2bYQd9xMKwDxICkrb3m_beRRg_GmPvnparVQp4Qmjt5ng5d0xgfB49QOFcf_CYzl8kMIw_oO6zIgGTPE6GXPh2sbY71AmLwydQBiUs39HzfcAfqxanJ5Dp0q6sdrytK4T8Ro9j3GXlgbGd4en2Eum9KuzqGJtbFYVxR2sIsksow9QwFYKlWO-sb7DQda6mlM%3D,4.3,4.1,4.4,4.1,4.0,"Roma, Italia",Sconosciuto,Controllata o segmento aziendale,Sconosciuto/Non applicabile,0,Servizi per assistenza sanitaria e ospedali,Sanità,2023-02-12
Playerone srl,Rappresentante Commerciale I,Milazzo,,12 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1510&ao=1136043&s=58&guid=0000018691ffa84aae095b4303208339&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b7926918&cb=1677486696775&jobListingId=1008470638404&jrtk=3-0-1gq8vva36gfon801-1gq8vva3qis0h800-5ea5e61d8da35f85-,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-12
Penta Servizi SRL,Consulente commerciale,Messina,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1511&ao=1110586&s=58&guid=0000018691ffa84aae095b4303208339&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_814600cf&cb=1677486696775&jobListingId=1008431015343&cpc=65CC663E25211861&jrtk=3-0-1gq8vva36gfon801-1gq8vva3qis0h800-e3a2983f8e4fd95e--6NYlbfkN0BIpZAtIJydqkKuVjrQ1iuC_tatVIH8Vgx_8poatsoYFuFABe_C8sd3vsqoghSKDEaEeyE4UKCdv85sbRzk2ulwopPAtQzJATuueZrTgqDOVWV9jO4nL-uLB2hQT8FdF3ethM6RE3DkJQeQfpCg9Ag3xyw8n5AwLYUDpHq2M835o9g0E5SGdAVpmRrWqaHfM2QNErr_4Ho6lSyW1up8N8fMho6TA0Pgq1e4IjZLFHoqLlScnGymsuQJMv_TBwq6Ilsl-RCsC63u2Q8rG5tE-0HjfPFwqysP7b34DKnhYlb0lsdojlAZ_70GE9ftRP6sMrqDT6v1c1OwGP1ejTBIhSTrvO1L5dwHfQhjxsUJOO-6XLRGxhR_YJ2ke0_uEN5geEORe1bksE2twXfIDOKCKeXVaIW93o4GcSZdQ8v_CRtsSsldYerZ3mL_lGyfXzV51VkkXDFSqjGb6cpxqsHeNBFlNcihyQskhjgclokIZUdv4tKaB7MvVePVowFj5nTjsMzwxoc666ExmsqfZrK1U6KBaX9c6R9NRVY21JevA4_9UvOnljc0I3nZECx8LF-3lptEW6_oWZ7X3bVBnzFckdofAFQcd_oB732vyqB1n4WOtCj8G9fgHmcE,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-12
