company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,scraping_date
Miroglio Group,Store Manager,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=729&ao=1110586&s=58&guid=0000018660736dbba66e2edf51b1c111&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6be7dc99&cb=1676655423227&jobListingId=1008374760198&cpc=9C938E8DE9AD6C02&jrtk=3-0-1gpg76rg0khqa801-1gpg76rgi20hg000-b1a1980756e02ce1--6NYlbfkN0CW6I7Q6LUSNdJo44E6Ccs3VVDcXloOQOa0HnnGuZB_z93qI3uVW5m7Oy_xAXJS5zf6_0Z65WS-KMAYJT1d817eFXCLbA7EK1n3egwzCcY2umTd-hjlSn25-PH4f9nFHMNjRjNJgASpuEebTGobBQItFCzi-Yk-1FLKh9O4p-Y3UJ2wTwptJ7As22uYdwnTUj9UK0Am4v9eYhPKLoGAZNPm0dqXnKsACcnIUGfpCDRC8Y8qflJ6hYYGYetDsO7KVsloHyUkPEDIuANFSOwXuu6epxritRR_aHOjrWV3C4lQNA0OT7yfFRWC4khXPMOCasxwDqfjmVZZ8uUB5F7YNDqnCLHdkECuNMoSiPgrOLU63SvHar6muyXmomftCjhsym413CAQ6pqjX65ciMZZTZolMnfMEnn04jL2SmY9GyD5f_wIteN_wDRqYumyCT7SCr1feInjOC4AnbF1U_tRe1Q4f6bVgu9EGw7LzgAxivpmfQOvKtMrE03eiGCvzDpZomtkapS3F2EcS0I8SAGNRh1CsXMTI3atgFYpEW_HbyUKAPNaBIQIpmFgowDNnMpBK0s9367mgupS2nB5qgEazRSl,2.2,2.7,3.0,2.4,2.3,"Alba, Italia",Da 1.001 a 5.000 dipendenti,Azienda - Settore privato,Sconosciuto/Non applicabile,1947,"Negozi di abbigliamento, calzature e grandi magazzini",Vendita al dettaglio e all''ingrosso,2023-02-02
Camst,Magazziniere,Bologna,,24h,https://www.glassdoor.it/partner/jobListing.htm?pos=1602&ao=1110586&s=58&guid=000001865bdc31d7acab9cf1701e3406&src=GD_JOB_AD&t=SR&vt=w&cs=1_1f334908&cb=1676578403463&jobListingId=1008476764694&cpc=52D3555E595CCC3C&jrtk=3-0-1gpdtocg1haoq801-1gpdtocgois1f800-725c149229544065--6NYlbfkN0Cvdj8aLVfaxk-ilpVymAn4H_h_2f_MdVBhBUO9juHlo5elfFMMCpInWYQg8K4oCV-66n64LWVYiNlX8AJn1711SC54yWfFH9DuooM3UXIeoWCQWgPWfv4Hlcb6m5iyDA241akCAe3YK0THX0NWo0ySc6EQmfMffdevLTL_TDMpt5GAKYZ2agNFLNE1-4dfIJpLz7KdlNQtgIyH8o-Ss769WcPLPLcEWA2xmD9IkCK5nB_qrDkBrYQgb_oZ7ja9od8hsO6NNR7OkOTLD8tH8ahFEIYuh8ynxz7TKkdWE2Z9LbkMlP6OOwHxk62ctl9cEtcAS32UKJ33EtCViBsbmGUfi4JP3dvnQc-Oic57hUwUjD7wy_DR6Jfjyj3gRJgmwJt_17o_bBhIkZ9Ue5PqA0xgjtmDnyQxIbgkP2TsNpeenj03ybxvlnAjouKuYPiT0lXgCyoAe7ajCZqq2mCFTMM0oSZQz952y5zbxtHZ1WMQXXDV_62Y3aidpzXM7L9oihlAcGBrfZXZ-S5H-xGb4xNgCSgnOY3aJG456zJ2UthRZXF6me4JJ_7cnpDkdGpplf02WHqyhjVVeaPSUjzxs7AJHuAA-D6Yq8YQqSeBx04PVpX4zbWvatZSOPL4zTLAYues0BeSI6xHTn0VUjztveNoul4giCBPaOd0sDiG9J2omew75CHselo-,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-02
Mango,Personale di Supporto Alle Vendite,Bologna,,2d,https://www.glassdoor.it/partner/jobListing.htm?pos=420&ao=1136043&s=58&guid=000001865bd99ba3bbc984287ee468a3&src=GD_JOB_AD&t=SR&vt=w&cs=1_de85877f&cb=1676578233686&jobListingId=1008469204567&jrtk=3-0-1gpdtj6uapkgl801-1gpdtj6v3g4eh800-67c37b38c7269db1-,3.1,3.0,3.3,3.0,3.1,"Barcellona, Spagna",Oltre 10.000 dipendenti,Azienda - Settore privato,Sconosciuto/Non applicabile,1984,Produzione di beni di consumo,Manifattura,2023-02-02
lLESEPIDADO SRL,Ingegnere Elettronico,Castel San Pietro Terme,,7d,https://www.glassdoor.it/partner/jobListing.htm?pos=1313&ao=1110586&s=58&guid=000001865bdba07a8e25627077912e01&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_408456fd&cb=1676578365972&jobListingId=1008461388538&cpc=6BDFADFCA66887C5&jrtk=3-0-1gpdtn852p2m7801-1gpdtn85sh4ci800-d20e65f2c2556b12--6NYlbfkN0BKzhDYC-eHdCHrwnb2YXtMS7lbcBKrizx9XSXlnsnxZm-vWK_GXy3qyB6-Oj47ti5ziZPPEv4C4eLUJBriAHovWkMzF_NjLwi371Uv7bOC6I5NumtcpAu7Sva4WXOTUwBJRSROUHm7kx9N6uSUZq5KNgCe0MCXqoY9I8sdeu9pNIwCYGIIR5_eRbnCW9HB0aTP6pBvm70fOfjm72kt18zI707A3JcDDacrUruI2Sr0FsogS31ZYHgmGYDOx_kztbBu3gxRnz-xmwFISG3cSTITCkW5ktaZ2fuovNzWSCZ9vwUE84akmxfperG-CMKh8jc9FQ5DzdbukF9i6nF9LG8Ti8ZV8U0jGbEpAD7LfDqPEoIdStoD-mHsQW7UCoO2XKLM7VFKPe31WA0trBr4j-1UnOPzARZSgQos49KM2wYwCFC1wXvkAIy86QVO9fFyt4aZvgdoZc6jTRajl_jRi8cytjdqIR4-D9fnK88NsCzmzJl-62RkqxvoV41rl__HrP9-RW8NQC1xK5_XqlzKt0Kiw-ORaFDANGIkryMjr0HEY0GwGPF0kf3OhYRRp_YXfrWSv82pI6FWGA%3D%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-02
CVing per Conbipel,Direttore Store Manager,Bologna,,9d,https://www.glassdoor.it/partner/jobListing.htm?pos=630&ao=1110586&s=58&guid=000001865bd9fadca05b2d2e16ca9a8c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_cc025f48&cb=1676578258071&jobListingId=1008456619015&cpc=26740BCDE5E48596&jrtk=3-0-1gpdtjuo3p6d9801-1gpdtjuong2rb800-ef4c9773082fd30b--6NYlbfkN0B88WKwf02aiVxfJ9sEYPg-NPZkeK4r2PAVmXcTZTslyxGuu8gxmjP6CzFk-JwzBfoZ49P-hN2kTrUHQ7ef6DR5kjx_nIUKZGdFM5i8WtJo6eZUCSwroWUxYi5QuuoQ9fOl-clVRNKIMZwGYXD6mP-Oii7rKBdpE2xNwXoFpuQiJwtiCC7A4ijIOhkJAm8NuDXGcqGbVcts505__wV5F7SXbGbu4iVFsvnhn9hjnJcl0fQ9owIPVgBoQS70w5CBBGKkmwvUvAa1ejmnLq5OLGDjRJ-eHB1pJGlOVQhMph0eu7xpeFHoHyFxvwbLIUeyNr26SZDYDWzVwq8oCZht7HdstqpQzC1VM4qQYhZ7ueDNlD4iA-Q-UljF4WNOrET7hnXU2TZ3wy2VxzO7lnZ4yi8f7ooT_h-qphn-PjQ_DL5mIHdIMRo_5KPTwSZhyo8uZ9YXseevomtTyTJRtZfyYXMrrN03lm6vMIPaASGP1CBQU0S8gaXvqfvL918UaSi4kxCkHGmIib2fGw2h3aETF3iAY0pbaqS24_yYj-M9Fo8-RUixmXsfAYDGN_yjJuJc-WduNElNEe5jRyWFGdMHGpy1x8yggcMin_o%3D,2.1,2.1,2.6,2.9,3.5,"Cocconato, Italia",Da 1.001 a 5.000 dipendenti,Controllata o segmento aziendale,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile,2023-02-02
Assist Digital Spa,Operatore di Call Centre,Vitulazio,3.7,12 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1023&ao=1110586&s=58&guid=000001864f83c4ada85509737c253d79&src=GD_JOB_AD&t=SR&vt=w&cs=1_ba80f0fe&cb=1676371281405&jobListingId=1008444231309&cpc=D5E11A5BC695825F&jrtk=3-0-1gp7o7h6kjm6i801-1gp7o7h76grh4800-4ee16a8d82b706c7--6NYlbfkN0BImewq0amX-W1xY7fKQaAGnpysQX9CarUjLjoQc2hm5I6kbS3DOLI6VrWqtpE3Ixmqb9zfhnQwiQs11-GiqGFkKY3aroPRnjmD0U_n6UuGF5lAa9UxQPfCFRcFJjHafNrperSGa2gvHyLP__Y7gJ1rMfFcBbao4B_OzFj5Kri4LNKiX3tSwtJC9V7Xaa-az5to6Z8qx2_gnRwM5cJWpkCUIg_nXoVFnxP5-0blzp9b4ZccpxxvFf_c9WZSrO7FIvcZZ5iXJBX_iqxXSE9Y2ExumblqX_RYQ27irh6Bd0j4mdWEGGdq3QEVgl-Sml0jCnas5GZRwI_wBfHBWw5FqQnzQOsWMRNiqGdyxVojhzyv2VA4qbg90P7FBvPfu-McAiO70FQTiAF6qjnysZ6nu1fB135iGM5eADiYZQhF5gS0sektUqwxT9CrlxWdFaT0uqmvk6QLjtwpsVnOjpgE0zmNldta7qgtQv0TgRiJsyXdBdcy2dhBJNaHQfWeVOC3afA3D1p--NVk_IR85tA3FVO9A2Y1VtY93_flIfnK6_b14SUWlESHTGXpp6Tr3bghRmbXgkai27PW8XbML1PiKSi-M7f3bPNUfhKL5idwR-pn_jkfzDLXUQgNxg5bjHFDb6v3WeACc797KTNgYMnCmORaWoR3zOGYhIvCmtvUzffxGu0y6JT7tBIOUJtA70AMIBUIgFcn9sN2sQ-_CLaPapsFNBtNZJkQvNg%3D,3.3,3.1,4.0,3.4,3.8,"Milano, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile,2023-02-02
Sereni Elettronica s.r.l.,Software Engineer,Italia,,7 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2324&ao=1110586&s=58&guid=0000018660766650b227a4b6f2d45a05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ae6db330&cb=1676655617949&jobListingId=1008463675927&cpc=9FE5D8D7282D4400&jrtk=3-0-1gpg7cpjmkbko801-1gpg7cpk62987000-deda299e8939e316--6NYlbfkN0AOGQ2BQMssm1RZRp3Le1AHdb19zrr0fB6B9gsPloUil5yKBts5cklLnkX8hKYkGOWnfVQ5I763yYFJzaHzLJnG4KOP_FLmxglNGnIQpWqd0WsGjZ6gPvSdeG2CzDv2b0R4-92iV3MW24X8_7LjwsOIFUuAGM0_bvxGRGhxpNV6vgV3OXilUl1UB_F1b1jRsYa1kR7Ts9Q6y0gEAZzf-CSdMY5RXikGRhMwCRyDkc3TFIjWwbuxnELTQ4iC_1BTve-N4AVRtmTjwaJubK-pELkmr9-j0e5kxB7ObGUGJh-tZoCAO3YMuEx35BI-BoG73kitEhYVdfeJCSpIq7oKNjDj-FOHxervOy9V0nlj6YlnEeVZLb9oACEwK7U7rjO0FVnj-5gwaj3NOF1Wyq7AIB0s8K7UcIbflmN6_zqqyKzoY3WWv7bMsjYvnWUaxcaMzDPOkGBcU33UioiZbwH2g-FcKlVwd_b6lU5CINupEGlGP5e9UmMyxiFfDP_4d47IVmdLtLqIgweC4RwZVspBWjVylXT1k17rSvwQu7utptdWqMh8ecUiPOX6kkWtbJnB3ow%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-02
dm-drogerie markt GmbH + Co. KG,Addetto Alle Vendite,Bologna,,30d+,https://www.glassdoor.it/partner/jobListing.htm?pos=1210&ao=1110586&s=58&guid=000001865bdb7f11b7b5ef90abaf54a5&src=GD_JOB_AD&t=SR&vt=w&cs=1_35345ccb&cb=1676578357464&jobListingId=1008198972707&cpc=C433947A107EB3A8&jrtk=3-0-1gpdtmvq228d7001-1gpdtmvqo2987000-4b8c4636cec5d2a0--6NYlbfkN0DSLx9wR7O9dXrDhbInNcYtngcj28fn9NVf2nOzOYxAMGuSivgdKg0tHRE17Fa6N3QlfIgwwMYYA0MUUs6oGSVkAoWD0bsUjN1RwMIGsi_p3apktIrcBUM2tBeQCjVg8IYuDlDSaWlrOCG_dCcKDX_EW2mr6tQ_zy8o4G3cnfH0K9ialIf24eSj6oush9pbv1WOdbLKQ0aw1Gy4oHH9HJQE6_8knOWynnMZ8iGMqXT77zzWFFwyDaW_DtBZZhR4o4eYPi0jvavwwbOLmkolW7LEIolGlgP6ojBbohploMs4_cv3JLRoC8PUN1CKGBRMlGqX8uFSXLisq1LVzdp7Tds__80KU42UG-fgy2uEY6a6pZzJa3LfUTR_ozpiLYOQWFphbkPxz36UUXrtMYXzPs6rGZ1Dgg5v-zMD9v1WZVkzbg8cMS13eggt_XLkcEvutExMSy198MP0j7fQbiTvM0x_uVAN0BAyR6urN1Nrw4i8at_Tq4c3zmingbE-8Tp7uPZIp88FE6T0qjt1WDHkzvK1jiCAtoyzXv9Zc9h181cefLRJBKCGaAol,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-02
CERTFORM,Professore di Informatica,Napoli,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=1714&ao=1110586&s=58&guid=000001864f84f1848d35b6d839daf872&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_35dc6688&cb=1676371358385&jobListingId=1008468375980&cpc=8AC01DCC8FF2DC38&jrtk=3-0-1gp7o9sd5ncdv801-1gp7o9sdmjca6800-ee8e4a8f1a466cdb--6NYlbfkN0D-3FQsaFb6K5kN-Yj-wYeYCLk6hY8QiV8Su9-Y7ucGGWhcMz4rqqesJf5meNCNKTXdaP-GOsDjq-mnRhnVsDFtDD6014uf75pBYwWp1pV-hV_r5N4IK-54haodK-tMNyUxSJR81occuCIS1dmcMmmAQ89E0D5PbzXfLB8HqXbug81xaJ6YEq43Q5_ux9LnSFZoolVQkqgZcAtL2aot-LUgnBwAJy1vwxs5pqninTvI4lT8aNMUYFs8XDFqCVVteeaxH6H7nG8Tee4l6mh3Xcq8kUh3UfxBZXI-SLWvuzWTLmePIv3yh6mRz7YU0kI4tzYyz78tvjroj_BwvbsIS2T0DHNiWNBqvGFerL8aMbmJiAmnUzd0K3ve8eaGYUFFYH6yUhXOG9te3pxsxrN4THfbI0Fl-6njd6bM6WwaokfyzYRLbclcowcwsd5EW7BeI9qH-A8oxcNYYPMlSJLnIJ3kqdRHchcQ9FwVGozFQ2xjymiv5hrcYkS2VEKSd811TIIaLCWXWTx8Dk_1Nbs32qRq_vgPEJ94AjxiEcdQ0BctSdkKyRvxrtUtvTrpOeyCoNR6SPn8HNNvww%3D%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-02
adecco,Autista,Italia,,22 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1722&ao=1110586&s=58&guid=000001866075492398d55075bdfad797&src=GD_JOB_AD&t=SR&vt=w&cs=1_1d81a160&cb=1676655545043&jobListingId=1008428773735&cpc=BBD63848FB84346C&jrtk=3-0-1gpg7aiabk6dm801-1gpg7aib023j1000-2321291561b9a83a--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFK7AudwSoZPw5olmPJnIU8hitaMKTYcXE5UWEZjPtSWO7HgaIuRlh_M3O_QkzdzBEp9R5xMkkH6pMelpKpGAver9QPGmcSJHsLqbsq48QOJOn8eMVkd9yDKOp-99-aXr2DIJCJEa5oPH4yFLyRMuTJ_e-z-cSJ5zEL6DGC4x6vZt2gGrFqIStnX-AnS1izP0VrwF-CpHm4biGmuvrD03OfGIEpVsiF80Ifvs0PTUpo6AzLCCMZZOzoEB1fRsOKbG3t1AwK-WisCvzFUlkEm9KmyZR6Avi0ZT-h03ZEWO_Ix0tng2Vv2--518586TeYatVcs4M1VyrV_yl1Prfry6gGm98KIyJyoVQoolG1Ei4qyhLqmUBIdwlkzAw_7rX65DIcyMkNACEnwgO0-BSFBDgk6eYaSEESXEIQ5kCE5W-Ijbdtfpu02H0Ci6-7nNwojIEki8f4pI7aAZHB_eTyAJGbE1zyUqdw5Rx6yz-v26irpocF6yTlvfvsUwrmX0P8MbRhIR9vE3eP6ZdGwfkmKw-QBTlkx0lp2vr2WWjvZCwD5Jm3DDCreASsa9sMKc9UXdMTqkMBpJAcFDn3MfbQjflP-GLL6jDFnW_Mq0FJEvSIOLqDdTLGt5eBxKW8XDXtLg-vPcUKKk9ZP8o_iJYV1B52kRQGgYffNNeKAf5Qqy5mGWuikOEqs8yeBv5mmlbdrV0cyU62lqY7gSmx27iSwaUdZpZC-mdBc47o5sXrTqH7sy23I0hBsE3mkMTbfMtW_UeYc0kTn_9xJpC_NynqS4cU1g%3D%3D,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale,2023-02-02
