company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,scraping_date
Bright Horizons Family Solutions,nan,Madrid,3.7,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1601&ao=1110586&s=58&guid=00000186562fe281ab8c3def6fea7239&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5b185e60&cb=1676483224600&jobListingId=1007898465165&cpc=466AF8A5143942DE&jrtk=3-0-1gpb2volpi9gs801-1gpb2vomlk6ei800-eb5ba03ced2f53f4--6NYlbfkN0D2cK_vPyiiV-Pc4TnFz8iTkk2f5yRWAfvU4_R5SvLBEtfQ1cuKMjrKENRYBLkGmN6Kii6uvwtQN_aPREfGEhxc8rMn4sZHhliHKFTsRMDlspGeMYxKwdRWtXFAy6GAVvDhtjQMPdWKIToME0Vg5vB9GwQD7uHbq4kT2GGh0kIXJoLDyTBTfDRobn30tWa8gk_1aAo5xMSKI1xEpPGbiWKpX77gnpN8Grbb7EHPoNfUDuMHgOela8fayr1LXLBn4YY6KP0oyHmnjDWjSBARR0G2JBkH2mR3RTQyagonvtNk-neYeLACTwKQn2VmM_VT-En3jkDrNpy_XRRPJVtX1TOIhlUSJQSaLhKiNhwCGnC2OjO-6cthXYHBqUrOsG8JQtXJoquJG2vdBP4i8klLXmVNaqKS56SjB3jiENaHfGObKNiqhm00c-Svn_Gj3MjhIchnc4k1IYmrmaBjdjAhc9cI4PQs9rIDQz-_C6Zt53kweibewPnRat4HX_jjXiggzXs-Q-_wLzNo1YKYFU_W08OCRMPs6Gmq1CpIRc8OSKdgDbaODMlPemXd4pmOFjR1G3W_9I2J2uaYiSK_hEJRf7pbONbD1cepe2apn64xa9qq8Q%3D%3D,3.5,3.5,3.8,3.4,3.4,"Newton, Stati Uniti d'America",Oltre 10.000 dipendenti,Azienda quotata in borsa,$ 1 - $ 5 miliardi (USD),1986,Scuole dell''infanzia,Istruzione e formazione,2023-01-31
Cocoon Childcare,nan,Madrid,4.2,2 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1602&ao=1110586&s=58&guid=00000186562fe281ab8c3def6fea7239&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_739508f7&cb=1676483224600&jobListingId=1008468649419&cpc=292986E5893862A2&jrtk=3-0-1gpb2volpi9gs801-1gpb2vomlk6ei800-9141b01ad6c260c9--6NYlbfkN0CHwkHUaJwTUTavdYIO9Qc9QtoysFmP0ZAjxBNwoN77snhKjI5ch3vyLQ9kjYbg4MrbjIZd8_x18uUSW-Ss7DFBqtPHejhJx9TOZ-AGl3e2HqMS6bkzLaaP2n1kd7NNYe3SluBrhUCBjNrelAwBRXj3rMEQZUVuXSUbThyQEeRIBG7zlJilZYzW-eQ8sdGai3Qf8MsCFHuqAtni4azlGavQqvEwaeYcj7yXlAUWVwyEhonaU3acLUAb3ah08HyItGyGuBPVw1GeZjwO-ly13XhzoPEY7zEeQ4_kOz42zNrEoycMn4_Y3ETEGt1VEtjb8BeMt2fZjlw_JMkTCwj2FybX9jJk51bbNlJuY9JDDq9fGPeEHnhn3KbWLKFJ-ySCIaUwmshimjOfxPOL-3G5Euvyrm9XbJBCKxaHEXrlNndjp3xwuTGMaImzGcCBPn4WZr0vjEmoblhV6wdwc8KJo7NqnlKMAvPzPSkAgFZ2mSMzDAHeoP8hrHEiTZL2Q3CJGyexs9_VjqIE64-XWR6ekHRnyw762VAQKtvxZxu0YRKVWRKUVB28CMhve9q4tZD-57mvfLrOG915ChoIkZcPOnN49lhJsSIy-o8%3D,4.1,3.9,4.0,4.4,3.5,"Dublino, Eire",Da 51 a 200 dipendenti,Azienda - Settore privato,Sconosciuto/Non applicabile,2003,Scuole dell''infanzia,Istruzione e formazione,2023-01-31
Evernest GmbH,Consultor/a,Madrid,4.9,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1603&ao=1110586&s=58&guid=00000186562fe281ab8c3def6fea7239&src=GD_JOB_AD&t=SR&vt=w&cs=1_1101cd66&cb=1676483224600&jobListingId=1007997758087&cpc=54513AD2AFA87049&jrtk=3-0-1gpb2volpi9gs801-1gpb2vomlk6ei800-da90d23cba06d3e6--6NYlbfkN0CbF-L48tIuLwbTLWlfORyUALKslc4Ytk0Qv27ARKjN1vE01Q9Dg-1UPORQ4L5vOW9XMZLFnrBwJfycnP97qe679KKCyFVaHmVQ3lrR3EK23M7XHE2UNhiRWe4MkaHcYSr1II2Kubd6-GqdtwSPUhHwhCGUr2PAPcOOKH2_-O17fLuBolUkWQZngB4vDw187apwLKmkCSHnMNwFhQrC8NGYT8ff4_vQ7mV9sDIypj2fz8dZhaxL1FKYFh91eWLTZjO5RHmpuX2bx0XloE7ebvHFzxly3wBa6bMsvybboSSLPu2lm7JxhJ8XAT-hjKFBh5fUToi1U1NoA2TMzZAMPqxtC9KyrJZv9HUELEReV6XlNjzqhCIGvGWVqIjkWed0Ze3mL5z1MM1z0ToR97b-Pvx30KsqBpw_tERvGLpfk-hyshG76BgVnHIvvSEOn-LKb3k-AFtwbC3tqwXDtsi3MVaazqj8eVW53AYV371z8sv_W536ajohJtg3vg6t58RdVmLrOHI_5eY3006MGUStVxq-m5eIjAYXckDvzrHziUIC2banR-qJkSDtYhZyfLaLSrz6v3GGJML2eDg_AjZsSmxqE7MGOaNbAprMJMtKLCUOZ0LNvfx0k_nwdUTWUHI94lQ%3D,5.0,4.8,4.8,4.8,4.8,"Amburgo, Germania",Da 51 a 200 dipendenti,Azienda - Settore privato,Sconosciuto/Non applicabile,2019,Immobiliare,Immobiliare,2023-01-31
nVent,Java Developer,Madrid,3.8,16 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1604&ao=1110586&s=58&guid=00000186562fe281ab8c3def6fea7239&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_37ec2a6e&cb=1676483224600&jobListingId=1008437524709&cpc=859E8375EF74B3CF&jrtk=3-0-1gpb2volpi9gs801-1gpb2vomlk6ei800-248e27b001a26c89--6NYlbfkN0B37pvkDXz6BnETzzh3IrtsxPK0glNB9IfcgNio2MHaTySl9rQSu9S-iuMHjd1WdghSurVdl9_zhBaME2QQseoX0JFzNF2WizGtNUNlPGPirS568a3fJtpEvVl-rQeYnv7b6NR01yL91LhBZcv7-rprBpXzOof58QRqqAMNOSzsWosZ-ZMQAc0aGFrmUm2OsNmMwbN7y9Ws19-in6jgpoiyaEykjvdvr_ZmRI6INAcluMDzYBz6-bsZJw0hLf_oEc0ZafK3opRJaw7yGSGoqX7jneuau7JS2v3uqM6w4JAR98dSWw0njSR-ckP9jLcYn7BEvLzA8ACYoCxhe7lFG43CyiGVt8dfPsJcrmkudDK88V-LfmI8rI5EJmFnnSY_2PhoUOMs54I961I4n2nSofH9NfPvq4PuFw6gflAPcR4-wQdz6od3_sPCV4Eg7Cz37BxoTD-8HTXF8BPyZBshiu5g7Exf37EVwa8evUXjqgYXGGshnAJlo_3mCUmQibVk77m8CdzyShsuwEoI8A3mpsO12BQ8tmIvjrLQEfiCi64AqeojB71rPId5FCYtCgqGOI0_fzqUp7dSgLsMcxfMpCSv,3.6,3.5,3.8,3.5,3.8,"Saint Louis Park, Stati Uniti d'America",Oltre 10.000 dipendenti,Azienda quotata in borsa,$ 1 - $ 5 miliardi (USD),2018,Produzione elettronica,Manifattura,2023-01-31
Syneos Health Clinical,Clinical Research Associate Manager,Madrid,3.8,19 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1605&ao=1110586&s=58&guid=00000186562fe281ab8c3def6fea7239&src=GD_JOB_AD&t=SR&vt=w&cs=1_d95d98a5&cb=1676483224600&jobListingId=1008431174687&cpc=9507B69CE123BFBE&jrtk=3-0-1gpb2volpi9gs801-1gpb2vomlk6ei800-a0309c8bc4010afb--6NYlbfkN0CgLV01otWyadW_0bbvTXVl61lGcm0U3Pj_PD6e5_oZlLMWa3MKvji7Hd64Fd7o9DVRQEDaj_AM6-gGUs2HqwlWQ3cC7PjDnQ8KnqDBisbYzivKd7etYjhsVOppx-LLAUHA6C9Ygl8FKD7okJXFTpiqWZ_T4YWp8UjzLY2tIQuQUWqjUKHa2RH1eP_yMA2qFSZbQBa5ekmT8mr-qH5hYSfR4enWex8dyIzTWB3uoRHM7QfvdKZ23089_5rwUg-dTRo7iS0wEZqyxa-ttDtZ5bUhIr6vzwB89fhbCPnVtTDF71NM0uGcGwFp6fhkz0u2ZFKuO0bUyBlJGg7HlPByZ35MEVjFhJJNJj7FCPYdTN1kEKcs2z4wHmkT892uwoCnn_LWEVeoKbVyYp-DtCYf3fhsN0x7PQvjSmOAOGmT5zaeEzImWcXBy8xNCUCHXupGDuHlzHrZFn8SkMb9b6Gb9QxfkkpocURHsiFm-hYkCX2WzoK9Qdk7HJNWnBFd7gs2N2gnzss2wZRJ7Fa5RewRply-Z70WJgOVq8mI0FYZhr5TcNa4UCihOSHL4XUA_zNCM9Cd6Vc482aU4yP6uA2sod4fwzQ57W4erW1nOZ2UPEmynLgOhDftHG7y6YlUpIQuzojaPAL1vEFvc2333GhrVdSa7MTUdE2j_lM8rnxRlZzzzMTnRUZoxQS1IYS_vp4Wvk4AU7yNYsk3X96FxkKdcaPUX2y48ovnOzuP8no8EMTGRg%3D%3D,3.6,3.5,3.7,3.5,3.8,"Raleigh, Stati Uniti d'America",Oltre 10.000 dipendenti,Azienda quotata in borsa,Sconosciuto/Non applicabile,0,Biotecnologia e farmaceutica,Farmaceutico e biotecnologico,2023-01-31
Engel & Völkers España,Consultor/a,Spagna,3.6,9 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1606&ao=1110586&s=58&guid=00000186562fe281ab8c3def6fea7239&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_961850c1&cb=1676483224600&jobListingId=1008454617792&cpc=91A66587F56D6347&jrtk=3-0-1gpb2volpi9gs801-1gpb2vomlk6ei800-dca8892b76036b51--6NYlbfkN0DjXaUN1-6gB44BdyanPwyWv_leT95rSFs8AQ9F2uvrFr3bJPJ_-ohTkIwWjLXTeZAremPd2WUS6XWebd4RjyHOM6pY5_R6Pp6eBSENahffbYrAxJX9yNvQMhJdL0OxQTnd3PF90WyKOEz-h0zQ4-Fnt_qOvaZELqsvogd_65adqrvFiKcfdDv0jZngtFSWPcExjAbTM8RDk9QrURdf27MtAxutFY2w7TCv7rL1xsTTvVpmpHf7XavCtnTfpksJwsyAbuSurgOPhDErH6rLUGlu2zoMI3lwBpUTmJpgskiErjFpggkx-76KBJiUXgWACPZ2e7mISw9ievh1LMYl3A3XTCA3mVMe59xVw2KdBLNFCUbd1USYCqK4E2qVjW4Z4MJL_QXjzbegvs9a1-LHL2NqyK0z4owNNnwL404ZGJGdolU_Px2dfRfn00bOzsD0RxPlaYTy0AX_JPJw95eN8XB_4pgGpQc9WJAxiYg4rcEgY8NKTiURRY0LuORuHgGMNivwpM9QLtFzj9MHWpD662Ypm5TuzZnQjpxtO4NYMgRp3ydFpqVUVqYKgqAL9H-Uuv9TcaLAOS7PLh0dQhUXP-twsSQdRdcX8Q7JEQulW2w6FSq4QZXYXusxEaNWZ8n0sPsytR9psHJnT1-DIraKu-uFGcA1_t-9LbmvVsJ4BQZzqJQ1B1jyRnR-0y1Fr75lR_6ae6PQ2gkMpg%3D%3D,3.3,3.0,3.6,3.5,3.6,"Amburgo, Germania",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 500 milioni - $ 1 miliardo (USD),1977,Immobiliare,Immobiliare,2023-01-31
Giraffe Childcare,Preschool Teacher,Spagna,3.3,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1607&ao=1110586&s=58&guid=00000186562fe281ab8c3def6fea7239&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_415553de&cb=1676483224600&jobListingId=1008404844382&cpc=CAF32EB92433BC76&jrtk=3-0-1gpb2volpi9gs801-1gpb2vomlk6ei800-a12bda8352bb1372--6NYlbfkN0D58pJaGIURROMyFy8hEVs_0n9SxYKcFZEaXnUFRi7obcAbTveHU6TdU_ajGNHiT6SM1GD7dks626m0RRyonabQbJ8NauMsv3_5RiLJcop-3IMi3QtZvbVDitIpK6XoeHN0DDSKrmBCnzxGi9__YbaL-SBaNwchSDelK4rjN3L0jzHuH9_ZqWuFFQrPPxOB_Y-m7QmOdUbT0jHttodRrJSX0wvC93oYWhuNyKtv5WhxX4SHO6YouvgByrkH9EuIy1uCRXQajg1e_q7vm25QjnbDMXi8hMkAp69dGI_xrJYrzN1uhCsqVSA_oDfkgoz4uuqxwhJIGA_db_DDGPUnxNbFpQAbu7LmKpTRviuQLkfKVEh7pNofEEcTht5jUJU-2uqZbxM5NN9hBcqOW5RhTVv3EaQDF8WpCfmzFTPFruwIcgj8igO09EZqwRSiNLGU_kqMDhgKpa8E248Y1NHScean0_d0qCf9L8WzgGt0HIBvuX3ybSgrbe3VcPFFypkSatzjYjdhOH5ezeccysC2XiJ_wBPJBJFgkQF7A-yBph69_ySsrckZQbFzQHdiXoGnFWKMAiw4VHXLHRf_BBmO08ZFXsjw3VVwDrRyQTcrnR0ZNg%3D%3D,3.8,2.8,3.5,2.8,3.0,"Dublino, Eire",Da 201 a 500 dipendenti,Azienda - Settore privato,$ 25 - $ 100 milioni (USD),2001,Non_disponibile,Non_disponibile,2023-01-31
Selectra,Commercial (H/F),Madrid,3.4,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1608&ao=1110586&s=58&guid=00000186562fe281ab8c3def6fea7239&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a5e35f5d&cb=1676483224601&jobListingId=1008320627589&cpc=BE35796875A68D35&jrtk=3-0-1gpb2volpi9gs801-1gpb2vomlk6ei800-f11b28f62f9a07c8--6NYlbfkN0AhaTgPx7htNmphGBJG9bc233xykvSYmI2nlGJyjfHp6djsLK7u9e5DjKl8UA1c0hoIoe-rSzStzBRiCZEJbsY4pviwtb6J-ZpOiBgSJdiYgHJUvcf4ikY2ckXDkSaLe2ORQYtt7UQ0tFFPv9CPynei6jUoeQVdkrqIXOPB7crpiL-6DQSXByMfRy9-WxxV3xvK4nIkv2jqgVK5Fk5yObfvNOQJN05zA1spNEcKAmX_IaPEd5N1nKoksJamfz744bEnvmhRad7SxW43fMXdudMBk6uiDHtY3-SN_O9JqTHYAx3wxa40X9Y_1SjdZjBkNaxAlAKZ3b_lqtDfjXcNGQDZEX2YusDFCTloXqHJYLFnjeQRZXLSv37fRCHsvHfJBkyDIQEe4yRAKQoUA3dMKx72X6RxGvTvLcPVXEOZzRJQBCxzoGxF3xSudnSnDdiI1xHAB4WEuQ2Pc-2MRjxvfLDd3WlVW-HS1BWYA77ryWOtBJdwTjjj4ipK2oZFHnYPEPn2oc3fVkn0iSNFYvYDIbBcGeT19jiAPPnTuUCWUE5Wcpk_w30Q6xuBf_gidE15NrdYf6xMllUwL4JoX2tBvKi3o2GMOEB6rgvkAX211-yF2pmEE__EQVUS7Qeghoq76XJkuBwRplPTTg%3D%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-01-31
MERIL LIFE SCIENCES PRIVATE LIMITED,Regional Sales Manager,Madrid,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1609&ao=1110586&s=58&guid=00000186562fe281ab8c3def6fea7239&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8411ad05&cb=1676483224601&jobListingId=1008118018333&cpc=7F162D03C43CC24C&jrtk=3-0-1gpb2volpi9gs801-1gpb2vomlk6ei800-9ab4f35f2ef59249--6NYlbfkN0DCymC8tkeS88meVrBscNSr5klyp6VC51wfxnHC5wA9tc9XbNCexn0jeWWBpIuzyjcmIRsY6jEI3YFwukXmkaquwnEIg8FH2qs3GlOEf161NWhAFOXGGdiXK6tQ-y_Ki38TYC5TlmN488jqs9TBjkK-3vJlYnRjOPc1ag_fs8lJQXWdKHzj51gsXsxn8lW1MmjiJ2pcLmo1Q1_b_HGZ-tn2nBFsj2lLWwK-mzrv5ybLGooVe2iI_LFmu-9kYckr9tfZLRYfL8xf8kvPffkmK8ocQCAsIWTAJ6b3MMUEpDRe7V9VRoboe93MSNfYJQ5DrxAeXhEe3JeBtURkqvTow9RBX1Ex0dP3loCkSjRf5lYzCDz3Go_OW-r9oqEQy1jm_mEnoeMwQrirPjlXoo7Wd2f8lDzHdK9dFiAZZ51YkiukWEecR-LDDdOnV1cR1j9ImqqOqkm2ovLuUnHIbOP3WY6xFrJoQW2thKyH7pjVzUIsiV5dwWSH_Nr1hSYRJFRc9AimyAeP5RASOQwHuJuJq34CxLUBAjOWnAfB1LLMLOpfzrK_AZUAfMOfR7GdHCqObvRVQh30wIgiF5cEDCS0Jh3HEFADpGCuNhg%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-01-31
Cegid Group,Analista de Precios,Madrid,2.9,2 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1610&ao=1110586&s=58&guid=00000186562fe281ab8c3def6fea7239&src=GD_JOB_AD&t=SR&vt=w&cs=1_441dabbb&cb=1676483224601&jobListingId=1008468478215&cpc=43E37B7B5399EAEF&jrtk=3-0-1gpb2volpi9gs801-1gpb2vomlk6ei800-979ab270e298d251--6NYlbfkN0DfmYQLYMrU8gNBWZWaZelSo2q88YgE4v4gC5ioDP8-xKLHXWwCf_EFbEIxD47MzhacBgCyjbGbAyJpculzIMOSEKMUNgushUjJxZtUcylJMa3UUEIH7MZUjoqS43dDEUv9R0LbuGzbY_qPq0xKftXVcGUkDTiGnbHiu6-vlwCFgsjD8gyEsjdEPIlBwAgIp68GVQOshPMIuCn5S5a_7UZEec5igAdDBbiCN4Bcun18oRZqImCFHvZ_4d52oDl3NCJgcAI4EFSlAJD59nPTJqJ2wCpBnOwfWPRd36H2wXWpmFRaNmUpCE-8uTjpcnUDG_UJPBIcagzvlP2KYIMIsx_-QNPJkDfm4OFkgGKwnuErbnVoxa-IYDPn7FBuyy8C8mWqlDsRmXpp91JJTuwUho_d4JNjDKfOsFwkh3tNrw_p8oglWygCz9vbadPZk8e1wmFHXB3NZTr3mx7SDdoo8AZLKIG1n9STb_3RFzYSLubwydnE0qq_nNqXwDqEOC_7lvaY7jbtIJhYAnCM98zNmzhuwmz-qpgBI88jnFBXyrKaepvpaI5sfbRnWF5Z8FpL2yxiYhYcylJ04Xet0gqSxJODA8il_2FOZezezSF1GgUYTC19k9MF6wMht63NjtsZ4ZoqRsZciHQGgh1faLZM9GJHvA_Fs9Dp4VC8eDP8UpAPXS8VzB2QaT0vef8fwSlRj2LHUkOfyRvYO-zOlEXmPj_gV_7v3jstu0nkraIjUBOUMg%3D%3D,3.0,2.8,2.6,2.4,3.4,"Lione, Francia",Da 1.001 a 5.000 dipendenti,Azienda - Settore privato,$ 500 milioni - $ 1 miliardo (USD),1983,Soluzioni software e reti aziendali,IT (Information Technology),2023-01-31
