company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,scraping_date
Facile.it,Responsabile Commerciale,Italia,4.2,30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000186885e3df9bbb36cd421f4fb40&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_21dc6799&cb=1677325123409&jobListingId=1008428542711&cpc=5B5ECFBC4228ADCA&jrtk=3-0-1gq45sfgvjm6p801-1gq45sfhgj4i9800-9de9e4429e682922--6NYlbfkN0BmDrR7OGR9gJmF054fDOj_Irftsb9Ib-ykftL4-GTXRFTKRWP4aEhPdtGYU0uzziyByPg69YTdLMCakA6i5STr3NYrHxVntkiwvre1ra5QIHsBWyWtRjkykNtrmuTRG03d6CE59kcbq_G3XYOw-Dckdex0aHIaQSEw2-5GIcynhmAfsfTrPXNtblW4NH5skn3GLC24TgL66lRK5sosDKtD6c03upAYtLmECfEMmlDJX0dSd51K_R4zx8OHL0EoLbHBAT_L4fEfr9bzEPJmv85AIqn0KL1UFieZzTUOqCgLFqNph12H0EAT0ZF-74_T9vdP48ZFuQ4U5FN47bOmH4cD9fiZ1bKDUf2ZLsjGf7ZIPPZrziMeqeW2h6izGpXcR_MOrX9TFA6QEwIcCl5BEFtjc9nV_nGy5wk-gL_uDjzmX_IizBoqGXu4H_YdfgqvJToN6wqM8J5GuWxlIqCWFZT2k1WUB5Z3ZDSnfngw6FPiaOk_1VV1WY2leMDsVUVCCh8TtDKafcxVr-CQq587TJDXAcdOYrcCQOWQxNMBGTQRwwMZTJ7n27dcYsso1YPQDNsqfePdoKtfsTJ2os-8wIt4ErwjQ_hP3gjbsBRT-W8mgT6fu1Aleqby_z5kF74Szc9C_qZBi2ZlLhxbbk_3DV0A,3.9,3.2,4.1,3.8,4.1,"Milano, Italia",Da 501 a 1.000 dipendenti,Azienda - Settore privato,$ 100 - $ 500 milioni (USD),2011,Servizi Internet e web,IT (Information Technology),2023-02-25
DENTAL CLINIQUE SPA,Senior Assistente Alla Poltrona Odontoiatrica,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000186885e3df9bbb36cd421f4fb40&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_731cfe73&cb=1677325123410&jobListingId=1008328295369&cpc=D09C4E9B74C52DC9&jrtk=3-0-1gq45sfgvjm6p801-1gq45sfhgj4i9800-16b82dd764911f0f--6NYlbfkN0BjrLiXh33nVJS5N8YfV80V89pLwIJlhdsTBpkWxGqF6UrCfrzK8weVAIyLuZGVEiL-R7VGl8_9RNCBQOXlrYCihPTyVGyU2rQG4-iVz98AKoBAuVxPO6qcVH2C48mewcANNidP1f7xNKPrY5gPEaKedSJgjW9J5KdBjiC1V3iQgLZlotW1N7DYBBZwM430a_nSlZdWLr2GPSO0sF3dIphmGpQ2SgunQ_P4W3iaAddXFriL25tgMKS0gXs2T3m9dyVRWnB3JnC_g9KsjQjuQycgq6pJrdwAiunp1QA9nRiEAK3QxnRxnk7K1eclZZt9hV0L_uiqgrsKr89QfyzljLdT1mcNIK4YPanKFEEODkMazsfVL7wdN7-jNFK9H_juoMgHJEM1AccO8Xce33IxVeZJcRrye98im1PV_KgWUi3gaiVP-Rnhi_AZMHU1mL5N8VcodlN24jcGpjeILQEP9lqc6aJ0cCndnfo1lpRLG594mErDckcM4it0PJMTnNNlSLZMbdUDkNhIcSBW6POv7_LW0eT3kJdBkPDm4Uc3u3QQBqAZnf2zAMpm6hWFH2gHbI0Fkp5Sw9LJrj7L9UyzrlKrkf5ovN6Hkb8%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-25
Guess Italia S.r.l,Addetto Alle Vendite,Italia,,1 giorno fa,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000186885e3df9bbb36cd421f4fb40&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3508a101&cb=1677325123410&jobListingId=1008489219957&cpc=FD56AAAF1899B499&jrtk=3-0-1gq45sfgvjm6p801-1gq45sfhgj4i9800-e043527c3bd8e823--6NYlbfkN0CA67G_SAGmLKr1-1zGryutA_KuKy7K8eYaAWAKkAexSLJ-g7tP2z3xY-Pu5UHMF1qMw55Avltwl16sMkSCFv_vJsDlPdQawX3Q8Urk0A5Fn0Goe5HSk4X0ysuoN78ZLEGPzZ8Jv8Yc2wdjBZ12AdCgaqUCi15BR61eqsq0s1nzpG6O9CxIm86d4Kt0Co4NRgV_tjE9mtEZQq-OGr7FgmzkK8rM24BfmEzZpGFkmoI6CTkwfEB1wBCqQRQ0bFau87B1G6QSZJ0b_CIsJEnO8B7HZc9Ih-8lFUdcuEw9-3YA52vLG964kVLNSbEkh6BbBXvcXXYQueyckPlM086sXc7XETsvQHXh8doacU4FNaAb82qz7TfRxiyxYKIbL0rmrHjeOWjiLgy1Y247EhsVIK_ZSHfCjV1DxhtsiZJY-_ICA1DeENjL88EfWJ6K0hdcfQtfTMsxeZBJv6C9RTm_Fr8waRAHbZ0jlAEdvyYGHmlO-d8JRxyxefOkYsWBPTipWPg05RrENHougdPto0myrnDjWJ4oaj-Lk9wfLTgHmoMSUhtQL5wNIADYWS_sNJG4aLTMNV68RfrwM16uzBVDQ4_Bz1jMOJyNkLw%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-25
Guess Italia S.r.l,Addetto Alle Vendite,Italia,,14 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000186885e3df9bbb36cd421f4fb40&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_cb084f5d&cb=1677325123410&jobListingId=1008464381753&cpc=88825F42635DFB7C&jrtk=3-0-1gq45sfgvjm6p801-1gq45sfhgj4i9800-7477f64e3eb1b4da--6NYlbfkN0CA67G_SAGmLKr1-1zGryutA_KuKy7K8eYaAWAKkAexSLJ-g7tP2z3xY-Pu5UHMF1qyJ8ZQo784jUGrHvaprqR1dURmLSaWmQNpeRe65l5kDl7m5t6PYQaH9L9-WSsaSQJa6GWRfJ6qNsKGcdJRAmTTOu7AWq5fd00qyjUU60fQXw30SwJsUsD8VSvwoqUtkI10r2UChK5Wowp9qA_jX7YJNURiwY7MyazfHPazAfBTJoOqqmJa_1L79a_1OgUlFqPW3gfYo33UrggHlaP0tt5e9c9gBuO4TRL54wh6msIHf3OI69brQisVrDeVfvNuTm8ylNv1HDObKIaD9_QqbS4VbdSXPB-tXRciEHE6wy0-d0IDoHTJXSqjv6X1p-ogS_bAmGvLhevaNnF4OBDeQrf7amtlTMwoXzMks1o-lxeahNXps_Abf6UtlMEKON9osI-6bdZNYHgB77kVXHoU20tCOqEkZsZbOY7vN7RdjKygN90_qyVIhqBNgveyVEepjJ_B27Y3x0s8XmssRWdTM4jkUGpjWqzb4_wDDmiaUReA5mvutGUTDKY1T7lXYrsFI6CB63O2DnEx6Mf680CTfWqS5XFttHjPFyc0Cxn6hfrBQcIlEFOnh9Pa3sowU0spmAI%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-25
Findomestic Banca S.p.A.,Operatore,Italia,,2 g,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000186885e3df9bbb36cd421f4fb40&src=GD_JOB_AD&t=SR&vt=w&cs=1_614a9fd9&cb=1677325123410&jobListingId=1008487360950&cpc=71D4EE06E32D485A&jrtk=3-0-1gq45sfgvjm6p801-1gq45sfhgj4i9800-03e07553b7555246--6NYlbfkN0CyelwOgLs6HOGDMccZNmBAJGrtKCkwEm_4BRBAjw2Xj95lbBt2RbjQQMWBYvh1hhQ6BHZUBeIRXfBpXFypip2CgqCK-UY3yaDgHNRGoyVUqnaTx4QZBYnHXIp_C76dj5AS_-Tsyp2PqoeHjVvfzxPT8gaCXv8FnQsMww-gYjbU6r7USxtrDUqy2FzNXQ2Y8lbLZ-AlOtq6s4MGNyUYG8LfEmtQLOv4Vn-P63lu-lr_rVTaeTMo_Tnkv-zz_kugopKw5RelptrDEfKaGktK2fhXr3ClGjK804uc5aNRVjHXFm0VWCaYbrc8x-53D7wiub_yKa9CtdnNLVF0m0JMr602gly16k5NxjbDPLudIE-uOkmqLWLdA62xESkKIc9PHajdqw4zqHQ6W9UsNTO6H1BUFD4Nq8Zt9WjMDX-oS4gCn7pwO-IPN9sOCWuzoelaRH8vqMRZ7i_VAs5l2lh1wq6TQFLZ50FA9dxUIiAx82M6eQPF76ESIzJ-xTwcDx2g1GdpGUfcjZj-WYdTZgotrWEr7BaMk_HEUYcHWIZa6v1FiiC5-3wnQaEPnBccNKM8NjxHGUSn5EQqRrw2uHtIvKEslS-8f-3ym-iuTNhjg3sbw99BOKGCEQ9yJHjzXi4rPWzw1d6PQenggeRjwhjbor1KsGPCoh6Wiea62Iqp10TMdl2o-zAhK3yVPIJfgRN4yM7aBxcnkVSSiqTuJeUylqe_hhYH7W9n3gJZMVWoBuXfeyiW3H6ib4wyOtv3SJtkZQtEm4C7YknUZQKi88Z303i8NzqT0iZSonRFXaaDa76amrCIw3bmHYtZDHISulVom37uWdvHp1xc7_JPlCpOx4GYghLQ_J9dQ71ObCTQHvJvvgy7b4sm7vB2fnJKBdF4bdo%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-25
Saipem Italia OFFCO,Mechanic,Italia,,10 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000186885e3df9bbb36cd421f4fb40&src=GD_JOB_AD&t=SR&vt=w&cs=1_987fdf55&cb=1677325123410&jobListingId=1008473600654&cpc=9633D545EDE710EE&jrtk=3-0-1gq45sfgvjm6p801-1gq45sfhgj4i9800-9c6f6f722a53bf6f--6NYlbfkN0CsDm3IUperF1RINdpGHLuhgFoi3Ntjo5CuBDSv6Xb6c2scNx0yUYfBgcIMqq9pQJEFH5d_rl2Djo6JfI0UhFqwhrTQZbxtDWR34W4zmS8CJgHqrBJrE1SKUoI6m_Dl58WHXsrb4-V5EkTlmtkebWjaHsN54uKRgRhIXMU_Ud3NjBgudmSXCOoxFRc2k85N3g4ph3TkQreDDGDVTbjReBzM9yO7_A28eJ7Ji69guwciuFOE3LRMsMv7OrSkQqngI_fb9SVbN2SDLdvQQbVvsXqnVECb9nAyExbWbN2T_N9rSr18iTFzMjbrZGfnFgKgQsy2m3emhiSOBGhc6biUvmtoPg2AlsWcDOipXi519IjHA6lmYjH6pqAZveB6giNNvRekeANFB59JbTkc7dr6oi5G5QhnLa-a5q1-E6V8ggGOQLW6z-9Mal6GjxfCchQAHumo7hZHF8iBzQ7iv3KlAO6vWWll3iebO1GKA4wtZUH-T0xM8H-onLYpe0x0RxlsNz9bWlrqSLHqYrVCsqBM4IPgCj5-_s8O1SPK4UuYc6hCDCtPmULTobGltUtRsilSZSqb8e5geROLrzJiZRfuWF0bRVNdOuhVFLYX0NpXZyr5I6dLEIT3jIEtkxz3w2L-7sIZMKZeys8U07aphN0FosI6rAMqYp0JtwN_rpMevudovlfxZLKa4JgxNd3sQcYm_DmoV4LPTsC9i1rfo8cA9KGU,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-25
MioDottore,Rappresentante Commerciale,Italia,4.3,2 g,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000186885e3df9bbb36cd421f4fb40&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_03afba3e&cb=1677325123411&jobListingId=1008487416157&cpc=8507CEB59E1C6AFB&jrtk=3-0-1gq45sfgvjm6p801-1gq45sfhgj4i9800-c41895b5380f383f--6NYlbfkN0AF17EcCFvC3sSSauUVKuru0Tz0j2iBkWihqZ056fyRXqqCNSZhnZEzp4hc4sXcmq7Chi5u-Yexf7hMm8lPTOWCG9XQ-FbH1d8cmWm8ZcYmBf8FwfbW-CYIGm_xBCUEiQLHz-ZhXtFZ5nJM8-Ry7SuqOke6HH-8aylDvOtGDwVPuYmqccqHL4bYLZmvcisx1UpcpJhht4ZnOyLEUzH0ZbqxGp3n0BdnucnEG7NUvmeE-vn9JHEnFLq6kgOz8VF4ru8XHhkQ3Gf0g1kpmXePrlsJzPYVx3rdw1euRUUNZF1wzao1gQ5AJW4DNORFCY7JsnEo0dBskqo9N1724pSJ__znZleTd2kJspxWIoN7zTX4TB1vg7qUPJ2AnFCUt5Hdvvx-eE3tHHXKKBePBg5pvnPxipPlzPMzG70SVIXt1bjU6iJekCED82bYn09KKGWUilkbo7aINuPv9n6dI0zs5OjRZcRXGRtDntdas2LFlDI5sdKEIqgix4OZL7Q8CjlR5d92lm8AtFdgFSai-UuwH3V7PxhrrsUBrSoRZQqaAZzqRgTcm03mJHGvM4RrMGpMgPUmIXOUUGgglQ5RsTLFYF-KQGbwTtY-5KbwSKILeXAMExyFEfrK8gNI5juYTUk3x_qA2zsbhAPxyBC2eNeQOQAdKYaMVd5Isno%3D,4.2,4.1,4.2,4.0,3.9,"Roma, Italia",Sconosciuto,Controllata o segmento aziendale,Sconosciuto/Non applicabile,0,Servizi per assistenza sanitaria e ospedali,Sanità,2023-02-25
MioDottore,Rappresentante Commerciale,Italia,4.3,3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000186885e3df9bbb36cd421f4fb40&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e8816577&cb=1677325123411&jobListingId=1008484967626&cpc=AECEB822CA110EBC&jrtk=3-0-1gq45sfgvjm6p801-1gq45sfhgj4i9800-a931e21aef8af5b4--6NYlbfkN0AF17EcCFvC3sSSauUVKuru0Tz0j2iBkWihqZ056fyRXqqCNSZhnZEzp4hc4sXcmq4MheQjwQHgTdSh2mRot2ifV02wW1Lv_Q-2YVydD1ZNbwHGnVKX_82UXi-oropNYSU9zg75aHFcSqfnAD913Ja6uMIj1gdmc0IpEverx1C8pWiexYs08VzMWxFdqfhidavltD5iW-slGm19BYqk6xjIf22MsS-f1HsPVsV3YAK6o4qwpjXGRfAZciJFv4XBVzIpQvRAO_v5eXodDN_jxflXT8ZAFNUPIun6berv5jktsOm8pXuZ-IjWkczRxHC25R97Wocy8NC-qD4dqvSW-H_w0E2K9PXr43SM58vBeAj4MClSyzbMtG1pTijq9fJtF3QlYyX3XTTJYhL63T07OAaSc-l0i4wWSlBmQkzqeSH2Fs2-4t44UJhJfZ9tSOILDPgid5paiLqBK7oZFcwXhPshAuQpyMSohylMAXrcXfcI_i_4fIMz01pkRhhmfRyKfLiqF-5UlB4M1b3qvwwHy_-0lz0Hv2oXoZeyq1UPWvEeJneiVcGmVMNMXT76gAGQffOH8g_ovHAFhRPZR5iWh1oUR7IqrKvbdsfW3m53DeYKAiPsu_y4YIYJC2kTrNruM4s%3D,4.2,4.1,4.2,4.0,3.9,"Roma, Italia",Sconosciuto,Controllata o segmento aziendale,Sconosciuto/Non applicabile,0,Servizi per assistenza sanitaria e ospedali,Sanità,2023-02-25
ISENDU SRL,Sales Development Representative (M/W/D),Italia,,10 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000186885e3df9bbb36cd421f4fb40&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_11288f91&cb=1677325123411&jobListingId=1008471501044&cpc=61E17551093C17CB&jrtk=3-0-1gq45sfgvjm6p801-1gq45sfhgj4i9800-d1b28d1520027382--6NYlbfkN0DJvHM28zlJK7Vi0y6W0pBQg-YCcioyzvDO6xXOkCfUFQRSt2ii24L7jsEY1G9N2PZPCFkNmWpeLWgd0nUVVQWzd8F8lvoRZ-JG3CGP9QGRSNfjDkkBN9L9Be_2NB2Ydj-FB4YQNvykleLMaU6jVpmbGlekCsV9RsHq2k25gecMO3xeZ_NAc0fOua0vpKbgFiliwvN50PHpFjX1wa5bdaQZJIXThHFOlLY5xZpYptAPE69IWCx40jRXNc7_tZjO9hC3IanKNXPSYa1aIoHdMDopDiXDk0HzX0sKls_IKsA3brpbwd67KkbT2yRr6jDL0RuYM1LqkoqnbrKmVSflyaw-nu5oq04AjKSyZOf_f2NUqt5B-sydapacY0BNgAUHEnFwUjcTneuXZ-SquM91vtMCF_wM2B5hKVmWicDAyFP-StLCTiDU_gMXzwFSDBQl8e6QFcN1R_rJgosDs2aP93aJc-opLOANZT-VJ2WUtYMpU-wilRIEFPKFeM6sgWgC3Yx8g8_R3c0HmY360vGG8WwNCMkYzJcBQXkL5XmfXUt6otXRTV_NY7j_LBRHF4K_WJtYwgcuL_mDjvev4Is752ob6PtG0TDlxVw3Ucy4GPNxVMuN4HU6Xql6WcbtFRv3y0o%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-25
FACILE RISTRUTTURARE S.p.a.,Ingegnere,Italia,2.3,28 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=00000186885e3df9bbb36cd421f4fb40&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_799741c1&cb=1677325123411&jobListingId=1008433123027&cpc=25F7D4ABB6558D0F&jrtk=3-0-1gq45sfgvjm6p801-1gq45sfhgj4i9800-4027d9b378585274--6NYlbfkN0D4PQrJV_PNof0-lTl7GIcMWDlUSPrLpH4uPE_IF_rtuw9aPAClngahZdIIQMhdrEsK_MP6e2YynRQzIcL_Dg7mvzgVgYocx1USELv6k05gUZPLhCg0sYei494sarCbov4nDHsclPBlcpfCXp_fDrJtgJJXDBnngpcaQbsNybcysUnJ57bg3bzwL8884Pen2OtucFb-8W09PqglizSHddJ2qw8wdxhB0GpI-Xv5nhjj12bAZb6K6xhIiSjzMxbA5pSU65C8n8tTe4vd9h7JabCmA4YmPxz_Yv94b2B3ToV-o13purUTJmGdU1CJf2NYJXmJmkD1DPYzNhHeCRKiOCNynfDzD1vS--8Pju7BKXumIXZ6zo5FcalZp5-gLkxseEOGWR0VX_XXHnoAze0cuF_QsuRSQZEhCBYpEVC9hDT5I2ddj-5YxZYyMianc1ixfQRdrf83f1BdTdfVBlFejdz0U978ZlZzXL6z3zuatZSlkYfc6ifHdto0Rruj_pMTEgmH4KFPJQQH0pgX8IfV0FcXtYiUvNqF_-O2O4cMGSoWdQmiWy1nUxR-YJ6rra-eTRskvZWZ47h-4_BRBfoxIxH1Z1HogboWXvNABxZ2WXSz1Q%3D%3D,2.6,2.2,2.0,2.1,2.0,"Roma, Italia",Sconosciuto,Azienda - Settore privato,Sconosciuto/Non applicabile,2014,Architettura e ingegneria,"Servizi di costruzione, riparazione e manutenzione",2023-02-25
