company,job_title,location,company_rating,job_age,job_link,run_date,scraping_date,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento
Sexy In The City,Autore di Contenuti,Cagliari,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=830&ao=1110586&s=58&guid=0000018669379cd59a06b5d900e5d475&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2558782a&cb=1676802498004&jobListingId=1008480437007&cpc=47CFDC01B3F81FAC&jrtk=3-0-1gpkjf77o34am001-1gpkjf785j464800-7a05be8e0db7c4a5--6NYlbfkN0BpeSBnD8JaXU2ue50Y_Mq2p-d9CnMf-xS_6ZJJlnGvH_3YEnCaU9XacmShu4Sli2_mVRLH3Zso6nCTso78j4aJjBdwgJpI_Ds1i3bM-3NKaW-yVmGsjqKhkaVQfMCozjjKmtmANR_TXpUY_cP4qKl-DL0T6XjHnIaIVx2vctIOyr2IPZlZkT_xMdJosSxyfsXH12OClB4EzdyIrImAZyJtaEHy5s7MWxyvH9O9EnCnO2G4PVV2UawwSYou6lZkxN4scsR9M1SlmJpIcIghetjgcdG8oKJJrZwi06Gg1QJtZavqf6GV1BTyFKztdgftbfPZkubPXMW6UTrdHzTl7WAoz8lS8_BktztKnou7LcdtWe-hRTvBz1GofVrg5mcsj_Ey_Gy-ueMucE0TxXH9cXQfkpUszDIDsoNjxjGP0zIADhDh7Dik6gibRkKUQc5wamDAlF7zZ-nxDBE6h3TLultuZVlOxJXaRAjIXgJCzMWB0RmeV9mUqO3h_1VH3h-ZyMmRaJD2WP8XImvJzpnl1UkP-8UCN2boJU1RE1zOD0iHKQR0V5OQ4JLzW-4usGPssPNSN2YZ3_RFmw%3D%3D,2023-02-19,2023-02-19,,,,,,nan,nan,nan,nan,0,nan,nan
Saipem Italia OFFCO,Security Officer,Italia,,3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=901&ao=1110586&s=58&guid=000001866938cd178b734b3e153c8667&src=GD_JOB_AD&t=SR&vt=w&cs=1_981f6fd4&cb=1676802575893&jobListingId=1008474128563&cpc=4A43B94DDEA77FFA&jrtk=3-0-1gpkjhja2ma5g801-1gpkjhjaii15s800-f8f3465280bc418b--6NYlbfkN0CsDm3IUperF1RINdpGHLuhgFoi3Ntjo5CuBDSv6Xb6c2scNx0yUYfBgcIMqq9pQJFGLQwIdpDybKZfy4JQqahjxFN5V8nL_yfSI4QbxTWXdRfUKD3P9ZjUB8gMrDPF-MNachTuxxhv8NlhO_Q0_AE9YqHg-syf132R4qvrjoc69iWtZqikHgaQ3O1bPxnj-U386zWH-2Coam1kKHZb1rg7Yrww45u5IeYnTBINbfkKWE1vXItr-977s_nd58cleFBuumaK9JuLXKMZy0Fglp0IW_e3g1M9NKXNy2342-7PY71Er4bSY_qtI3i40bPt4Ci1yCkUlXp9HxDgM7N1x96N3Gwhr0SzZbPTI3RgTofFxzNuESpiEZ4B7f0tT8si_YlY2sSOVDJYjeEGtvT1Nzl0WFepxY40HsQ04MieYW5gbL5klbPqrh8RKzWIEykEoWIXpezs15Vz5_EHw-i04n8EW8G9h3CC0ayB-AMm8ofTm65CUQGhgSagTWriO11yblYibmGQ8gDhmaRgbHPHM0JG33_pdKU0qUABansLCwp7cMDTv6jiV4dMqqlA34Ltt51zrK4L3WpY6Eo1CVpYF_z5M3W7TrUwNHSwxlsTa0Mc9CQznTWkshr-e7zN7w_QVx151LutOTuPiPCiTna5jzpWi3i8jeYHODjt5JHPkTQmcD_l-0ljGKIQKMSnRm1iU31Lf1Y1hP0yzPVuUXYT4ZJB,2023-02-19,2023-02-19,,,,,,nan,nan,nan,nan,0,nan,nan
Adecco,Tecnico di Assistenza,Cagliari,3.7,19 g,https://www.glassdoor.it/partner/jobListing.htm?pos=902&ao=1110586&s=58&guid=000001866938cd178b734b3e153c8667&src=GD_JOB_AD&t=SR&vt=w&cs=1_779bace8&cb=1676802575893&jobListingId=1008437879403&cpc=45DC3EB807283E85&jrtk=3-0-1gpkjhja2ma5g801-1gpkjhjaii15s800-70922d06aac29a2b--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKda-kTTl3QRmj7tRtVZSm0dJKaHQ-y48kgFVljL9XBIVHbIpwbl82A58PIu0oaAHYHOhw5L6Of98j_K7Kkcs_YSYIFvmm4BNw6Iepxd__8vs25U1hQ91O3IRmX-uYEf_WweLSg1NOpIhziEgrYgGpWU3OqivDse7ylJ7ag_WBiAHjg0otQcSQTBMpnI1rvr0RKV8n9R--MtWpcxM0lTRWSVOjKx7koQGSWtCuOG7N-wEEsHp8S-AeukMfaCOsXyl8Z5phL_HmhDsjb213RgxDQqpJHDwodNCFMmf7_nyt0chAPNJYuPndkXRaxqCsO0BSZrECRenWYd6ewOvNO_KtATAthpdvWy_PwIifPqLbUm9Pm0tTFIS2bLDG7_AN5ldaA8phf312jG6B5f87nYO9pxp2XczgEwAgr3VETuWjQlWL7jblVj84DP9VWWtvAmlpaFFqHS1IuzZbmD-JEKCGWR4NHSjvBa2EgIHwVlLSUcX2_IQ6g2URzQ%3D%3D,2023-02-19,2023-02-19,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale
Facile.it,Consulente,Sestu,4.2,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=903&ao=1110586&s=58&guid=000001866938cd178b734b3e153c8667&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_12f060ec&cb=1676802575894&jobListingId=1008145082584&cpc=BC94DADD91C18169&jrtk=3-0-1gpkjhja2ma5g801-1gpkjhjaii15s800-2d4669e791f789ba--6NYlbfkN0BmDrR7OGR9gJmF054fDOj_Irftsb9Ib-ykftL4-GTXRCGSkjph3fWfRaWfCQT5_RZIIwi5ZOQo4KHPlotQaPWrrPdZT1b-FA-vJKOIGBrAutlSGTJ4f_4oqkp5fRO8pUuHjCOh2_viFsl9XF48PJnC76ENcr34roaHvgjO10T8WBSS53V_EEe1oQMHkmm16H1QdW1euDq1Skk8tLgsGjBe3mMbMc64dKQTSyvkdNiG-3wg559DKi87Bi9VqtqKLzE76WM4IXo_BHTlZ0M0_c-SVzO6c3ZjGh05ujLdpFXp4PjXL1QZH8e7mBFFURXHoIATfOtTFHfRdtEvYiXcwS27SSiT0yw238llFxUbCIMGz_dW8q5maCUOivdovZNpYIe8VcmbhbF0pzPwdadkTsvQWyCn4720hOxYH70ud7rip0CZuMVoyB71wsEi2piyhV99VVB94WW3hGKlX7vtUrouUwQxS1FXu92luTZtLTQEoS4EpH9dzev1EGc18vEm83TprFG1_WTP5JRXkpGFhWIE4o6F6Y4EqQXjq6n8pTHOrdopiMOyiI_DngGCiqDtxoNIvKSs5ttfJecwAjIsQoHG4kLUrjXHm-FBUV7Pr3w0zk5ovbHxPQT_gIZmJj0lY_96LWayl2JNJz8nP2-VudVa6EgOQ4hA4kg%3D,2023-02-19,2023-02-19,3.9,3.2,4.1,3.8,4.1,"Milano, Italia",Da 501 a 1.000 dipendenti,Azienda - Settore privato,$ 100 - $ 500 milioni (USD),2011,Servizi Internet e web,IT (Information Technology)
adecco,Autista,Cagliari,3.7,24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=904&ao=1110586&s=58&guid=000001866938cd178b734b3e153c8667&src=GD_JOB_AD&t=SR&vt=w&cs=1_fed547a2&cb=1676802575893&jobListingId=1008428775077&cpc=9EDA28EADF1DF7F0&jrtk=3-0-1gpkjhja2ma5g801-1gpkjhjaii15s800-9a5cd7abf9f390d3--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKdzY5G2Tp0o4LyaMfO5bKfI6BSgbSM1oSE2GJ3ZI9FOpBY1ZsHENkmIPZxYclVdIc1GV921cbNTff_ZU9A74rtysuvGvYZqJ7ptwQzrZjSasFBgiuvt9F3qaHoo8T0lxVKshBd32xkmJcE6YCl3AWnCx8ZCs2V4H-R6D-ypv3x6YZscJY4Xob2ABkqBeC8K-mY3--W3XZVEjtlc6xDTuRA3y84Zv0sYcpDv7S13izufFOwKAThAlU3zGndYGtfEyJBLiN54Q83dVUsjfqke-PZ6nuAE5WIYkvLkwpy9qCA7SZOdUbmix1Yifd8gKFdfHKmfWgFMoRnLdKCXMhv68uLc39HdTscaga0uUdCoZSUlDePf1MLEddmkngjv5F_N0AUD1_ePSjojLBxsEfIdmTp1gOgqaTNchdWejHDbGsA0KSNtSGTDGX0fOJxbIpxL5Blf_xQFBcIUOSQcZpbCQfmLosqVviLlaOHXxgzhg8kXl0c5Y7P4pkXsw80_bdDXQZEsYNLpDef_fmyMrLPVDl8TsX59Yn0scVId3p6MOG5lJiZRd2VRfsFWbsDsUCdteap1-r42lqmcO8w-Zq8vrdVr_VuE6Rgf_xMjfNWzgXII1iA4dKub-iukTgh0ouVVK7wL2JM5QopwYLVT0l6hl9HrABd94ZVXEM3HbzZXBL4iJf1ZzYwCi9gKLXE0nGWDO0-U9YewoxhQRQ2r7nfbJLNXQ0UwLjDmh0l9KXRLlhXV37KhRYnG5lU1q5sR9Xezy_1jTYy3pTQlP4UAHWIZ-tQA%3D%3D,2023-02-19,2023-02-19,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale
Eurospin Italia S.p.A.,Addetto Alle Vendite,Cagliari,3.6,26 g,https://www.glassdoor.it/partner/jobListing.htm?pos=905&ao=1110586&s=58&guid=000001866938cd178b734b3e153c8667&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ce0d0579&cb=1676802575894&jobListingId=1008424011350&cpc=2CAED5C921A5F994&jrtk=3-0-1gpkjhja2ma5g801-1gpkjhjaii15s800-ffa3be6a41b935a7--6NYlbfkN0C1abZ9zL5NYIhXV7bfxDjOB5o2U9Geipmv_mrCPZiQ0iu8Xnde5mL7-oAyK2qtyyrjruc29eqthOFihiCpVV2iKNxg3-2pGzqzdhrYHe_2b0kmI8M10weyxx7VRkrOZBxQTKt-YYxGR1wFbat49fg9FZfpGWbCsIyNbP1-2phrK3BaGfUg90GXeZugWwzK3VO7zVBrg4gKyWMwk_ie1OdBMF6_WVw2v3E0tDw4fCOezLh5yrZCtS14XPwxPWgkyeOJZQZG4R6CG9L7dUTDvpk2YZrSVykwo4_ee-HAduByHXohsB83UKQweLfECfOZj38R6ECXWdutYFdjCC0Cpz4Kgm6jbLpYwVl-OafBmyVKDP1pnIn9j0lE4dWeDXr2hy1BHulVnT73JT0F6NxdtNLf1ohuXG9y7wuJCVMEhvO_kUIZglemJOBz4ddYaZBL-x3cwHbMXtNnG_uONhAuEdpWAp_Y4jehaptVwToY3TaXckYQZEMHbn2YQbfaPwxBmE3ZwDSseowg_Y6-8bhU14wLEm7fMscWB6_2lPZYMfAphgO_bE3YjDHrTfWzdogJJ6aXMq8ChRAf40meNhh55NjikKA-RL6TWSg9TAhOH_HUofNBzry3xfWfMTjOIxUpXgw%3D,2023-02-19,2023-02-19,2.8,2.5,3.0,2.8,2.9,"San Martino Buon Albergo, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile
adecco,Assistente Amministrativo Tirocinante,Cagliari,3.7,24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=906&ao=1110586&s=58&guid=000001866938cd178b734b3e153c8667&src=GD_JOB_AD&t=SR&vt=w&cs=1_68dd745d&cb=1676802575893&jobListingId=1008428777103&cpc=2F9DD8B511C89582&jrtk=3-0-1gpkjhja2ma5g801-1gpkjhjaii15s800-169b2b6547664e9c--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKHykkGYm-qu6J0gBIxgy3hCa7qrv0Mwhw588ArWco5L_wB2sWS_3ACLlTSdtmGHtA1vSEMq3f-SFT_2ofZ7IVJ12FG8VaAZiEgh_AXjj4yCuDB0dcm8uSIM3AyCkszcztOfcT2yYK38U5UhxZEOZ53TUn6excG-WRO0K8H040gbEyH95R4Y_VYBeFvicYOCPLAxjpxBC4gQPst7rmwy5zPbsiCVRb7SbrXw4awIK3ZYT-Lmc5ZPf_Eu88922C6v-gl5N9LTYqHXdTSeNZCkedfKBBdknV_601BAN0c96wyN6dOBhdvrPgpNexXgqZ-zC1tP1L-DJiY7wWkOwPuPAYS_dBsAlpw2ZcwVD_yjaunrN8nvLYBYzPBMjpFTBCOjOkyWUX1XaJo_sNuqYWo5NS0la5v2zDdw9X6FMzlVWo2sNuBqj0cVcy15-A21Xpwc7U8BMIuGLT_J8ZtoINPTzl3ZsSJJb9SK9eixvkHr5dt9eHW4y9zOS8IXiUsstl4Nujogx49AVzUqQNs09FFY9_x_T3HSujo362VRgycsQhDByaeRJm07x9lNOFSUGmNaxNBIHNurUmQn9V-dlO5VzvdpYKG0v4t6xadBMQ7hbiaB0PHqYP4z0TsXF82OBnnEKEGf9YrA7DuRdL3ENNo0-uplHpYdPvHopijOq4vYhRoPS9kS2nZuhLYIIOhvdojLUA-SeWH-R08iYDyRXUEf9PIXRIwgRmp_EUcLLvjWWP_Ab8x3rEWsMY33dBgaeLpK9AVtQlr5qV42b3HjGmZiuQLkHt0SeAuOOfgtfdJARKbMw%3D,2023-02-19,2023-02-19,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale
Innoviù Srl,Back End Engineer,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=907&ao=1110586&s=58&guid=000001866938cd178b734b3e153c8667&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f98676f7&cb=1676802575894&jobListingId=1008368578480&cpc=5FEB1BEB8E14EF52&jrtk=3-0-1gpkjhja2ma5g801-1gpkjhjaii15s800-40127b5e07880c70--6NYlbfkN0A0t4xPpaDdi-j5jsi_NaPSSH4zucqp6NvY0VgW3NSQ2JPqQr7HgFeK8Vn4wjBjCgfUFRyml4YHcFQFTE4tAHsz95wtIf6-Qd74tjSptQZeXoah0IY1ZOTU9b8QYDE74i8IhZDUz3E3_h-3m9KiW5CBZR34695q_HnsUTBDkzyhairF_563_i_SrtCADLuKQp-nVBoZQA0u3iItxTaS6uNQzbGrJdC0NIrmkjmLZyyemDvteT-utaQ-GAwwwd73_3sb3NdUE44iDozedx2_iBt_xojR5FPExe3E2TndokJQzN7jM-zfFhKy6mYmXZORjyQ4UJ9zUVI1RC0B6Xt4JGryA0jsG2ZKMsQluHOQA-o882qilAMw15IkTtt5TuEenQ-i_mf6S9WW24U69RQJ5mrWLGHT6YXQkMQhvIyoLSuTwQb43SNLNXIfkF7miwdS2gTlZWIy4qd300ISw_I0_jx8yBAvajUD_mJeaqtSLMxFQg-Vn9XLo2xwhZ_P4wQJILrHO_rHY81dp49_K688rQqRRTfF7hWVcIodhz757VqxDrfdkaeo8tTEUZMIvdycZH5gP_Z6wdCr03HwA6U3r6vgiVXx-eqsr4I%3D,2023-02-19,2023-02-19,,,,,,nan,nan,nan,nan,0,nan,nan
adecco,Autista,Cagliari,3.7,24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=908&ao=1110586&s=58&guid=000001866938cd178b734b3e153c8667&src=GD_JOB_AD&t=SR&vt=w&cs=1_c6683110&cb=1676802575894&jobListingId=1008428775418&cpc=40021B6B9FB64F38&jrtk=3-0-1gpkjhja2ma5g801-1gpkjhjaii15s800-030b7ef8434cfb5b--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKdzY5G2Tp0o4LyaMfO5bKfBVXh5IMas0LbCt9XRFcfRLn6VKLNaVMrf2H6R594FJn-WwXeED2k2Bzr8WYoQPc4pY0qWnbST59RVy8_mkL1lhhGRy-5NP22_ocMkpauANkWtqrocwzWfQ8pAjUE-hrcHwCuULd9GGDaVw0pDcq4s_MIPULUPm_ECdyHUJIqg5ftcQaBVODXhYmEeY3iTd-KxDuG2fqtr1qJs_fvW_ufYZCdKXo61oG1n02lWCUK9O4g-Kdp4ClzlxKE_60IUqEM65wKfO9IqW4quuWrhaT6JiIu4IHickGpea1XxfBNDAJ3V9hhO2IHXwArsEgT9RevwRgZ3Sfj5LG_aZ3gtZO3sWzRZtpg40vnTS1cw4Pjjd-G65cOlAc9_7TS7vP8kLaNrV8PxVLFzkgjn79C7fP7Rc_Ftfky7f-GRU22C7DCnjj4ACXw90BBZOcG6kNgj54bKTfPI10zEMorwQda1A1VUDPvcIakbrcfzBXrOI6dUGI1NJnAqlL2xvov4bunrazkWFMMIt_2IdkRY68I61hohg-C4p3B1xjRnplNPYX5qo1fXCP0DjRW3hsH603cIgsY7w7iNoRjESTTVwzEuPQxqYMINw75kk-W3L5BLvcmvTEFOSBOKqTbfqWaiSmsM6QNbMlX5w12hS_m1lw60VANVz-37hPs-8y8FS5IRbxnvb4iEDFSFzUf1YUsBfIive4RZdscfVGNu2-wHpqvfnwnziHH6puhzmqDOUqXX3S58DnQA11fCczGQh6RAxPD6MqSu-khiGfrvA05AZqTOwVl_I%3D,2023-02-19,2023-02-19,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale
adecco,Contabile,Elmas,3.7,24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=909&ao=1110586&s=58&guid=000001866938cd178b734b3e153c8667&src=GD_JOB_AD&t=SR&vt=w&cs=1_08de90f9&cb=1676802575894&jobListingId=1008428772912&cpc=1120CD366D53BFD9&jrtk=3-0-1gpkjhja2ma5g801-1gpkjhjaii15s800-b0683a963eb21d81--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKHykkGYm-qu6J0gBIxgy3hEt69qFCo4LGilRQut-05qFU2mKUooQs1c4Gn16pQb0rnbSYEjQ2qSfxLWvIdz1CwsBMUmUtuDrMAGLo3f0VQNT7V7UJd9CBgYC6JOW42dbFiknnMGmax0zsecC94tZh5-ayvFQFf6AZttOxfdN2zKOvsJqHvHUJHLaae8Odx7ZZIQQ2baCFodrBqMsuR7oz5813WszHaZmB3qysxIM4vplKyhpQ5xAWCTpDsazWXWv2HN2V5MSmK3iHDiQEDN0n7QYNhtqpnXy2g6SA3cTg_RoRYivHhdzQp1mFf_K4-dXmGCJquG7SgjnGFyEV0sJR5gTm6QiPis8-NoepbZ9jzEcFxHdgRYnaezx1dkZc24fvD79aIFBPzVfhI9gQg8hc_v3IJD3GaBbdXShRucvBm0hYOZkCGk0aA5BHZxg4iwfWcK9hSs9Sn8sS18IFwW64WLFhJRpQY5G4uGaKQ1w05Qsiv8QI-VVweNOTG2HymhYBewdAb7PTe678bn9-DLxJAZGyVOEGVdx7eVxsMY68uN5wH83Pghf4fs51vPP1aiP__ZGB6oK2z1mPkj8n3TotuhiEG60PYPfNDvKiJOMIP_ccr9-FYIJoktwUbMkbyLm2ptRyH7KEgIzcUQJ4D9jHx07LJ-7tEbWO3A5dkJfZ1015qNIWDeq_RfB4ysoAh8vTkG5yvgPkbm6MumzqI1HWtW-pjPdXseAIeW2MPkDiDonFqAcvdpFvSOwRZu32V07bQaz-3Wf-Z3NzxNqiYZ_YQO34D47SD0RW,2023-02-19,2023-02-19,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale
McDonalds Italia,Operatore Della Ristorazione,Cagliari,3.5,29 g,https://www.glassdoor.it/partner/jobListing.htm?pos=910&ao=1110586&s=58&guid=000001866938cd178b734b3e153c8667&src=GD_JOB_AD&t=SR&vt=w&cs=1_3b6a4fbc&cb=1676802575894&jobListingId=1008419244279&cpc=1CBFC3E34E2A31FF&jrtk=3-0-1gpkjhja2ma5g801-1gpkjhjaii15s800-ecf9c29168906262--6NYlbfkN0DEfmD6JQM7-HYhm4jDDmBcRH1b0qR7FVEjWKgiWJa8VnFtFWWxEapCqJNPm_0NiMpH7g2A5p9VDKzCAcn3FKO0sbTQZAzgZCoIqMJwvwCtP9BC6Pte3VI0ob5A26DF_BKBcc1l8zL2wjSMt3SUjp61-J8JQEnM8mD-sRRc3oQRu1iEkonqMlsunxy9mKanqANYTYoBPSyJIhuuNpOrVxuACCy0fRqt3D9-qurbhchuCjfRcpSOdmcezj9-wHzJxLRapLdHdKCkRHyiJXH4pvT_n1zgWHRmo4ssEq8VR6adZDLJfGvu9QLMdh3WrvfoMV7vSdEzGrL8rhxJUyAdeB7Gn4-tDAS0eNfwEKAMVFb7qrs9BHxtDZvXVIBqtVKh0XYB4cRYMBHh8E6o7WpjSfmaHINd5-Xf7YL5Cv7HcJPEPT1VNZW2AMts4vGiQAVrC9L9WLouaYhX7gYTyer2Qo15WTpmQJLTxbgNMFacmxZvQWzJTuRPUrhU2BuXT-tvGaVeZKGL86nj4Bl_yMmlv3E5Ic_DNCtTITsViVAtfDz-5rbOBzMMBPEIlztvNpK4ueSLoP_2ZTIHDm0UGHboiNHY,2023-02-19,2023-02-19,3.3,3.0,3.2,3.1,3.2,"Milano, Italia",Oltre 10.000 dipendenti,Azienda quotata in borsa,Sconosciuto/Non applicabile,1955,Ristoranti e caffè,Ristoranti e servizi alimentari
Nuova Sicam SRL,Progettista Elettrico,Italia,,2 g,https://www.glassdoor.it/partner/jobListing.htm?pos=911&ao=1110586&s=58&guid=000001866938cd178b734b3e153c8667&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a198c0e6&cb=1676802575894&jobListingId=1008476404051&cpc=036CEF58F9688075&jrtk=3-0-1gpkjhja2ma5g801-1gpkjhjaii15s800-95cbd9ac837f61fa--6NYlbfkN0Bf6KOpx-k3w-LK-NHFMHKAf-bss4OsfmIyhna-Fao6HvoEnG9ys6iTtenI8c8KXP7PbgccydSNuiW_4q5NeqlXS-u9egFIlzpDkq2mRbt_fFjWC7vm3QlSnSbv8JOzPCrVcAKBr2-sr-24SUpwKuPdW1GNsmlyuQTCkonLlcRzpmhTIipMldEIn7iyVPawU96V92d3dawFtWenS6ZHzNQSHYfoQJi4jjVcjgc-KfEc1ZUGLZJecqNJlAuGMlUGoqeR6IkisxsSE_PFQdqy3BUVVYUnvDI78OnauBECoQUy5kjYl0--YBWPLrMmMBpNri0JT4o5xP2qX573OohGQwpWQYT9za83tX-OXOhzHf-riT2PxaE9ZiDPovMVqTTF2i8EGfAtxrHtdYWEwh8oPGWh2PYAv_ZSEha11KtlRHsM8RFT96DJ2eb_20eYwszubnY--AqTVRdEGYkpNwillSP2iED03EPLHrjmwaUgHAiuvcGRzanVmnBL_Ym7VmO_n7cw8Lf-Bha9eqJdPvNHKfhxLv-QLEkEZgnywKJvps9K0mkWfSAahnIWyWyox6soPpY%3D,2023-02-19,2023-02-19,,,,,,nan,nan,nan,nan,0,nan,nan
Erga S.r.l.,Operatore Turistico,Sardegna,,19 g,https://www.glassdoor.it/partner/jobListing.htm?pos=912&ao=1110586&s=58&guid=000001866938cd178b734b3e153c8667&src=GD_JOB_AD&t=SR&vt=w&cs=1_95a3615f&cb=1676802575894&jobListingId=1008439427174&cpc=59DEFF8D475298C3&jrtk=3-0-1gpkjhja2ma5g801-1gpkjhjaii15s800-16f20c59446ff952--6NYlbfkN0BytWipstCyveKkw9FlHucwf8c9OEfcNK6kJ3VVRANJxJbWkJbVhuVmkiwDTlZdYv7UJzn6F6_So6LtOM_v9Z9FzOF8PdFuPe_x7YBgShEPq8cNS1jPRFT9nwE2OUlx5spN3KViaihpJEWvVVPCjhUPSK314o8MOwV5a5kOsMM9E1-77X6-r5geGcWQNagouqJUWsyOnhVROlFTtL8bE3am_NgBggfMMQfgafYqd2d6hhPollsF71u1HkaxD1BuH3vHVTxK-TtElFBsYA9w2V4KvKEO6bL0F90pUPcQCGWWOnlz0lDzu03gdEn2EJ0eyLb7lH1uKP6vtno9vchgvREZdvXmSX-kLMC-QuaZRPi4fkm1GbQaEphCM7zP4R_yEH81VH9nzWDjdRxx_VPRnYKm9J_pU8lACsU1NZOwIua-oh4gLRvXkEzFblBHO643rN9N-iNntJV0OQo3n2YQx5q6UFaE4Ha5eLnxIzIw0FWb54rx7Vzw8rqtpYwdSC-iJT6a2hFuhktX55s9DyBSFHfREeGeP3iuEDIlJBipWs8nbqapi57gWv7h,2023-02-19,2023-02-19,,,,,,nan,nan,nan,nan,0,nan,nan
Doppio Malto,Cameriere,Cagliari,,22 g,https://www.glassdoor.it/partner/jobListing.htm?pos=913&ao=1110586&s=58&guid=000001866938cd178b734b3e153c8667&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0d263ef5&cb=1676802575895&jobListingId=1008433199483&cpc=C19BE7EA145E205E&jrtk=3-0-1gpkjhja2ma5g801-1gpkjhjaii15s800-b4d0428a5c7a4936--6NYlbfkN0C0jkC67az_l2JZOdjrYW72hY8OzNLs-wjENDeKvUUf1piesqsELzqPpEuaqx3MAOT-XHWw2gUdtv5EfooNMo_duByaiSUlECr2eOsZ_V-c1BF5UZacE4n_np2t9driaS0PdTowyNvo1YuQk9JIkA3B4UYDi-OzOIfP14FPG5d2Of6MIGnkYWCOSD4AWHA83X67sevOP7xQnH46V5ZNGzAZk4WxbIc5mPTKwthn2buaGt4rmUhGse1q_obKqcxY-7e3Rb1G5bOVJN0TsreMZR94Ujeo69QlkLEk1Do5OSYl5pFvN4Tsd2Oo0QmmW9tVL6QwwTSWGpUDeHgUhUD1R9FXW5-Ia0Chw_jDP9uDARdEJg0kVL9h4K8ry0WsOuGSU-9UNDDoxIPX7u4A75zk3NTFsQ8km-iJC9SViA4DycJCV3Xwn8-sDj3WBv0ceRzEvzoM7S36ye-5_OSunTLF_D8-TJFrQtrRgQPVU4LLk78HdWK1DgNAIYdbUIkW_d6L6Mn_XhL89g7pybZWyIh9T2TAZ5RFtaERv2XlLSHk14Yit6N43FCWaqzjn8IJj3Q1vb7bI95T9tHoLEvI88xtD7YJk062gLrsDCMHDVztE2efFE1LQFkSRbCAlK2hp59v3rU%3D,2023-02-19,2023-02-19,0.0,0.0,0.0,0.0,0.0,"Milano, Italia",Sconosciuto,Azienda - Settore privato,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile
