company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,scraping_date
Calzedonia Holding Spa,Personale di Supporto Alle Vendite,Napoli,3.1,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1405&ao=1110586&s=58&guid=000001864f846fb194f17db318a4bdfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1c4e14dd&cb=1676371325195&jobListingId=1007807309821&cpc=4599430C66E07990&jrtk=3-0-1gp7o8ruf2dh9001-1gp7o8rv4jca3800-e7c9fa03b66e7219--6NYlbfkN0Ac3PQLf4kItVDhYN2zbvuJ7nFyTq1gElAGQ3upSQdcjrCR27fqEoep-82PBrEQSd_kxNxGovBpZXvGmGTdSkTvRIgFE-VbkLVBR4xnyJMe2Q2TmE61eBhiooYAIIVpGh6sVknSYM2KPpB45KYqfULRe-TK8DGOloR-p7VeqybqgYFFZATD_CBW3Wp6x5X-hc2nagJ0Of7k-8RN7X14KPa04AwGuyeeyYzJBpL7iSTQsaawhr-bjO96LGEB6eyTgIq5QrJQ3TbRp3_psmyeEEA_z8NlxOmiPXboKNhEKl4NbLKcz3-zJ-lIKHgVbvo1mp3sPSNFoObH1C6AjOkrKqMXw5Qi2rYsgv-x6Hyu4Xmyh1nKQ_CCD5hau6KDUA8NubgGSfL8THBRP4P4ga2R7JI3SpjryY8V2PX7KwahheAqJPc2mMNXZES3ziXH9OxARCl6ixVuwyGCZMR4vlTq_bVAZmOARVlaBM4_IRsTpmZdMSBYz8cG-vNWyxWbcQRif65epcxNDIYKzZeGn0SSTQbRh-k6Y7-N-VawQkURKWTOAWwEwyvwYbnSB_Ej5Ddi7FnXis9-mP2rMpuB9ezo332PenevGEhArh3Dgy9w-cJlAxxNaxMy4P--buMYHhJRf4jezMIpEWNExoHJCqxTq72VJKOswHlp-_P7AZgB_IxXzb1J4FX5hmKF,3.0,2.8,2.8,2.7,2.5,"Verona, Italia",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 1 - $ 5 miliardi (USD),1986,"Negozi di abbigliamento, calzature e grandi magazzini",Vendita al dettaglio e all''ingrosso,2023-02-05
STMicroelectronics,Digital Design Engineer,Napoli,3.9,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1406&ao=1110586&s=58&guid=000001864f846fb194f17db318a4bdfd&src=GD_JOB_AD&t=SR&vt=w&cs=1_8943c3c6&cb=1676371325194&jobListingId=1008350934663&cpc=18E4F2D8CCA3E56E&jrtk=3-0-1gp7o8ruf2dh9001-1gp7o8rv4jca3800-d2ee06761eecb21c--6NYlbfkN0DAv-knXWXtWP4BSZ5vXP1CKdoDUf5S6mXEs2UdONmIWlVd8a84ouEntKZlEKwwLXOkmxXIDVr5Zlmq2abO39Jg6sM7RmxahK6sCKwMB9jzyy3hTH6_t7clHKbENZwMUarIVp5RF-xhFJT4cDScTlSxzy7UwgqAXWidN_apFMz5pmdIlHFtskfbOQhUBSp0wFO4e0v64VrBtvZUg1TtgWXx-2Sn1X_uGOVOL3CGtMep_Ebt4kVZJmjjbVQxtr2Zels1TMR0qJMN1XR-EFUyVigFp_RthHNG6009AJa3T9kfmoEUuxla-4qxkO7KcmYbLmKkc5speiC5HDq_Ac8wqqJ4pRpszddMg7RSCP7dCWtis0kNB3HUyc-1OHI1GQJZKsKTmnKZKXkpP4pZQbIrn4zJi_WoMxMR5BjIARk62K1PcdPL9ttKiavWYcU35UJoViVNm53yKgLU4MTtKWF4Q4eFwVTZBAliOPJ3nMebs3FZTuDIy3iGTq5Xw1HuLZf09VlFTUVNLEe6TrQ6pmc2F65f06CJEQAN_IIlGA1bhVfoqZSCKPYzXx9HuRwVr3vSeFBOwc83MWMmM9cSjeZAJTLF6ukcHMuDNJadX37OxmuIMxOTq_d3di7N_OteUq_vDaw%3D,3.4,3.4,3.8,3.3,3.9,"Geneva, Svizzera",Oltre 10.000 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1987,Produzione elettronica,Manifattura,2023-02-05
TECH-TRON SRL,Rappresentante Commerciale,Campania,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1407&ao=1110586&s=58&guid=000001864f846fb194f17db318a4bdfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_62422bf9&cb=1676371325195&jobListingId=1007908830771&cpc=F89DB714968E32AB&jrtk=3-0-1gp7o8ruf2dh9001-1gp7o8rv4jca3800-7c95fcdafda41659--6NYlbfkN0Bf7zH--WCva9hch64-vSufFGLij5owhii5BKgj9p7pAwk_eXebG4-ARKBU6wgtV7cAkaD3siqHnlk5kE6xXfpx8uW222y_yrqaPVYLFSkOxIgn_qwO0yG8xmhKkk_cxhzg85B35ai5UpkA4wbsGan6hSSLCTVVq1bdSpfPGCKQZXTdJq_GTcKF5qZHarPpkDIRy-SrBfU5XhgRWbG5EmgAAeYkOCh3yOp3wJ7kthvYRlZ9zik41vV35ZGNlbu8JLYmkPIaVEh3JQOsXR0d5xyH5AKILdFPc7Iu8VAenc4iYx0YzDxbhstCckdGUSFPKuchS5rOlPaCGZnTKo6Tl6eoifCJgYMVJygW-1J8jsL7liQQ4l46FCAuM2V-PBlGkLJype-IYsf25rPF0qjBgtx19gaw6i4VGuWPU-toMbRv3y_CqE0vt_1t9PX5m6rUwBTCSvRW-qZhLAc1K2QSE7Z0pe87nV266XurvO5ctgsm7OXmKtz-61AOe8KYbMPQuUPwr7EnyKZ3pzd97PtCFi3xyYxSsr-3VTckbxjJ6ztdCm8F1LX89pfMN4BQgLyBnKI%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-05
LIFE Agenzia di Animazione,Stagione Estiva Animatore Grafico,Napoli,,4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1408&ao=1110586&s=58&guid=000001864f846fb194f17db318a4bdfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a58b920b&cb=1676371325195&jobListingId=1008461877667&cpc=0AD3DB1A95BF4639&jrtk=3-0-1gp7o8ruf2dh9001-1gp7o8rv4jca3800-2f4a9c032cd61bfb--6NYlbfkN0AG71ikXQ6DjEkF1bK7dgYLdBYMctPcHbYjdG_0glLaKYUlRgJ0Xd-3M6dLx3t5vVr2I6TA4nJqPlcsrNQgnv5X3iEluOKwbPiZQZP2bOVgFagsm3wvv2qiczlPYUlAoaxDvjCuR_xBFisa2AyV9eKVPCVmaCu7vdLOHd3DVWNXIgXFDG933Sn1Qx3YewFhdzTsRBEwB5B7T7ybKa_wh9PGrpcnzrw4Hl-StKbuZPPJHAZ0z9q_vIzRhxuSqxlfhsHBtcGJbfL49lyrochX3Q-NKhEcSlQ8KekLbc90DixO0BzkrrumcvlzZyO98Z5meUyjN_rEZoPL0jHggon8Yjgbax3R0TylTLyuCQmbUJAYYm1ogc6ci7-54tWFqRD7vlez3efq7pbzXZnw4-n9lNbRvR04yR-ia8xR0mHD_0ClRXxUgK0YxoHPeZjNXJN-4dQwVHMmRmyN77-KFG0EorysFAaUpeSOoodE2MMl6AixmC_9eeEyqdHIc7To_V4ezlCDQ0yxVwW9NMqedwNU7ZUl3Ufu70Ud5EPVGoURMBJHytM_kqKKhwpDnArqdd7n2xfXQVPNvFLGzdltegNyRr3tzMDcwF69jL20cYVgi_AsLCbCfjjkLoR-W6OH6cy5jDo%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-05
Osm Value Medical,Project Manager,Napoli,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1409&ao=1110586&s=58&guid=000001864f846fb194f17db318a4bdfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9ba9e9a3&cb=1676371325195&jobListingId=1008130741799&cpc=E509DD49A6927373&jrtk=3-0-1gp7o8ruf2dh9001-1gp7o8rv4jca3800-f00b98311ad101a6--6NYlbfkN0B6i9xeVABFT5L8de-qXhyg8UHgvplG36njblT18AVkYqL1QYvO2A6yDoxK_Nfzt5fFq46i5O5r1CbUp9Jx6BacxFcZQ3j3hRV9hUhrM3b_xuko8N48hm4ZcgVtuardN2J0J1Xmx6uCe9TprJs-bU_VTbhiLRfFZb0kGH186bxiIeG8f8vSBExzafFaVTNNQlrc6vNzf0t7Ue-I9YKaO9_vwRSYZwejbdEO_Su8tZfIM_bG53obkooJlN224nJMLzdPeGC2PtCEDkqR8mUie-HJi5Cebmf8o5Fb9bLKRMYAOtF1XcZyJa_VwLWCtBjUi3JzCjKfgUD44PgfakFPvWD4gk1GMsHm1iHK52C5FAj3Ig18jFRcb8m2fsB2MukrCzZ8TZEMDwk5TefQa-p25ES4lqSg5waj0udOjq1CtTNLGrVmGk2IsXoO4_MeZUNO6m5vthFuhV6dj05Ir-p-Gp64rBfIoW3Rp8QhdGYiFhujdRB4mDeLe7E4TxV8GItU0iHmu_2U47O-OfKaUgEkJsxBSu7zSR4zHs_zDKlCIo9Of3DO4-Ijv-ldmG6fH75N2C3fKnbs5h0_exdFy3aj7lA6I49-KJF-kD5OTcDZYCrspQ%3D%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-05
Iconacasa,nan,Napoli,4.5,13 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1411&ao=1110586&s=58&guid=000001864f846fb194f17db318a4bdfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8ed309a2&cb=1676371325196&jobListingId=1008440370577&cpc=0C1A14C72F2C651E&jrtk=3-0-1gp7o8ruf2dh9001-1gp7o8rv4jca3800-b150f77849bb4f4a--6NYlbfkN0DQp6B9kO-ml6optfvhZIF909R7pNNSTyfhxsi_kddqo6azqUD8WmQUUwOooQcypin0Vh7C8jef_fcJDze2ke0MzZtRYcTx1daRTnFf7wyWuVxPOHxGkWkkNxKe2YlPyov0vmQ04gD1uZCgo48QdGdbMiyB5CtzovZYjROCUpfQEo8nZQlGy82UyNTL2QDISm8dnpeNP7Kds0uv7lx3F_Dj4tax1DIh9D4n3x1gFfzpTfDmZEEdbjuQw4_-8W-tVewVEJTXk_fxnhYHDc63yNMTVdLlozWvMQUeJLay4Zld7oWaeII97FOKLL5m9sZhA3lEsjXXPJaA-aAU0WW380k5sQ8UdY_ZRLONMyzTvRcntITwuNtMo954ocpjzXVvhTq_r8L0Hn7sRkG2dRC9eEl2nJYE65FpsYkwoC3YpsFf68YpwdMD-astRmDIqX0YPIdaelEgY8TYa-yG42UoOSnQPC-TWeLFBsUZF1fP4N2fvO45L61M-p9uUwkTz_jPLhMcwIPpIqYijclJL14PB0PNuk9IMCLYmgKDrSrCK_5sYUMhwleMs6ZYJ8hUuEpcE0z_EMSWDXefoT9tSLm5c6CK,3.9,4.5,3.9,3.9,3.4,"Bologna, Italia",Da 501 a 1.000 dipendenti,Franchising,Sconosciuto/Non applicabile,2013,Agenzie immobiliari,Immobiliare,2023-02-05
KIDEAL SRL,Ingegnere Elettrico,Salerno,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1413&ao=1110586&s=58&guid=000001864f846fb194f17db318a4bdfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b8fa685e&cb=1676371325196&jobListingId=1008328377103&cpc=A202EC670F9D0667&jrtk=3-0-1gp7o8ruf2dh9001-1gp7o8rv4jca3800-da595ecf651cef49--6NYlbfkN0A0Sge4nFD0rKJDz5Dmybu_9i7hTlLPONpP69bQ42cL2UpwXxEq0YL0c5CtmVJVNpip3CYgRLXkJ9DegJPLdE8r784yLIWMyn7T0yt8HBcP_eAa7d4LlSCWcfuv-1a_iWTYzNiwXWNLWeQMKN-Tf-eyZrIuqHCqcNW2Q52PemN3uoPbtzGhK4ayOyliOwaCUj3eVszRcly8CplbVbkuLefjhaPqMDGQ6D-z-kN83t5_fDzxU0CPss_rBieUzYfA7ZPWe0Neyrw7pJ1reFdIZGRVsvDrVYSElNvQ6L8uKhBH94JZtGs0sMioxyVQfJig9KptOeI4Y6tJHYhsCoLNqeoYz7gFi9HYf7rERFDdVGqNMveSMdo60dxRJTucDS2Evhb6kvASKgFFROLMGm4kdN7l6quNhxaMUPmUOeon-HhJ2WvOUa9HPh0Cnbr74-qdIqNSOS7CyC0LMn0TL0VU-9_xilauFKh4N1Z_Lp_A3WxwNV3vtP1PKgOJ7Jgah9PN7wKVdpPIK8Pw8Me8i9dba1eObXulRqDRHtMWPIT5f5Ts987srzs5KclBYiHUX4KGNjw%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-05
DA LUIGI SRL,nan,Capri,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1419&ao=1110586&s=58&guid=000001864f846fb194f17db318a4bdfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1361822f&cb=1676371325196&jobListingId=1007587007478&cpc=1FF74F442D7FC309&jrtk=3-0-1gp7o8ruf2dh9001-1gp7o8rv4jca3800-268affa285e67a0c--6NYlbfkN0An7zJwxw3CZh8z5lm8TVLUJaJN9wf-Y83TkzQufWzNKA84Hm9L1v7MUAyalvmtwFSjYEqEUg0mJcnrSjAuEedFXz9UwWH7ZI-jNO4FvMpdeLOTmzLnBnBTc4omkNQrHLSm5MdCJdFz81qheroHrw8dGmKku57rbJM6A-skvDn6N4HgXpUxeTj8y3n5BVOsbN_bGQ7CqHXjsVOLZmcOyfXGAf4MBLRw8OqAt3HHuKaSIUsfX_ObC3xYqWaycC_JV0-6-jMFsyslUu6tVisuSEkZUG5xg_Tpvnkf2jyi2y70TZYD3Hr5xTsIdvul7qyEiDzI1Wol9YNjQhO-HpOelGaM_m0JLy9-3J-48it_6TsZTaafdHh8UVU12jdsXFkdTNnbNoJfggqU5XRTZJlZ7_hF5b0LPr3dkMhYTw0ftUb7qfwgVyFdtl7RwG1fGxrACkgQIl0lIcz21FsFHL8FTcuTT1kCFI3faYRXse-zOvwpmN1iHPaXumWKXNYJC1R-3yZg8ut0TTnArpf0cSIEn5Ckvdwaeht3bmtaRm9TRx-TuDJSplltQfgUsLTNqZ3TynZTp4-bmvNhrggRMz_7vK9jW1tB8h8xhktzqcz2bvNfnLDLzpYQzV0Vii0EtwkHfBg%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-05
Tecnocasa,Rappresentante Commerciale,Napoli,3.5,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=1424&ao=1110586&s=58&guid=000001864f846fb194f17db318a4bdfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_779c57c1&cb=1676371325197&jobListingId=1008468448394&cpc=2F9DD8B511C89582&jrtk=3-0-1gp7o8ruf2dh9001-1gp7o8rv4jca3800-bc232938fe486941--6NYlbfkN0ACsuqEheqI-CXRMV8xZBmVkRy6Ljlpmc2vap2kcBme1-qmP4ebj06xxmZzIWK7JoGmozW3M7uo5TUCUpay5taQXrizM5nD77FDvA19oFQkHdnDLyH1S9bvH8TQdAN3LH7yz9wyLgIODLLcm6Hcal_5-zBD-APnQpzv-D2W5Dh-gdSYid9sczSiSHWSNwfCXWqHAdYZcUv1CxkaB6PHdY3QWJle9_DjY7Au9wvsGZjqbd46XXlkLOdl3-UKuUWD8dWUkYZoJD-ABIPqIk8KdL6x7Xm4X2UnrDwVgnfzp3aAKtnBqBq_rRTxHgfua4sjgyo-AaZxkhWt9S8EQB4xlO3mygXhmWxYU9Nif7o13leo7qj5QBMvlegBQWZzj4JjbKmlPrp5q1UWbdDBoZyjVq3DAGVt7Bx5tLmJS6iuQJb9neR7PhIVwG_4PWBHbA3caraQNwqSbqApXm_rxa5ZkzdZQo8-F2vJ4CIS8d73Zh3ejBSEjfKcOE7kd4Kc4Xio6MXARsJBqcm92rwTCaIJZ-E3-lrPKgUmVUQZQdWZ9xxBWbY0WjjPTx66nTuPJ5JHsY6cr4N3Be9WaA%3D%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-05
So. Farma. Morra Spa,Analista Dei Dati,Nola,,11 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1426&ao=1110586&s=58&guid=000001864f846fb194f17db318a4bdfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_bfca6955&cb=1676371325197&jobListingId=1008449155284&cpc=9C938E8DE9AD6C02&jrtk=3-0-1gp7o8ruf2dh9001-1gp7o8rv4jca3800-ab24d885ef1c6f9a--6NYlbfkN0BsuZjmKUot0tZdTClGKEaOSYgu4wKz6gE-tsrJG1pJSxE9HL8vvazbiveWOJIpaHUjlnLN7MRZ3uB664DrfMlpLvS20nnE8K0kTmMP7uyLgLIelhFZx64iwqILrXi8SnLKRobpb6vjfsdL8aDgqp-1Kro09A-opt4wSuwABXKWn1kKWSXr1T8-bKAUhmFhO8qY3oBa3ufUQH0rchyOf-o5op7dpkp20vJ1BYLNf8GonyXf7bs87oFT-MYLIytK4Jzbvu6qv4tB7EBSiPFngwm55Mg18_AsxXtQLWdTFb0_HKsEq2tWDza4DNAUwMVg38QCUMF7s7R1l5ZI8hPuUWzpt2_Q8DtmVJslwz5vIz73miBE2JBv7pnIDk0dsCO8Cb4Esg7wzSaVVHCVlfGzRHQSsvKFCXXRiAYFo_3ft8XsigDHxzYgTXBRoSs4ktoVoakHTqwiyoB3STZgQ7_GxSd1qEiGUFQNdceYPuzN4S1225xX2VKa84SDkupXSBQTKBJd873fKe5Kdp9OqrUe4AlBVuri2H3sK0fRkDAV3u5p1p7nFEhrpw-VJUHIvIFAfAcINauVGcchPMDl3lGP12Ck,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-05
